aid,diffmaglim,fid,mjd,oid,sid,tid
"",18.5837,1,59124.48206020007,"ZTF20acobvxk","","ztf"
"",19.0327,1,59126.45348379994,"ZTF20acobvxk","","ztf"
"",18.2772,1,59128.35702549992,"ZTF20acobvxk","","ztf"
"",19.9485,1,59130.37144679995,"ZTF20acobvxk","","ztf"
"",19.9685,1,59134.27870369982,"ZTF20acobvxk","","ztf"
"",20.5995,1,59136.377997700125,"ZTF20acobvxk","","ztf"
"",20.191,1,59138.3599537001,"ZTF20acobvxk","","ztf"
"",20.2728,1,59140.37718749978,"ZTF20acobvxk","","ztf"
"",20.5389,1,59142.377696800046,"ZTF20acobvxk","","ztf"
"",18.7878,1,59153.24569439981,"ZTF20acobvxk","","ztf"
"",18.4345,1,59180.18989579985,"ZTF20acobvxk","","ztf"
"",19.0046,2,59124.37667819997,"ZTF20acobvxk","","ztf"
"",19.127,2,59124.398541700095,"ZTF20acobvxk","","ztf"
"",19.1506,2,59126.37809030013,"ZTF20acobvxk","","ztf"
"",19.0527,2,59128.388981500175,"ZTF20acobvxk","","ztf"
"",20.1347,2,59130.41927079996,"ZTF20acobvxk","","ztf"
"",19.8727,2,59134.420277799945,"ZTF20acobvxk","","ztf"
"",20.3417,2,59136.31422450021,"ZTF20acobvxk","","ztf"
"",20.184,2,59138.35239579994,"ZTF20acobvxk","","ztf"
"",20.3246,2,59140.357789400034,"ZTF20acobvxk","","ztf"
"",20.356,2,59142.357997700106,"ZTF20acobvxk","","ztf"
"",20.5642,2,59144.40633099992,"ZTF20acobvxk","","ztf"
"",16.6328,2,59146.295648099855,"ZTF20acobvxk","","ztf"
"",19.2513,2,59149.35374999978,"ZTF20acobvxk","","ztf"
"",18.9133,2,59152.379814799875,"ZTF20acobvxk","","ztf"
"",19.9516,2,59190.18754629977,"ZTF20acobvxk","","ztf"
"",17.8574,2,59197.23127309978,"ZTF20acobvxk","","ztf"
