mjd,value
59124.37667819997,19.0046
59124.398541700095,19.127
59124.48206020007,18.5837
59126.37809030013,19.1506
59126.45348379994,19.0327
59128.35702549992,18.2772
59128.388981500175,19.0527
59130.37144679995,19.9485
59130.41927079996,20.1347
59134.27870369982,19.9685
59134.420277799945,19.8727
59136.31422450021,20.3417
59136.377997700125,20.5995
59138.35239579994,20.184
59138.3599537001,20.191
59140.357789400034,20.3246
59140.37718749978,20.2728
59142.357997700106,20.356
59142.377696800046,20.5389
59144.40633099992,20.5642
59146.295648099855,16.6328
59149.35374999978,19.2513
59149.44812500011,19.8108
59151.27253470011,19.5685
59151.3504050998,19.3859
59152.2641551001,19.2262
59152.37981479988,18.9133
59153.24569439981,18.7878
59153.33211810002,18.783262
59155.2140740999,18.412407
59155.25311340019,18.58105
59156.33636569977,18.297352
59158.28546300018,18.124166
59158.34642359987,18.234959
59165.19244210003,17.895514
59165.31812500022,18.091896
59167.23770829989,18.080828
59167.32657410018,17.93618
59168.23060189979,17.979136
59168.27642360004,18.11771
59170.229259300046,18.110926
59170.28912039986,18.194536
59172.23792820005,18.166513
59176.257013900205,18.472422
59176.29392360011,18.521338
59178.17138889991,18.528467
59178.23204859998,18.6854
59180.18989579985,18.8286
59180.18989579985,18.4345
59180.26996529987,18.4579
59182.11896990007,18.723438
59182.22920140019,19.152088
59184.21103010001,19.211372
59184.27252310002,18.8051
59188.25134260021,18.8474
59190.18754629977,19.9516
59193.23653940018,19.0371
59195.21083329991,19.082754
59197.23127309978,17.8574
59199.231319400016,19.216436
59199.27482639998,20.0925
59202.20908559999,20.489
59202.3076272998,19.3081
59204.1988309999,19.578945
