case_id,class,label,rank,regime,state,mean_Ak,min_Ak,mean_rho,max_rho,base_verdict,audit_final_verdict,kappa_connect_exact,audit_kappa_connect,iqr_raw,eps_scale,scale_mode,iqr_effective_zero,v250_verdict,v250_giantRatio,v250_kappa_connect
AFF01,AFF_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.077104,0.310185,HARD_FRAGMENTATION,FULL_PERCOLATION,9.89897949,9.89897949,0.03210808201585,0.03210808201585,IQR,False,HARD_FRAGMENTATION,0.669291,
AFF02,AFF_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.070422,0.296333,HARD_FRAGMENTATION,FULL_PERCOLATION,1.81649658,1.81649658,0.1749726636058,0.1749726636058,IQR,False,FULL_PERCOLATION,1.0,2.0
AFF03,AFF_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.067489,0.278,HARD_FRAGMENTATION,FULL_PERCOLATION,1.81649658,1.81649658,0.1749726636058,0.1749726636058,IQR,False,FULL_PERCOLATION,1.0,2.0
AFF04,AFF_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.036768,0.270724,TAIL_FRAGMENTATION,FULL_PERCOLATION,4.44948974,4.44948974,1.06581410364e-14,0.3178372451958,MEDIAN_FALLBACK,True,HARD_FRAGMENTATION,0.661417,
AFF05,AFF_FREE,TRACEABLE,3,Geometric Persistence,Stable Structure,1,1,0.07154,0.2503,TAIL_FRAGMENTATION,FULL_PERCOLATION,15.07364562,15.07364562,0.05452260427448,0.05452260427448,IQR,False,FULL_PERCOLATION,1.0,25.938115
AFF06,AFF_FREE,TRACEABLE,3,Geometric Persistence,Stable Structure,1,1,0.253125,0.4625,HARD_FRAGMENTATION,FULL_PERCOLATION,1.707151,1.707151,0.1861799247351,0.1861799247351,IQR,False,FULL_PERCOLATION,1.0,2.0
AFN01,AFF_FAIL,NON_TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.155471,0.431968,TAIL_FRAGMENTATION,FULL_PERCOLATION,2.22474487,2.22474487,0.2857291631799,0.2857291631799,IQR,False,TAIL_FRAGMENTATION,0.968504,
AFN02,AFF_FAIL,NON_TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.06761,0.30275,HARD_FRAGMENTATION,FULL_PERCOLATION,1.81649658,1.81649658,0.1749726636058,0.1749726636058,IQR,False,FULL_PERCOLATION,1.0,2.0
AFN03,AFF_FAIL,NON_TRACEABLE,3,Geometric Persistence,Stable Structure,1,1,0.094564,0.29125,HARD_FRAGMENTATION,FULL_PERCOLATION,8.40016003,8.40016003,0.09783794741964,0.09783794741964,IQR,False,FULL_PERCOLATION,1.0,10.0
AFN04,AFF_FAIL,NON_TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.048715,0.279405,HARD_FRAGMENTATION,FULL_PERCOLATION,2.72474487,2.72474487,0.2857291631799,0.2857291631799,IQR,False,FULL_PERCOLATION,1.0,10.0
AFN05,AFF_FAIL,NON_TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.013363,0.187351,HARD_FRAGMENTATION,FULL_PERCOLATION,1.11237244,1.11237244,0.8571874895398,0.8571874895398,IQR,False,FULL_PERCOLATION,1.0,2.0
AFN06,AFF_FAIL,NON_TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.013463,0.193154,HARD_FRAGMENTATION,FULL_PERCOLATION,3.06969385,3.06969385,0.2070807456217,0.2070807456217,IQR,False,HARD_FRAGMENTATION,0.976378,
INT01,INT_FREE,TRACEABLE,2,Geometric Persistence,Stable Structure,1,1,0.021802,0.221744,HARD_FRAGMENTATION,FULL_PERCOLATION,4.38092072,4.38092072,0.06566703451737,0.06566703451737,IQR,False,FULL_PERCOLATION,1.0,10.0
