Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2""","=""1S""","=""0""","=""[""","=""0.0000""","=""]""","=""0.0012""","=""L22715"""
"=""1s.2s""","=""3S""","=""1""","=""[""","=""159855.971776""","=""]""","=""0.000043""","=""L22715c200,L20736"""
"=""1s.2s""","=""1S""","=""0""","=""[""","=""166277.437635""","=""]""","=""0.000063""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""2""","=""[""","=""169086.76391031""","=""]""","=""0.00002335""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""1""","=""[""","=""169086.84033581""","=""]""","=""0.00002335""","=""L22715c200,L20736"""
"=""1s.2p""","=""3P*""","=""0""","=""[""","=""169087.82825101""","=""]""","=""0.00002335""","=""L22715c200,L20736"""
"=""1s.2p""","=""1P*""","=""1""","=""[""","=""171134.894441""","=""]""","=""0.000013""","=""L22715c200,L20736"""
"=""1s.3s""","=""3S""","=""1""","=""[""","=""183236.789095""","=""]""","=""0.000067""","=""L22715c200"""
"=""1s.3s""","=""1S""","=""0""","=""[""","=""184864.826715""","=""]""","=""0.000033""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""2""","=""[""","=""185564.55932651""","=""]""","=""0.00000033""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""1""","=""[""","=""185564.5813147""","=""]""","=""0.0000030""","=""L22715c200"""
"=""1s.3p""","=""3P*""","=""0""","=""[""","=""185564.8520073""","=""]""","=""0.0000033""","=""L22715c200"""
"=""1s.3d""","=""3D""","=""3""","=""[""","=""186101.54358476""","=""]""","=""0.00000077""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""2""","=""[""","=""186101.54609533""","=""]""","=""0.00000077""","=""L22715c200,L21466"""
"=""1s.3d""","=""3D""","=""1""","=""[""","=""186101.59029341""","=""]""","=""0.00000077""","=""L22715c200,L21466"""
"=""1s.3d""","=""1D""","=""2""","=""[""","=""186104.96409510""","=""]""","=""0.00000063""","=""L22715c200,L21466"""
"=""1s.3p""","=""1P*""","=""1""","=""[""","=""186209.3623329""","=""]""","=""0.0000017""","=""L22715c200"""
"=""1s.4s""","=""3S""","=""1""","=""[""","=""190298.110654""","=""]""","=""0.000023""","=""L22715c200"""
"=""1s.4s""","=""1S""","=""0""","=""[""","=""190940.223749""","=""]""","=""0.000023""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""2""","=""[""","=""191217.0383609""","=""]""","=""0.0000067""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""1""","=""[""","=""191217.0473571""","=""]""","=""0.0000067""","=""L22715c200"""
"=""1s.4p""","=""3P*""","=""0""","=""[""","=""191217.1576834""","=""]""","=""0.0000067""","=""L22715c200"""
"=""1s.4d""","=""3D""","=""3""","=""[""","=""191444.47832914""","=""]""","=""0.00000037""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""2""","=""[""","=""191444.47952984""","=""]""","=""0.00000037""","=""L22715c200,L21466"""
"=""1s.4d""","=""3D""","=""1""","=""[""","=""191444.49804915""","=""]""","=""0.00000037""","=""L22715c200,L21466"""
"=""1s.4d""","=""1D""","=""2""","=""[""","=""191446.45313936""","=""]""","=""0.00000030""","=""L22715c200,L21466"""
"=""1s.4f""","=""3F*""","=""3""","=""[""","=""191451.871342758""","=""]""","=""0.000000063""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""4""","=""[""","=""191451.878482501""","=""]""","=""0.000000050""","=""L22715c200"""
"=""1s.4f""","=""3F*""","=""2""","=""[""","=""191451.887100873""","=""]""","=""0.000000063""","=""L22715c200"""
"=""1s.4f""","=""1F*""","=""3""","=""[""","=""191451.894854811""","=""]""","=""0.000000050""","=""L22715c200"""
"=""1s.4p""","=""1P*""","=""1""","=""[""","=""191492.7093035""","=""]""","=""0.0000013""","=""L22715c200"""
"=""1s.5s""","=""3S""","=""1""","=""[""","=""193346.988738""","=""]""","=""0.000013""","=""L22715c200"""
"=""1s.5s""","=""1S""","=""0""","=""[""","=""193663.509489""","=""]""","=""0.000010""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""2""","=""[""","=""193800.7049900""","=""]""","=""0.0000037""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""1""","=""[""","=""193800.7095104""","=""]""","=""0.0000037""","=""L22715c200"""
"=""1s.5p""","=""3P*""","=""0""","=""[""","=""193800.7649571""","=""]""","=""0.0000037""","=""L22715c200"""
"=""1s.5d""","=""3D""","=""3""","=""[""","=""193917.14868441""","=""]""","=""0.00000020""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""2""","=""[""","=""193917.14932512""","=""]""","=""0.00000020""","=""L22715c200,L21466"""
"=""1s.5d""","=""3D""","=""1""","=""[""","=""193917.15878310""","=""]""","=""0.00000020""","=""L22715c200,L21466"""
"=""1s.5d""","=""1D""","=""2""","=""[""","=""193918.28729754""","=""]""","=""0.00000017""","=""L22715c200,L21466"""
"=""1s.5f""","=""3F*""","=""3""","=""[""","=""193921.115658304""","=""]""","=""0.000000040""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""4""","=""[""","=""193921.118736664""","=""]""","=""0.000000030""","=""L22715c200"""
"=""1s.5f""","=""3F*""","=""2""","=""[""","=""193921.123147015""","=""]""","=""0.000000040""","=""L22715c200"""
"=""1s.5f""","=""1F*""","=""3""","=""[""","=""193921.128275032""","=""]""","=""0.000000030""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""4""","=""[""","=""193921.612342687""","=""]""","=""0.000000010""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""5""","=""[""","=""193921.615113207""","=""]""","=""0.000000007""","=""L22715c200"""
"=""1s.5g""","=""3G""","=""3""","=""[""","=""193921.617632089""","=""]""","=""0.000000010""","=""L22715c200"""
"=""1s.5g""","=""1G""","=""4""","=""[""","=""193921.619327049""","=""]""","=""0.000000007""","=""L22715c200"""
"=""1s.5p""","=""1P*""","=""1""","=""[""","=""193942.45968763""","=""]""","=""0.00000063""","=""L22715c200"""
"=""1s.6s""","=""3S""","=""1""","=""[""","=""194936.1170910""","=""]""","=""0.0000067""","=""L22715c200"""
"=""1s.6s""","=""1S""","=""0""","=""[""","=""195114.8660951""","=""]""","=""0.0000060""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""2""","=""[""","=""195192.7403680""","=""]""","=""0.0000020""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""1""","=""[""","=""195192.7429528""","=""]""","=""0.0000020""","=""L22715c200"""
"=""1s.6p""","=""3P*""","=""0""","=""[""","=""195192.7746751""","=""]""","=""0.0000020""","=""L22715c200"""
"=""1s.6d""","=""3D""","=""3""","=""[""","=""195260.06875373""","=""]""","=""0.00000013""","=""L22715c200,L21466"""
"=""1s.6d""","=""3D""","=""2""","=""[""","=""195260.06913189""","=""]""","=""0.00000013""","=""L22715c200,L21466"""
"=""1s.6d""","=""3D""","=""1""","=""[""","=""195260.07459804""","=""]""","=""0.00000013""","=""L22715c200,L21466"""
"=""1s.6d""","=""1D""","=""2""","=""[""","=""195260.76790341""","=""]""","=""0.00000010""","=""L22715c200,L21466"""
"=""1s.6f""","=""3F*""","=""3""","=""[""","=""195262.421610707""","=""]""","=""0.000000023""","=""L22715c200"""
"=""1s.6f""","=""3F*""","=""4""","=""[""","=""195262.423215351""","=""]""","=""0.000000017""","=""L22715c200"""
"=""1s.6f""","=""3F*""","=""2""","=""[""","=""195262.425766876""","=""]""","=""0.000000023""","=""L22715c200"""
"=""1s.6f""","=""1F*""","=""3""","=""[""","=""195262.429178233""","=""]""","=""0.000000017""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""4""","=""[""","=""195262.720476278""","=""]""","=""0.000000007""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""5""","=""[""","=""195262.722078133""","=""]""","=""0.000000005""","=""L22715c200"""
"=""1s.6g""","=""3G""","=""3""","=""[""","=""195262.723535674""","=""]""","=""0.000000007""","=""L22715c200"""
"=""1s.6g""","=""1G""","=""4""","=""[""","=""195262.724518244""","=""]""","=""0.000000005""","=""L22715c200"""
"=""1s.6h""","=""3H*""","=""5""","=""[""","=""195262.790444878""","=""]""","=""0.000000003""","=""L22715c200"""
"=""1s.6h""","=""3H*""","=""6""","=""[""","=""195262.791489053""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.6h""","=""3H*""","=""4""","=""[""","=""195262.792436815""","=""]""","=""0.000000003""","=""L22715c200"""
"=""1s.6h""","=""1H*""","=""5""","=""[""","=""195262.793144011""","=""]""","=""0.000000002""","=""L22715c200"""
"=""1s.6p""","=""1P*""","=""1""","=""[""","=""195274.90585994""","=""]""","=""0.00000037""","=""L22715c200"""
"=""1s.7s""","=""3S""","=""1""","=""[""","=""195868.2343699""","=""]""","=""0.0000040""","=""L22715c200"""
