Configuration,Term,J,Prefix,Level (cm-1),Suffix,Uncertainty (cm-1),Reference
"=""1s2.2s""","=""2S""","=""1/2""","=""""","=""0.00""","=""""","=""0.10""","=""L3462"""
"=""1s2.2p""","=""2P*""","=""1/2""","=""""","=""14903.66""","=""""","=""0.10""","="""""
"=""1s2.2p""","=""2P*""","=""3/2""","=""""","=""14904.00""","=""""","=""0.10""","="""""
"=""1s2.3s""","=""2S""","=""1/2""","=""""","=""27206.12""","=""""","=""0.10""","="""""
"=""1s2.3p""","=""2P*""","=""1/2""","=""""","=""30925.38""","=""""","=""0.10""","="""""
"=""1s2.3p""","=""2P*""","=""3/2""","=""""","=""30925.38""","=""""","=""0.10""","="""""
"=""1s2.3d""","=""2D""","=""3/2""","=""""","=""31283.08""","=""""","=""0.10""","="""""
"=""1s2.3d""","=""2D""","=""5/2""","=""""","=""31283.12""","=""""","=""0.10""","="""""
"=""1s2.4s""","=""2S""","=""1/2""","=""""","=""35012.06""","=""""","=""0.10""","="""""
"=""1s2.4p""","=""2P*""","=""1/2""","=""""","=""36469.55""","=""""","=""0.10""","="""""
"=""1s2.4p""","=""2P*""","=""3/2""","=""""","=""36469.55""","=""""","=""0.10""","="""""
"=""1s2.4d""","=""2D""","=""3/2""","=""""","=""36623.38""","=""""","=""0.10""","="""""
"=""1s2.4d""","=""2D""","=""5/2""","=""""","=""36623.40""","=""""","=""0.10""","="""""
"=""1s2.4f""","=""2F*""","=""5/2""","=""""","=""36630.2""","=""""","=""1.0""","="""""
"=""1s2.4f""","=""2F*""","=""7/2""","=""""","=""36630.2""","=""""","=""1.0""","="""""
"=""1s2.5s""","=""2S""","=""1/2""","=""""","=""38299.50""","=""""","=""0.10""","="""""
"=""1s2.5p""","=""2P*""","=""1/2""","=""""","=""39015.56""","=""""","=""0.10""","="""""
"=""1s2.5p""","=""2P*""","=""3/2""","=""""","=""39015.56""","=""""","=""0.10""","="""""
"=""1s2.5d""","=""2D""","=""3/2""","=""""","=""39094.93""","=""""","=""0.10""","="""""
"=""1s2.5d""","=""2D""","=""5/2""","=""""","=""39094.94""","=""""","=""0.10""","="""""
"=""1s2.5f""","=""2F*""","=""5/2""","=""""","=""39104.5""","=""""","=""1.0""","="""""
"=""1s2.5f""","=""2F*""","=""7/2""","=""""","=""39104.5""","=""""","=""1.0""","="""""
"=""1s2.6s""","=""2S""","=""1/2""","=""""","=""39987.64""","=""""","=""0.10""","="""""
"=""1s2.6p""","=""2P*""","=""1/2""","=""""","=""40390.84""","=""""","=""0.10""","="""""
"=""1s2.6p""","=""2P*""","=""3/2""","=""""","=""40390.84""","=""""","=""0.10""","="""""
"=""1s2.6d""","=""2D""","=""3/2""","=""""","=""40437.31""","=""""","=""0.10""","="""""
"=""1s2.6d""","=""2D""","=""5/2""","=""""","=""40437.32""","=""""","=""0.10""","="""""
"=""1s2.7s""","=""2S""","=""1/2""","=""""","=""40967.9""","=""""","=""1.0""","="""""
"=""1s2.7p""","=""2P*""","=""1/2""","=""""","=""41217.35""","=""""","=""0.10""","="""""
"=""1s2.7p""","=""2P*""","=""3/2""","=""""","=""41217.35""","=""""","=""0.10""","="""""
"=""1s2.7d""","=""2D""","=""3/2""","=""""","=""41246.5""","=""""","=""1.0""","="""""
"=""1s2.7d""","=""2D""","=""5/2""","=""""","=""41246.5""","=""""","=""1.0""","="""""
"=""1s2.8s""","=""2S""","=""1/2""","=""""","=""41587.1""","=""""","=""1.0""","="""""
"=""1s2.8p""","=""2P*""","=""1/2""","=""""","=""41751.63""","=""""","=""0.10""","="""""
"=""1s2.8p""","=""2P*""","=""3/2""","=""""","=""41751.63""","=""""","=""0.10""","="""""
"=""1s2.8d""","=""2D""","=""3/2""","=""""","=""41771.3""","=""""","=""1.0""","="""""
"=""1s2.8d""","=""2D""","=""5/2""","=""""","=""41771.3""","=""""","=""1.0""","="""""
"=""1s2.9s""","=""2S""","=""1/2""","=""""","=""42003.3""","=""""","=""1.0""","="""""
"=""1s2.9p""","=""2P*""","=""1/2""","=""""","=""42118.27""","=""""","=""0.10""","="""""
"=""1s2.9p""","=""2P*""","=""3/2""","=""""","=""42118.27""","=""""","=""0.10""","="""""
"=""1s2.9d""","=""2D""","=""3/2""","=""""","=""42131.3""","=""""","=""1.0""","="""""
"=""1s2.9d""","=""2D""","=""5/2""","=""""","=""42131.3""","=""""","=""1.0""","="""""
"=""1s2.10s""","=""2S""","=""1/2""","=""""","=""42298.""","=""""","=""10""","="""""
"=""1s2.10p""","=""2P*""","=""1/2""","=""""","=""42379.16""","=""""","=""0.10""","="""""
"=""1s2.10p""","=""2P*""","=""3/2""","=""""","=""42379.16""","=""""","=""0.10""","="""""
"=""1s2.10d""","=""2D""","=""3/2""","=""""","=""42389.""","=""""","=""10""","="""""
"=""1s2.10d""","=""2D""","=""5/2""","=""""","=""42389.""","=""""","=""10""","="""""
"=""1s2.11s""","=""2S""","=""1/2""","=""""","=""42510.""","=""""","=""10""","="""""
"=""1s2.11p""","=""2P*""","=""1/2""","=""""","=""42569.1""","=""""","=""1.0""","="""""
"=""1s2.11p""","=""2P*""","=""3/2""","=""""","=""42569.1""","=""""","=""1.0""","="""""
"=""1s2.11d""","=""2D""","=""3/2""","=""""","=""42578.""","=""""","=""10""","="""""
