time_idx,time_value,source_dataset,scale_idx,block_factor,grid_nz,grid_ny,grid_nx,spacing,boundary_margin_cells,min_object_voxels,kinetic_energy_local,divergence_mean,divergence_rms,q_mean,q_rms,q_positive_fraction,enstrophy_mean,strain_sq_mean,helicity_mean,q_threshold,raw_component_count,kept_component_count,discarded_small_or_boundary,touching_component_count,object_count,global_ref_time,global_ref_energy,global_ref_Re_lambda,local_to_global_energy_ratio
0,0.0,Velocity_0001,0,1,256,256,256,0.0061359405517578125,16,64,0.8320213396516986,5.715202198776752e-06,0.701105889354762,0.5129055300278669,251.88994761285835,0.3742092121446793,267.3183095313904,266.29249942358496,-1.0556773673372142,377.8349214192875,2854,490,2364,630,490,0.0,0.6820399,426.8378,1.2199012691950992
0,0.0,Velocity_0001,1,2,128,128,128,0.012271881103515625,8,8,0.8293405276510025,-6.990501609411682e-05,1.2325869643768528,0.5092941392520093,165.037778612778,0.38157542592930027,187.76163451970203,186.74307336011734,-1.0544579910957639,247.556667919167,1648,455,1193,404,455,0.0,0.6820399,426.8378,1.215970689766101
0,0.0,Velocity_0001,2,4,64,64,64,0.02454376220703125,4,2,0.8212095220535782,-0.00035764408691830947,1.4974309556936891,0.5124923768769396,80.64193250510738,0.39946246355685133,99.83491440271455,98.8106690896485,-1.0479118878502023,120.96289875766107,600,257,343,185,257,0.0,0.6820399,426.8378,1.2040490916346362
0,0.0,Velocity_0001,3,8,32,32,32,0.0490875244140625,2,2,0.802289274420085,-0.0013971375126263354,1.2955300204409006,0.4776674959755641,31.93811014980129,0.41536078717201164,41.71524822042892,40.76410130134976,-1.03078770830866,47.907165224701934,111,30,81,46,30,0.0,0.6820399,426.8378,1.1763084160033526
0,0.0,Velocity_0001,4,16,16,16,16,0.098175048828125,1,2,0.7680598485234003,-0.0029880414681601455,0.8631161623290696,0.353333957202776,11.216723086707873,0.4293002915451895,15.899957053995292,15.197217065156723,-1.0488257671831278,16.82508463006181,14,2,12,11,2,0.0,0.6820399,426.8378,1.1261215781120726
1,0.002,Velocity_0002,0,1,256,256,256,0.0061359405517578125,16,64,0.8323138818286195,4.817653495086369e-06,0.701278619196384,0.4952916209738478,252.221404801683,0.37425494402560133,267.29957429427395,266.3089912649635,-1.0604365557680924,378.3321072025245,2835,498,2337,640,498,0.0,0.6820399,426.8378,1.2203301915747444
1,0.002,Velocity_0002,1,2,128,128,128,0.012271881103515625,8,8,0.8296326625272878,-7.161262607998423e-05,1.2315590005872903,0.49674875661002516,165.2065385303348,0.3815070950255102,187.75913367181562,186.76565141438522,-1.0589692287830994,247.8098077955022,1617,449,1168,402,449,0.0,0.6820399,426.8378,1.2163990149656754
1,0.002,Velocity_0002,2,4,64,64,64,0.02454376220703125,4,2,0.8215040550043604,-0.0003568209428227769,1.4981328982466313,0.5088016105130736,80.69100832152473,0.3994681577988338,99.85688625255608,98.84006439509622,-1.0521935249924264,121.0365124822871,607,262,345,182,262,0.0,0.6820399,426.8378,1.2044809328667727
1,0.002,Velocity_0002,3,8,32,32,32,0.0490875244140625,2,2,0.8025819718288716,-0.0014138358178291926,1.2967996808112316,0.4777843357037017,31.93923892778152,0.4161807580174927,41.73078823053644,40.77939539689994,-1.0356420746327935,47.90885839167228,108,31,77,46,31,0.0,0.6820399,426.8378,1.1767375659823884
1,0.002,Velocity_0002,4,16,16,16,16,0.098175048828125,1,2,0.7683196208418904,-0.0030281206154408415,0.8630627267798162,0.35370609103688433,11.22041362658443,0.4314868804664723,15.900603551926014,15.197274060034717,-1.053972409222188,16.830620439876643,14,3,11,10,3,0.0,0.6820399,426.8378,1.1265024536568762
2,0.004,Velocity_0003,0,1,256,256,256,0.0061359405517578125,16,64,0.8326078809340497,2.375027825263512e-06,0.7014106015454011,0.47929329018188965,252.53610140143743,0.37431847041271865,267.28511182612766,266.32652531058494,-1.0652697378833393,378.80415210215614,2825,505,2320,651,505,0.0,0.6820399,426.8378,1.2207612500882274
2,0.004,Velocity_0003,1,2,128,128,128,0.012271881103515625,8,8,0.8299261113163249,-7.55059687114104e-05,1.2304658047828443,0.4850887959704717,165.37072614578827,0.3815967793367347,187.75751674112354,186.78737280737514,-1.0635399197612263,248.05608921868242,1613,459,1154,397,459,0.0,0.6820399,426.8378,1.2168292666108316
2,0.004,Velocity_0003,2,4,64,64,64,0.02454376220703125,4,2,0.8218004156363957,-0.00035678022288091214,1.4985766154365219,0.5050376565513119,80.74640085623099,0.39895567602040816,99.88019056917508,98.87082023244439,-1.0564581759899314,121.11960128434649,586,259,327,176,259,0.0,0.6820399,426.8378,1.2049154538266686
2,0.004,Velocity_0003,3,8,32,32,32,0.0490875244140625,2,2,0.8028734324747807,-0.001427942433081562,1.2981499925760727,0.4778130311760648,31.940775408874284,0.41627186588921283,41.7452748222449,40.793671226666554,-1.0404023713224029,47.911163113311424,111,31,80,46,31,0.0,0.6820399,426.8378,1.1771649026322077
2,0.004,Velocity_0003,4,16,16,16,16,0.098175048828125,1,2,0.7685811919080319,-0.0030565748979546584,0.8628569558110438,0.3539343354878194,11.224161358051942,0.4303935860058309,15.901103292255861,15.197410796652209,-1.0591162691183345,16.836242037077913,14,3,11,11,3,0.0,0.6820399,426.8378,1.1268859665072848
3,0.006,Velocity_0004,0,1,256,256,256,0.0061359405517578125,16,64,0.8329028571817849,7.37457539833934e-07,0.7015301356609479,0.4649702333016658,252.81993011902188,0.3743420481334275,267.27462757868506,266.344687132085,-1.0701321196324418,379.22989517853284,2835,486,2349,654,486,0.0,0.6820399,426.8378,1.2211937412778708
3,0.006,Velocity_0004,1,2,128,128,128,0.012271881103515625,8,8,0.830220595585602,-7.707281291334162e-05,1.2298379171068932,0.474135373859347,165.50970023716062,0.38166368668002915,187.7580404286884,186.80981049952598,-1.0680909394945735,248.26455035574094,1611,454,1157,374,454,0.0,0.6820399,426.8378,1.2172610364666379
3,0.006,Velocity_0004,2,4,64,64,64,0.02454376220703125,4,2,0.8220962119839264,-0.00035474984900117434,1.4985888394883018,0.5013477509265989,80.80208275631425,0.39879054300291544,99.90231617515202,98.9002487277439,-1.0607289409657077,121.20312413447138,597,265,332,179,265,0.0,0.6820399,426.8378,1.2053491474383335
3,0.006,Velocity_0004,3,8,32,32,32,0.0490875244140625,2,2,0.8031631041641824,-0.0014404092998764513,1.299473364159552,0.4778064609374863,31.943667981674317,0.41672740524781343,41.75925008473338,40.80748077368489,-1.0451227047542329,47.91550197251148,110,29,81,48,29,0.0,0.6820399,426.8378,1.1775896163320978
3,0.006,Velocity_0004,4,16,16,16,16,0.098175048828125,1,2,0.7688448174513686,-0.003073884737637144,0.862541021156627,0.35403984620876655,11.227919524209248,0.4282069970845481,15.901579427546089,15.19770894119239,-1.0642739247093547,16.841879286313873,15,3,12,12,3,0.0,0.6820399,426.8378,1.1272724916113683
4,0.008,Velocity_0005,0,1,256,256,256,0.0061359405517578125,16,64,0.8331981115291309,3.372088447501214e-07,0.7016481136042102,0.4513551496047235,253.06547589915417,0.37427852174631016,267.2658657224438,266.3631554471154,-1.0749929740076543,379.59821384873123,2828,500,2328,646,500,0.0,0.6820399,426.8378,1.2216266402143494
