time,amplitude
0.0,0.0
0.01,1.8181556242780061e-06
0.02,9.957000656868331e-06
0.03,2.8215061320224777e-05
0.04,5.7865290727932006e-05
0.05,9.876956028165296e-05
0.06,0.0001508372079115361
0.07,0.00021541057503782213
0.08,0.0002941899001598358
0.09,0.000385882769478485
0.1,0.00048345825052820146
0.11,0.0005744666559621692
0.12,0.0006454060785472393
0.13,0.000686503597535193
0.14,0.0006931003299541771
0.15,0.0006649864371865988
0.16,0.0006052659591659904
0.17,0.0005186823545955122
0.18,0.00041002838406711817
0.19,0.00028328594635240734
0.2,0.00014130037743598223
0.21,-1.619214890524745e-05
0.22,-0.00019664745195768774
0.23,-0.00041500641964375973
0.24,-0.0006879883003421128
0.25,-0.0010279034031555057
0.26,-0.001443707151338458
0.27,-0.0019496858585625887
0.28,-0.002566352253779769
0.29,-0.0033076643012464046
0.3,-0.004167978186160326
0.31,-0.0051180580630898476
0.32,-0.006112792529165745
0.33,-0.007106014993041754
0.34,-0.008062378503382206
0.35,-0.008963433094322681
0.36,-0.009809507988393307
0.37,-0.010616963729262352
0.38,-0.011411208659410477
0.39,-0.012218892574310303
0.4,-0.013062141835689545
0.41,-0.013957660645246506
0.42,-0.014920894987881184
0.43,-0.01596701703965664
0.44,-0.017105143517255783
0.45,-0.018332388252019882
0.46,-0.01963423192501068
0.47,-0.020991966128349304
0.48,-0.022388536483049393
0.49,-0.023806948214769363
0.5,-0.02522663027048111
0.51,-0.026623699814081192
0.52,-0.027975967153906822
0.53,-0.029266754165291786
0.54,-0.030483314767479897
0.55,-0.03161359950900078
0.56,-0.03264468163251877
0.57,-0.03356391191482544
0.58,-0.034362539649009705
0.59,-0.03503904491662979
0.6,-0.03560066595673561
0.61,-0.03606458753347397
0.62,-0.03645763173699379
0.63,-0.03680918365716934
0.64,-0.03713925555348396
0.65,-0.03744944557547569
0.66,-0.037723712623119354
0.67,-0.03793977573513985
0.68,-0.03807670250535011
0.69,-0.038110293447971344
0.7,-0.03800608962774277
0.71,-0.03772600367665291
0.72,-0.03724813088774681
0.73,-0.03656672313809395
0.74,-0.035662371665239334
0.75,-0.03447286784648895
0.76,-0.03289109468460083
0.77,-0.030801888555288315
0.78,-0.028132498264312744
0.79,-0.02487866021692753
0.8,-0.02110767737030983
0.81,-0.016945406794548035
0.82,-0.01254523079842329
0.83,-0.00805841013789177
0.84,-0.003622712567448616
0.85,0.000639068428426981
0.86,0.0046177878975868225
0.87,0.008218005299568176
0.88,0.011369150131940842
0.89,0.014043282717466354
0.9,0.016266070306301117
0.91,0.018104443326592445
0.92,0.019630881026387215
0.93,0.020908977836370468
0.94,0.022018898278474808
0.95,0.02308640256524086
0.96,0.024274423718452454
0.97,0.02572305127978325
0.98,0.027494095265865326
0.99,0.029570890590548515
1.0,0.03188426047563553
1.01,0.03436373174190521
1.02,0.0370091013610363
1.03,0.03988291695713997
1.04,0.04300547018647194
1.05,0.04625481367111206
1.06,0.04934123158454895
1.07,0.05188193544745445
1.08,0.05352964997291565
1.09,0.054064810276031494
1.1,0.053434304893016815
1.11,0.051739402115345
1.12,0.04916993901133537
1.13,0.04594486951828003
1.14,0.042302314192056656
1.15,0.03850693255662918
1.16,0.034861981868743896
1.17,0.03171245753765106
1.18,0.029382940381765366
1.19,0.02806706354022026
1.2,0.027745824307203293
1.21,0.028190474957227707
1.22,0.029067516326904297
1.23,0.03005816787481308
1.24,0.030903389677405357
1.25,0.03140433132648468
1.26,0.031409502029418945
1.27,0.030796624720096588
1.28,0.029484078288078308
1.29,0.02747071161866188
1.3,0.024865571409463882
1.31,0.021900739520788193
1.32,0.018918465822935104
1.33,0.016299329698085785
1.34,0.014355987310409546
1.35,0.013253315351903439
