id,variant,M_frac,J_frac
P001_A,ORIGIN_SHIFT,-0.013981933047970546,-0.01920013571295176
P001_A,CLOCK_EXCHANGE,-0.01398193304797038,-0.031474733253557985
P001_A,AFFINE_STATE,-0.01398193304797013,-0.019275412966382577
P001_A,DOWNSAMPLE_5,-0.20236480924650607,0.09923956618018293
P001_A,PREFIX_0.75,-0.025864996975794197,-0.028082757907396005
P001_A,NOISE_0.02SD,-0.014148374457616714,-0.053052883613966095
P001_B,ORIGIN_SHIFT,-0.3300496217387545,-0.19820794827138688
P001_B,CLOCK_EXCHANGE,-0.33004962173875363,-0.24464109106284782
P001_B,AFFINE_STATE,-0.3300496217387543,-0.22201040890517088
P001_B,DOWNSAMPLE_5,-0.5507258594165338,-0.09902865814597528
P001_B,PREFIX_0.75,-1.0245444356216518,-0.2814989259740839
P001_B,NOISE_0.02SD,-0.33019812886872657,-0.23414015369147956
