null_index,seed,swap_attempts,swap_accepted,mobility_fraction,mobile_groups,transition_groups,graph_signature,matches_real_graph,scale_persistence,time_persistence,stitch_defect
1,20260905,2605,2598,0.9973128598848369,3,3,a9d63c4ce00f083ed813ddb65c823f3c36b537e7e50920433b6e8b70120ffb9b,False,0.3543788187372709,,
2,20260906,2605,2600,0.9980806142034548,3,3,d0fb0e87383545fdb7ec320ee7cf0bf2ab2ed03ff00f11e3754e36e206eb5228,False,0.354887983706721,,
3,20260907,2605,2600,0.9980806142034548,3,3,970040e71f0a8fcfd23c11bf342552d68dfba2bf965e30e7512a8a33e9a238a8,False,0.3579429735234216,,
4,20260908,2605,2599,0.9976967370441459,3,3,e7df4ca1dea2346851f26cd1f162fdfe7aab8d0cdcadf11accbcb585f3721289,False,0.3564154786150713,,
5,20260909,2605,2597,0.9969289827255279,3,3,13a5dd8474ae33e141391e48f308e5e37aea14f4ed995080532d1a0ad61ebf0d,False,0.3543788187372709,,
6,20260910,2605,2599,0.9976967370441459,3,3,4286ab67d33be68684e17db2ce41d05d69d048efbf063b364c1c771882bc97cf,False,0.35692464358452136,,
7,20260911,2605,2603,0.9992322456813819,3,3,90a65f69824d89588bf2ae9bec3840823e7788f08eb4a0affbfe6470ca82f157,False,0.3543788187372709,,
8,20260912,2605,2598,0.9973128598848369,3,3,8d37a78e92073a347080b4d6fd145e34d5a699c4c33fbe2f74dde8b27d037867,False,0.35692464358452136,,
9,20260913,2605,2595,0.9961612284069098,3,3,f7339ea84aec37a3ac7dc13e1678d4c3622aede5ce62d71fffd23f08fe9ed4ee,False,0.3543788187372709,,
10,20260914,2605,2599,0.9976967370441459,3,3,302e58d35eefb7ec407e428c71fdbb397904748f680498aad15ec7920a119143,False,0.35692464358452136,,
11,20260915,2605,2599,0.9976967370441459,3,3,d5dd94c68c37c9eaf31149f6f1178a04929ed6ec2071ef592f6b45e93c24ae69,False,0.359979633401222,,
12,20260916,2605,2600,0.9980806142034548,3,3,e6c61cc1d1c2553e766fa243d3fc292734111d6f234bdffeff83a431db182ee0,False,0.354887983706721,,
13,20260917,2605,2601,0.9984644913627639,3,3,eb83a6b6ba30c5f410b61c1b0c155ae2c950adb3b3ddc7f2eb7191e99b7da498,False,0.354887983706721,,
14,20260918,2605,2599,0.9976967370441459,3,3,b0d1361e89b4c76388ff4ac7d3996147d15e561f2d8d9f3dfe07477a01aa472a,False,0.3574338085539715,,
15,20260919,2605,2599,0.9976967370441459,3,3,6af0efc42060cc8a416dffd85ea4bb41446a7b8ccce8badaf08ad773027594d9,False,0.3594704684317719,,
16,20260920,2605,2595,0.9961612284069098,3,3,d1fdcd4b9f1357c10f9a175f25b40b04df06ecefdcd35bab636957edf8822e27,False,0.3589613034623218,,
17,20260921,2605,2600,0.9980806142034548,3,3,abc05a3393e0570c12fa9a1d220b71624185beac91e06acb6b30c43974975f71,False,0.35386965376782076,,
18,20260922,2605,2602,0.9988483685220729,3,3,5d53ec06114a34b928b4a7f5280b7780fb5e7a2321ccfe8dcb7eabed87021b3b,False,0.354887983706721,,
19,20260923,2605,2598,0.9973128598848369,3,3,8c64f0602cd286ba231ea24fa1a404924e6040d43be91c095ba68becdfeebb1e,False,0.3574338085539715,,
20,20260924,2605,2599,0.9976967370441459,3,3,5791bc1fc8e3585e1fbeef270876a0334ebe9a50ba16346da099197e84ec827b,False,0.3543788187372709,,
21,20260925,2605,2599,0.9976967370441459,3,3,7a69ad31404ff1175c3cc43c4a52e1ce1a66cd5a5fcb4419c31a28756807e3b3,False,0.354887983706721,,
22,20260926,2605,2601,0.9984644913627639,3,3,8ccefb0088832cc96f9e48dd70725f68e12f802a58956eba6f942b5022e978b2,False,0.35539714867617106,,
23,20260927,2605,2600,0.9980806142034548,3,3,0029db035288b64c0978abe8a0e3e15e5152a8fd93c61c08004986cc2261f5a1,False,0.354887983706721,,
24,20260928,2605,2602,0.9988483685220729,3,3,4c6aea47854b921fe17bf0ed7961a068c0ce8e38af29bd9fbd45fb108b37920e,False,0.35539714867617106,,
25,20260929,2605,2601,0.9984644913627639,3,3,89692fd14d1922b9cc60f2ab0c0cbf00c850c4e4492132f642fad848fbf71bc8,False,0.35386965376782076,,
26,20260930,2605,2599,0.9976967370441459,3,3,13645a4202fcb55f84779f99d86c02701583cf21e55063215c28854211361050,False,0.3564154786150713,,
27,20260931,2605,2597,0.9969289827255279,3,3,929debf8a64b2d80421e89010224a3744ab83ae18258a66348d9f2c4e52f3269,False,0.3594704684317719,,
28,20260932,2605,2596,0.9965451055662188,3,3,a3471e4ccdaa3d734203c032ad306ffe5e2c1ea432c0086a786b3212530990ba,False,0.3589613034623218,,
29,20260933,2605,2602,0.9988483685220729,3,3,dd2e02455b4f2b477c15e933aa021fd2c72239cdd3d6d8e6f4a606ce2d860354,False,0.3543788187372709,,
30,20260934,2605,2598,0.9973128598848369,3,3,da5dd50e70a1aff326c058b4843fa5145a934caab90430c99d859b18621b9453,False,0.354887983706721,,
31,20260935,2605,2599,0.9976967370441459,3,3,19c9fa7a38bd09497edfde15d4f3c410455b70468f1348f8040a1cbc06b16cc4,False,0.35539714867617106,,
32,20260936,2605,2600,0.9980806142034548,3,3,bc6d52b707643a27f0e72e20fabbb5185495a3f0bf6e379164354e39d0925266,False,0.3543788187372709,,
33,20260937,2605,2599,0.9976967370441459,3,3,eea062c71f6cd62fd0fcef5fe3707ec4cdd9d03a041dc09e1a0a8b7319889566,False,0.3543788187372709,,
34,20260938,2605,2600,0.9980806142034548,3,3,7f76a92c8cfa4b3329e38c40d046ee839d0390d56c586c11551362336c9f8e82,False,0.35386965376782076,,
35,20260939,2605,2598,0.9973128598848369,3,3,90b1dcad7a18a62d3e69a2b57dc5e74dc7466320e21f6e08f8a9366966ac9760,False,0.3574338085539715,,
36,20260940,2605,2599,0.9976967370441459,3,3,8b8f85c0620d7a5ec12c1ae4ed1cbd0d91b34baf8a15a2882133fa08878a91ca,False,0.3559063136456212,,
37,20260941,2605,2600,0.9980806142034548,3,3,78f89258f292494922bb80f4cbe9eb38e4fcd4a2a41eae050d08641c93e27b8e,False,0.3543788187372709,,
38,20260942,2605,2597,0.9969289827255279,3,3,4e52b0eafb4ad0e99ce5a018fd243347835eea8f17d193cb742aea72737608db,False,0.3579429735234216,,
39,20260943,2605,2599,0.9976967370441459,3,3,f184cab8b1a06dedfeffc96a5b087f694a0ce6939833618ce73d4b77fed9882d,False,0.3543788187372709,,
40,20260944,2605,2601,0.9984644913627639,3,3,1dff38b10bca9caa56fa7c59e1624d4c3661e668863fb3e22b4d0b0f7d39284e,False,0.359979633401222,,
41,20260945,2605,2601,0.9984644913627639,3,3,7a0beb3436ea64c07bffc8dab6cf33663240f87ab75fc4959229b45c7ec4def4,False,0.354887983706721,,
