g,chi_8,chi_12,chi_16,chi_20,alpha_logL,linear_slope,ratio_20_to_8,size_growth
0.72,0.000683341,0.000622392,0.000651588,0.00074143,0.0720507672428296,5.0865749999999895e-06,1.085007338942051,True
0.74,0.001012926,0.000898238,0.000853323,0.000928487,-0.12051805623579384,-7.455799999999995e-06,0.9166385303566105,False
0.76,0.001584183,0.001290715,0.001158364,0.001225889,-0.30874694206126196,-3.0180825000000013e-05,0.7738304223691328,False
0.78,0.002342967,0.00193573,0.001680789,0.001672808,-0.3901189866971795,-5.663545000000003e-05,0.7139699364096891,False
0.8,0.003495793,0.002927767,0.00245031,0.00243401,-0.42438686173461604,-9.157015000000002e-05,0.6962683431198586,False
0.82,0.004905458,0.004283109,0.003691972,0.003717447,-0.32995556111596963,-0.00010387924999999991,0.7578185360062201,False
0.84,0.007265783,0.006466799,0.005791956,0.005947941,-0.24295368731946115,-0.00011570922499999994,0.8186235399543312,False
0.86,0.009742132,0.009569412,0.008836983,0.009273707,-0.07890238837530646,-5.3442600000000016e-05,0.9519176089997549,False
0.88,0.014316772,0.015191546,0.015348316,0.016588344,0.1450718693875183,0.0001742871499999997,1.1586650957352678,True
0.9,0.021101785,0.023904581,0.026118655,0.030155495,0.3736804347281694,0.0007343800999999995,1.4290494856240834,True
