sample_index,time,intensity
0,488.0,-0.01729908181221935
1,488.0002000000002,-0.017159081812219354
2,488.0004000000001,-0.017878081812219355
3,488.0006000000001,-0.017388081812219354
4,488.0008,-0.017234081812219353
5,488.001,-0.017966081812219353
6,488.00120000000015,-0.017457081812219354
7,488.0014000000001,-0.018374081812219355
8,488.00160000000005,-0.017755081812219353
9,488.0018,-0.017616081812219353
10,488.00199999999995,-0.017842081812219353
11,488.00220000000013,-0.017690081812219354
12,488.0024000000001,-0.017964081812219354
13,488.00260000000003,-0.017525081812219352
14,488.0028,-0.01810708181221935
15,488.00300000000016,-0.018050081812219353
16,488.0032000000001,-0.017676081812219354
17,488.00340000000006,-0.018030081812219354
18,488.0036,-0.017440081812219354
19,488.00379999999996,-0.017703081812219353
20,488.00400000000013,-0.017874081812219354
21,488.0042000000001,-0.017787081812219354
22,488.00440000000003,-0.017894081812219353
23,488.0046,-0.017354081812219355
24,488.00480000000016,-0.017234081812219353
25,488.0050000000001,-0.017770081812219354
26,488.00520000000006,-0.017061081812219353
27,488.0054,-0.017262081812219353
28,488.00559999999996,-0.017071081812219353
29,488.00580000000014,-0.017180081812219354
30,488.0060000000001,-0.016351081812219354
31,488.00620000000004,-0.017059081812219355
32,488.0064,-0.015927081812219353
33,488.00660000000016,-0.016101081812219354
34,488.0068000000001,-0.016473081812219355
35,488.00700000000006,-0.016342081812219352
36,488.0072,-0.015919081812219352
37,488.00739999999996,-0.015333081812219351
38,488.00760000000014,-0.015646081812219353
39,488.0078000000001,-0.014900081812219352
40,488.00800000000004,-0.014817081812219352
41,488.0082,-0.01480208181221935
42,488.00840000000017,-0.014531081812219352
43,488.0086000000001,-0.013980081812219351
44,488.00880000000006,-0.01450708181221935
45,488.009,-0.014033081812219352
46,488.00919999999996,-0.013995081812219352
47,488.00940000000014,-0.013105081812219352
48,488.0096000000001,-0.014015081812219351
49,488.00980000000004,-0.012700081812219351
50,488.01,-0.012685081812219352
51,488.01020000000017,-0.012686081812219351
52,488.0104000000001,-0.01194508181221935
