sample_index,time,intensity
0,495.0,-0.04508972309500719
1,495.0001999999995,-0.046301723095007186
2,495.0003999999999,-0.04660272309500719
3,495.0005999999994,-0.04694172309500719
4,495.0007999999998,-0.04856172309500719
5,495.0010000000002,-0.04916172309500719
6,495.0011999999997,-0.049868723095007186
7,495.0014000000001,-0.050339723095007186
8,495.0015999999996,-0.05063672309500719
9,495.0018,-0.05148072309500719
10,495.0019999999995,-0.05204372309500719
11,495.0021999999999,-0.05242472309500719
12,495.0023999999994,-0.053767723095007186
13,495.0025999999998,-0.05397272309500719
14,495.0028000000002,-0.05395972309500719
15,495.0029999999997,-0.05488272309500719
16,495.0032000000001,-0.054835723095007186
17,495.0033999999996,-0.05543572309500719
18,495.0036,-0.055904723095007186
19,495.0037999999995,-0.05569272309500719
20,495.0039999999999,-0.056015723095007186
21,495.0041999999994,-0.05694072309500719
22,495.0043999999998,-0.05676872309500719
23,495.0046000000002,-0.05701272309500719
24,495.0047999999997,-0.05732372309500719
25,495.0050000000001,-0.05713772309500719
26,495.0051999999996,-0.05732972309500719
27,495.0054,-0.057194723095007186
28,495.0055999999995,-0.057597723095007186
29,495.0057999999999,-0.05819772309500719
30,495.0059999999994,-0.05746372309500719
31,495.0061999999998,-0.057160723095007186
32,495.0064000000002,-0.058083723095007186
33,495.0065999999997,-0.05687672309500719
34,495.0068000000001,-0.05770472309500719
35,495.0069999999996,-0.057512723095007184
36,495.0072,-0.057568723095007185
37,495.0073999999995,-0.05730172309500719
38,495.0075999999999,-0.05680272309500719
39,495.0077999999994,-0.057110723095007185
40,495.0079999999998,-0.05673472309500719
41,495.0082000000002,-0.055646723095007185
42,495.0083999999997,-0.055654723095007186
43,495.0086000000001,-0.05532372309500719
44,495.0087999999996,-0.05512272309500719
45,495.009,-0.054716723095007185
46,495.0091999999995,-0.05404672309500719
47,495.0093999999999,-0.05368872309500719
48,495.0095999999994,-0.05351872309500719
49,495.0097999999998,-0.053205723095007186
50,495.0100000000002,-0.052343723095007184
51,495.0101999999997,-0.05179872309500719
52,495.0104000000001,-0.050818723095007186
53,495.0105999999996,-0.05075872309500719
54,495.0108,-0.049944723095007186
55,495.0109999999995,-0.04934372309500719
56,495.0111999999999,-0.048771723095007186
57,495.0113999999994,-0.04737372309500719
58,495.0115999999998,-0.047564723095007186
59,495.0118000000002,-0.04667172309500719
60,495.0119999999997,-0.04501372309500719
61,495.0122000000001,-0.04520372309500719
62,495.0123999999996,-0.04400672309500719
63,495.0126,-0.04264872309500719
64,495.0127999999995,-0.04263572309500719
65,495.0129999999999,-0.04132172309500719
66,495.0131999999994,-0.04077672309500719
67,495.0133999999998,-0.03962372309500719
68,495.0136000000002,-0.03800472309500719
69,495.0137999999997,-0.03777572309500719
70,495.0140000000001,-0.03707672309500719
71,495.0141999999996,-0.035816723095007184
72,495.0144,-0.034548723095007186
73,495.0145999999995,-0.03437072309500719
74,495.0147999999999,-0.03293572309500719
75,495.0149999999994,-0.03256872309500719
76,495.0151999999998,-0.030724723095007192
77,495.0154000000002,-0.02977172309500719
78,495.0155999999997,-0.028688723095007192
79,495.0158000000001,-0.02748272309500719
80,495.0159999999996,-0.026620723095007192
81,495.0162,-0.025302723095007192
82,495.0163999999995,-0.024164723095007192
83,495.0165999999999,-0.023162723095007193
84,495.0167999999994,-0.021451723095007192
85,495.0169999999998,-0.02009972309500719
86,495.01720000000023,-0.01976072309500719
87,495.0173999999997,-0.01832872309500719
88,495.01760000000013,-0.017247723095007193
89,495.0177999999996,-0.015326723095007192
90,495.01800000000003,-0.01418272309500719
91,495.0181999999995,-0.013438723095007191
92,495.01839999999993,-0.01217372309500719
93,495.0185999999994,-0.01121972309500719
94,495.0187999999998,-0.009454723095007191
95,495.01900000000023,-0.00805272309500719
96,495.0191999999997,-0.0067957230950071905
97,495.01940000000013,-0.006058723095007191
98,495.0195999999996,-0.004384723095007191
99,495.01980000000003,-0.0036427230950071905
100,495.0199999999995,-0.002266723095007191
101,495.02019999999993,-0.0001861433650071907
102,495.0203999999994,-0.00032772309500719073
103,495.02059999999983,0.002010276904992809
104,495.02080000000024,0.0027412769049928094
105,495.02099999999973,0.00407627690499281
106,495.02120000000014,0.00560527690499281
107,495.02139999999963,0.006887276904992809
108,495.02160000000003,0.00859227690499281
109,495.02179999999953,0.009346276904992809
110,495.02199999999993,0.011332276904992809
111,495.02219999999943,0.011943276904992809
112,495.02239999999983,0.01280227690499281
113,495.02260000000024,0.01501727690499281
114,495.02279999999973,0.015827276904992808
115,495.02300000000014,0.01663427690499281
116,495.02319999999963,0.01874027690499281
117,495.02340000000004,0.01976027690499281
118,495.02359999999953,0.02041827690499281
119,495.02379999999994,0.021804276904992807
120,495.02399999999943,0.02282927690499281
121,495.02419999999984,0.02418527690499281
122,495.02440000000024,0.02517727690499281
123,495.02459999999974,0.02743227690499281
124,495.02480000000014,0.02785727690499281
125,495.02499999999964,0.028052276904992807
126,495.02520000000004,0.02963227690499281
127,495.02539999999954,0.030921276904992807
128,495.02559999999994,0.03169527690499281
129,495.02579999999944,0.03272027690499281
130,495.02599999999984,0.033655276904992815
131,495.02620000000024,0.03501227690499281
132,495.02639999999974,0.036292276904992815
133,495.02660000000014,0.036138276904992814
134,495.02679999999964,0.037124276904992815
135,495.02700000000004,0.03859227690499281
136,495.02719999999954,0.039399276904992814
137,495.02739999999994,0.039949276904992816
138,495.02759999999944,0.041281276904992815
139,495.02779999999984,0.042730276904992814
140,495.02800000000025,0.04340627690499281
141,495.02819999999974,0.04415427690499281
142,495.02840000000015,0.04512627690499281
143,495.02859999999964,0.045138276904992815
144,495.02880000000005,0.046511276904992814
145,495.02899999999954,0.04724327690499281
146,495.02919999999995,0.04773027690499281
147,495.02939999999944,0.04896227690499281
148,495.02959999999985,0.049162276904992815
149,495.02980000000025,0.04924927690499281
150,495.02999999999975,0.05006727690499281
151,495.03020000000015,0.05069227690499281
152,495.03039999999964,0.05193327690499281
153,495.03060000000005,0.05250827690499281
154,495.03079999999954,0.05254627690499281
155,495.03099999999995,0.05335027690499281
156,495.03119999999944,0.053664276904992814
157,495.03139999999985,0.05388427690499281
158,495.03160000000025,0.05507227690499281
159,495.03179999999975,0.05495827690499281
160,495.03200000000015,0.056009276904992814
161,495.03219999999965,0.05506827690499281
162,495.03240000000005,0.056586276904992815
163,495.03259999999955,0.05672927690499281
164,495.03279999999995,0.05649127690499281
165,495.03299999999945,0.05649927690499281
166,495.03319999999985,0.05699027690499281
167,495.03340000000026,0.056684276904992816
168,495.03359999999975,0.05750327690499281
169,495.03380000000016,0.057259276904992815
170,495.03399999999965,0.057981276904992815
171,495.03420000000006,0.05782527690499281
172,495.03439999999955,0.05767427690499281
173,495.03459999999995,0.05780327690499281
174,495.03479999999945,0.05791327690499281
175,495.03499999999985,0.057516276904992815
176,495.03520000000026,0.05709527690499281
177,495.03539999999975,0.057620276904992815
178,495.03560000000016,0.05700027690499281
179,495.03579999999965,0.05701227690499281
180,495.03600000000006,0.05721327690499281
181,495.03619999999955,0.057315276904992815
