section,metric,value
scale,edges,653
scale,layers,5
scale,source_nodes,616
scale,persistence_mean_sources,0.3676948051948052
scale,persistence_p90_sources,0.5
scale,branch_fraction_all,0.027755102040816326
scale,merge_fraction_all,0.044081632653061226
scale,entropy_mean_sources,0.04185161694305051
scale,conservation_mean,0.8744805852989022
time,edges,0
time,layers,1
time,source_nodes,0
time,persistence_mean_sources,
time,persistence_p90_sources,
time,branch_fraction_all,0.0
time,merge_fraction_all,0.0
time,entropy_mean_sources,
time,conservation_mean,
stitch,eligible_sources,0
stitch,cells,0
stitch,mean_defect,
stitch,p90_defect,
stitch,max_defect,
null_quality,swap_attempts_total,326000
null_quality,swap_accepted_total,325168
null_quality,mean_mobility_fraction,0.9974478527607361
null_quality,median_mobility_fraction,0.9975460122699387
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,UNDERRESOLVED
