path,bytes,type
4T-DTC_upload,0,directory
4T-DTC_upload/codes and notebooks,0,directory
4T-DTC_upload/codes and notebooks/fourTEvolution2.jl,9952,file
4T-DTC_upload/codes and notebooks/plot results.ipynb,845450,file
4T-DTC_upload/codes and notebooks/samplecorr.py,11021,file
4T-DTC_upload/codes and notebooks/samplesf.py,6804,file
4T-DTC_upload/codes and notebooks/sample_disorder_tMPS.ipynb,309747,file
4T-DTC_upload/codes and notebooks/sample_tMPS.jl,4211,file
4T-DTC_upload/raw data,0,directory
4T-DTC_upload/raw data/ibm,0,directory
4T-DTC_upload/raw data/ibm/mitigation,0,directory
4T-DTC_upload/raw data/ibm/mitigation/circ_layout_ibm_brisbane.json,27,file
4T-DTC_upload/raw data/ibm/mitigation/circ_layout_ibm_cairo.json,36,file
4T-DTC_upload/raw data/ibm/mitigation/circ_layout_ibm_cairo2.json,36,file
4T-DTC_upload/raw data/ibm/mitigation/ibm_brisbane.json,1297,file
4T-DTC_upload/raw data/ibm/mitigation/ibm_cairo.json,943,file
4T-DTC_upload/raw data/ibm/mitigation/ibm_cairo2.json,941,file
4T-DTC_upload/raw data/ibm/mitigation/Z_mit_ibm_cairo.json,405,file
4T-DTC_upload/raw data/ibm/mitigation/Z_mit_ibm_cairo2.json,425,file
4T-DTC_upload/raw data/ibm/mitigation/Z_unmit_ibm_cairo.json,378,file
4T-DTC_upload/raw data/ibm/mitigation/Z_unmit_ibm_cairo2.json,420,file
4T-DTC_upload/raw data/ibm/Z_ibmq_guadalupe.json,387,file
4T-DTC_upload/raw data/ibm/Z_ibmq_guadalupe2.json,415,file
4T-DTC_upload/raw data/ibm/Z_ibmq_kolkata.json,390,file
4T-DTC_upload/raw data/ibm/Z_ibmq_mumbai.json,362,file
4T-DTC_upload/raw data/ibm/Z_ibm_cairo.json,402,file
4T-DTC_upload/raw data/ibm/Z_ibm_cairo2.json,369,file
4T-DTC_upload/raw data/ibm/Z_ibm_hanoi.json,391,file
4T-DTC_upload/raw data/ibm/Z_ibm_hanoi2.json,387,file
4T-DTC_upload/raw data/ibm/Z_no_recompilationibmq_guadalupe2.json,411,file
4T-DTC_upload/raw data/ibm/Z_no_recompilationibmq_kolkata.json,404,file
4T-DTC_upload/raw data/ibm/Z_no_recompilationibm_cairo2.json,408,file
4T-DTC_upload/raw data/ibm/Z_no_recompilationibm_cairot20.json,391,file
4T-DTC_upload/raw data/ibm/Z_no_recompilation_ibmq_mumbai.json,405,file
4T-DTC_upload/raw data/ibm/Z_no_recompilation_ibm_cairo.json,406,file
4T-DTC_upload/raw data/ibm/Z_no_recompilation_ibm_hanoi.json,408,file
4T-DTC_upload/raw data/tmps,0,directory
4T-DTC_upload/raw data/tmps/tmpsN16ttotal20h0.9J0.5M0.98.json,422,file
4T-DTC_upload/raw data/tmps/tmpsN24ttotal20h0.9J0.5M0.98.json,418,file
4T-DTC_upload/raw data/tmps/tmpsN32ttotal20h0.9J0.5M0.98.json,414,file
4T-DTC_upload/raw data/tmps/tmpsN8ttotal19h0.9J0.5M0.98.json,375,file
4T-DTC_upload/raw data/tmps/tmpsN8ttotal20h0.9J0.5M0.98.json,394,file
