index,energy_cm-1
0,0.0
1,14903.66
2,14904.0
3,27206.12
4,30925.38
5,30925.38
6,31283.08
7,31283.12
8,35012.06
9,36469.55
10,36469.55
11,36623.38
12,36623.4
13,36630.2
14,36630.2
15,38299.5
16,39015.56
17,39015.56
18,39094.93
19,39094.94
20,39104.5
21,39104.5
22,39987.64
23,40390.84
24,40390.84
25,40437.31
26,40437.32
27,40967.9
28,41217.35
29,41217.35
30,41246.5
31,41246.5
32,41587.1
33,41751.63
34,41751.63
35,41771.3
36,41771.3
37,42003.3
38,42118.27
39,42118.27
40,42131.3
41,42131.3
42,42298.0
43,42379.16
44,42379.16
45,42389.0
46,42389.0
47,42510.0
48,42569.1
49,42569.1
50,42578.0
51,42578.0
52,42719.14
53,42719.14
54,42725.0
55,42725.0
56,42832.92
57,42832.92
58,42923.39
59,42923.39
60,42995.51
61,42995.51
62,43055.34
63,43055.34
64,43105.42
65,43105.42
66,43146.96
67,43146.96
68,43181.84
69,43181.84
70,43211.39
71,43211.39
72,43237.16
73,43237.16
74,43259.14
75,43259.14
76,43278.96
77,43278.96
78,43296.03
79,43296.03
80,43311.45
81,43311.45
82,43324.81
83,43324.81
84,43336.4
85,43336.4
86,43346.39
87,43346.39
88,43354.91
89,43354.91
90,43363.71
91,43363.71
92,43372.06
93,43372.06
94,43378.31
95,43378.31
96,43384.9
97,43384.9
98,43390.3
99,43390.3
100,43395.4
101,43395.4
102,43400.5
103,43400.5
104,43404.7
105,43404.7
106,43408.6
107,43408.6
108,43412.4
109,43412.4
110,43416.9
111,43416.9
112,43420.9
113,43420.9
114,43424.3
115,43424.3
116,43487.1142
117,463520.0
118,463520.0
119,463520.0
120,475150.0
121,475150.0
122,490440.0
123,490440.0
124,490440.0
125,494570.0
126,494570.0
127,494570.0
128,496830.0
129,496830.0
130,497600.0
131,506270.0
132,506270.0
133,506270.0
134,506300.0
135,506300.0
136,506300.0
137,506300.0
138,509580.0
139,514010.0
140,515620.0
141,515620.0
142,515620.0
143,516110.0
144,518070.0
145,518070.0
146,518070.0
147,518850.0
148,523230.0
149,523230.0
150,523230.0
151,525280.0
152,525280.0
153,525280.0
154,525280.0
155,526410.0
156,526410.0
157,530550.0
158,530550.0
159,530550.0
160,533690.0
161,533690.0
162,533690.0
163,535380.0
164,535380.0
165,535380.0
166,535990.0
167,535990.0
168,539800.0
169,539800.0
170,541720.0
171,541720.0
172,542750.0
173,542750.0
174,543440.0
175,543440.0
176,543880.0
177,543880.0
178,544230.0
179,544230.0
180,544420.0
181,544420.0
