index,energy_cm-1,gap_cm-1
0,0.0,16956.17025
1,16956.17025,17.19594000000143
2,16973.36619,8766.63281
3,25739.999,3432.8379999999997
4,29172.837,0.049999999999272404
5,29172.887,1094.1030000000028
6,30266.99,5.5900000000001455
7,30272.58,2928.0930000000008
8,33200.673,1348.0559999999969
9,34548.729,0.03500000000349246
10,34548.764,38.1559999999954
11,34586.92,0.0
12,34586.92,453.4599999999991
13,35040.38,2.470000000001164
14,35042.85,1329.7680000000037
15,36372.618,664.1339999999982
16,37036.752,0.01999999999679858
17,37036.772,20.87800000000425
18,37057.65,0.0
19,37057.65,1.889999999999418
20,37059.54,236.77999999999884
21,37296.32,1.2900000000008731
22,37297.61,714.4320000000007
23,38012.042,375.2129999999961
24,38387.255,0.01299999999901047
25,38387.268,12.522000000004482
26,38399.79,0.0
27,38399.79,1.110000000000582
28,38400.9,0.004000000000814907
29,38400.904,0.24299999999493593
30,38401.147,0.006000000001222361
31,38401.153,139.02700000000186
32,38540.18,0.75
33,38540.93,427.58000000000175
34,38968.51,232.41999999999825
35,39200.93,0.0
36,39200.93,8.05000000000291
37,39208.98,0.0
38,39208.98,0.7449999999953434
39,39209.725,0.1620000000038999
40,39209.887,88.4629999999961
41,39298.35,0.48999999999796273
42,39298.84,276.01000000000204
43,39574.85,153.84999999999854
44,39728.7,0.0
45,39728.7,5.460000000006403
46,39734.16,0.0
47,39734.16,0.5179999999963911
48,39734.678,0.11200000000098953
49,39734.79,59.68899999999849
50,39794.479,0.330999999998312
51,39794.81,188.45999999999913
52,39983.27,107.04000000000087
53,40090.31,0.0
54,40090.31,3.8800000000046566
55,40094.19,0.0
56,40094.19,0.39099999999598367
57,40094.581,0.07900000000518048
58,40094.66,42.14999999999418
59,40136.81,0.23300000000017462
60,40137.043,134.3530000000028
61,40271.396,77.51900000000023
62,40348.915,0.0029999999969732016
63,40348.918,2.8430000000007567
64,40351.761,0.0
65,40351.761,0.2540000000008149
66,40352.015,0.05799999999726424
67,40352.073,30.852000000006228
68,40382.925,0.17199999999866122
69,40383.097,99.13899999999558
70,40482.236,57.85700000000361
71,40540.093,0.0020000000004074536
72,40540.095,2.197999999996682
73,40542.293,0.0
74,40542.293,0.19099999999889405
75,40542.484,23.299000000006345
76,40565.783,0.12999999999738066
77,40565.913,75.23500000000058
78,40641.148,44.36099999999715
79,40685.509,0.0
80,40685.509,1.6940000000031432
81,40687.203,0.14899999999761349
82,40687.352,17.99199999999837
83,40705.344,0.10000000000582077
84,40705.444,58.43999999999505
85,40763.884,34.75800000000163
86,40798.642,0.0020000000004074536
87,40798.644,1.3300000000017462
88,40799.974,0.11699999999837019
89,40800.091,14.182000000000698
90,40814.273,0.07899999999790452
91,40814.352,46.296000000002095
92,40860.648,27.737999999997555
93,40888.386,0.0010000000038417056
94,40888.387,1.0649999999950523
95,40889.452,0.0940000000045984
96,40889.546,11.375999999996566
97,40900.922,0.06300000000192085
98,40900.985,37.296000000002095
99,40938.281,22.489999999997963
100,40960.771,0.0
101,40960.771,0.8660000000018044
102,40961.637,0.07699999999749707
103,40961.714,9.262000000002445
104,40970.976,0.05199999999604188
105,40971.028,30.48700000000099
106,41001.515,18.485000000000582
107,41020.0,0.000999999996565748
108,41020.001,0.713000000003376
109,41020.714,0.06300000000192085
110,41020.777,7.641999999999825
111,41028.419,0.04299999999784632
112,41028.462,25.239000000001397
113,41053.701,15.377999999996973
114,41069.079,0.0010000000038417056
115,41069.08,0.5939999999973224
116,41069.674,0.052999999999883585
117,41069.727,6.379000000000815
118,41076.106,0.03500000000349246
119,41076.141,21.12999999999738
120,41097.271,12.930999999996857
121,41110.202,0.0
122,41110.202,0.5010000000038417
123,41110.703,0.04400000000168802
124,41110.747,0.000999999996565748
125,41110.748,5.377999999996973
126,41116.126,0.030000000006111804
127,41116.156,17.86699999999837
128,41134.023,10.976000000002387
129,41144.999,0.000999999996565748
130,41145.0,0.4250000000029104
131,41145.425,0.03800000000046566
132,41145.463,4.576999999997497
133,41150.04,0.02599999999802094
134,41150.066,24.639000000002852
135,41174.705,0.0
136,41174.705,0.36499999999796273
137,41175.07,0.0319999999992433
138,41175.102,274.349000000002
139,41449.451,206720.549
140,248170.0,1319.0
141,249489.0,14256.299999999988
142,263745.3,2841.4000000000233
143,266586.7,347.20000000001164
144,266933.9,348.3999999999651
145,267282.3,293.70000000001164
146,267576.0,937.9000000000233
147,268513.9,383.5
148,268897.4,189.09999999997672
149,269086.5,639.5
150,269726.0,470.0
151,270196.0,386.0
152,270582.0,295.0
153,270877.0,2359.0
154,273236.0,7360.0
155,280596.0,182.0
156,280778.0,241.0
157,281019.0,1057.0
158,282076.0,256.0
159,282332.0,3968.4000000000233
160,286300.4,549.0999999999767
161,286849.5,525.2999999999884
162,287374.8,1077.2000000000116
163,288452.0,190.0
164,288642.0,1592.0
165,290234.0,255.0
166,290489.0,297.0
167,290786.0,594.0
168,291380.0,710.0
169,292090.0,129.59999999997672
170,292219.6,69.60000000003492
171,292289.2,51.399999999965075
172,292340.6,58.800000000046566
173,292399.4,50.29999999998836
174,292449.7,464.20000000001164
175,292913.9,96.39999999996508
176,293010.3,122.79999999998836
