index,energy_cm-1
0,0.0
1,159855.971776
2,166277.437635
3,169086.76391031
4,169086.84033581
5,169087.82825101
6,171134.894441
7,183236.789095
8,184864.826715
9,185564.55932651
10,185564.5813147
11,185564.8520073
12,186101.54358476
13,186101.54609533
14,186101.59029341
15,186104.9640951
16,186209.3623329
17,190298.110654
18,190940.223749
19,191217.0383609
20,191217.0473571
21,191217.1576834
22,191444.47832914
23,191444.47952984
24,191444.49804915
25,191446.45313936
26,191451.871342758
27,191451.878482501
28,191451.887100873
29,191451.894854811
30,191492.7093035
31,193346.988738
32,193663.509489
33,193800.70499
34,193800.7095104
35,193800.7649571
36,193917.14868441
37,193917.14932512
38,193917.1587831
39,193918.28729754
40,193921.115658304
41,193921.118736664
42,193921.123147015
43,193921.128275032
44,193921.612342687
45,193921.615113207
46,193921.617632089
47,193921.619327049
48,193942.45968763
49,194936.117091
50,195114.8660951
51,195192.740368
52,195192.7429528
53,195192.7746751
54,195260.06875373
55,195260.06913189
56,195260.07459804
57,195260.76790341
58,195262.421610707
59,195262.423215351
60,195262.425766876
61,195262.429178233
62,195262.720476278
63,195262.722078133
64,195262.723535674
65,195262.724518244
66,195262.790444878
67,195262.791489053
68,195262.792436815
69,195262.793144011
70,195274.90585994
71,195868.2343699
72,195978.892575
73,196027.3124205
74,196027.314035
75,196027.3338587
76,196069.670203959
77,196069.670444809
78,196069.673884275
79,196070.125778175
80,196071.173571829
81,196071.174517346
82,196071.176123831
83,196071.178458823
84,196071.366132002
85,196071.367140046
86,196071.368057856
87,196071.368677416
88,196071.4119065
89,196071.412564058
90,196071.413160886
91,196071.413606244
92,196071.426285024
93,196071.42674623
94,196071.427166484
95,196071.427500365
96,196079.08496364
97,196461.3592043
98,196534.5615465
99,196566.7092158
100,196566.7102909
101,196566.7234987
102,196595.05959706
103,196595.059759543
104,196595.062062489
105,196595.37144682
106,196596.076153965
107,196596.076759854
108,196596.077835935
109,196596.079486447
110,196596.207050337
111,196596.207725298
112,196596.208340131
113,196596.208755583
114,196596.238460185
115,196596.238900698
116,196596.239300519
117,196596.239598879
118,196596.248445919
119,196596.248754892
120,196596.249036428
121,196596.249260103
122,196596.252291872
123,196596.25252035
124,196596.252729621
125,196596.252902905
126,196601.39764087
127,196861.9847334
128,196912.9000793
129,196935.32881198
130,196935.32956383
131,196935.33880189
132,196955.223920571
133,196955.224035287
134,196955.225652215
135,196955.446144507
136,196955.94241038
137,196955.942822912
138,196955.943578608
139,196955.94478098
140,196956.035257094
141,196956.035730957
142,196956.036162761
143,196956.03645475
144,196956.057675673
145,196956.057985059
146,196956.058265862
147,196956.058475412
148,196956.064859034
149,196956.065076035
150,196956.065273765
151,196956.06543086
152,196956.067650852
153,196956.067811319
154,196956.067958296
155,196956.06808
156,196959.69020989
157,197145.2306518
158,197182.0629406
159,197198.33011596
160,197198.33066214
161,197198.33737542
162,197212.823255258
163,197212.823339109
164,197212.824517451
165,197212.986924548
166,197213.349392262
167,197213.349686315
168,197213.350237182
169,197213.351136821
170,197213.417554469
171,197213.417899815
172,197213.418214592
173,197213.418427564
174,197213.434084501
175,197213.434310043
176,197213.434514748
177,197213.43466751
178,197213.439409836
179,197213.439568031
180,197213.439712175
181,197213.439826698
182,197213.441492353
183,197213.441609333
184,197213.44171648
185,197213.441805201
186,197216.086955998
187,197352.8485247
188,197380.3483057
189,197392.52070404
190,197392.52111329
191,197392.52614428
192,197403.402787033
193,197403.402850184
194,197403.403735301
195,197403.526681001
