index,energy_cm-1,gap_cm-1
1,0.0,82258.9119133
2,82258.9119133,0.0424859821
3,82258.9543992821,0.2036007179
4,82259.158,0.1270014
5,82259.2850014,15232.9261986
6,97492.2112,0.010501
7,97492.221701,0.082299
8,97492.304,0.015433
9,97492.319433,0.000178
10,97492.319611,5331.562389
11,102823.882,0.011
12,102823.893,0.013
13,102823.906,0.016
14,102823.922,2467.724
15,105291.646,0.008
16,105291.654,0.015
17,105291.669,0.012
18,105291.681,1340.479
19,106632.160,0.005
20,106632.165,0.008
21,106632.173,0.008
22,106632.181,808.259
23,107440.440,0.007
24,107440.447,0.005
25,107440.452,0.006
26,107440.458,524.591
27,107965.049,0.005
28,107965.054,0.005
29,107965.059,0.006
30,107965.065,351.501
31,108316.566,0.004
32,108316.570,0.005
33,108316.575,0.004
34,108316.579,252.660
35,108569.239,0.004
36,108569.243,0.004
37,108569.247,0.005
38,108569.252,191.411
39,108760.663,0.004
40,108760.667,0.004
41,108760.671,0.004
42,108760.675,149.548
43,108910.223,0.003
44,108910.226,0.004
45,108910.230,0.003
46,108910.233,118.535
47,109028.768,0.003
48,109028.771,0.003
49,109028.774,0.004
50,109028.778,94.806
