index,energy_cm-1,raw_gap_cm-1,normalized_gap,scale
0,0.0,329179.2939406,2.9999137811593046,macro
1,329179.2939406,0.4683723999769427,4.268424057252619e-06,micro
2,329179.762313,5.3887962300213985,4.9109784156769046e-05,meso
3,329185.15110923,60955.67386037001,0.5555081058244603,macro
4,390140.8249696,0.13954740000190213,1.2717390677258013e-06,micro
5,390140.964517,1.5930583599838428,1.4518038698901098e-05,meso
6,390142.55757536,0.002855240018106997,2.6020694607791314e-08,micro
7,390142.5604306,0.5755765200010501,5.245408706582989e-06,micro
8,390143.13600712,21333.98674788,0.19442328855466812,macro
9,411477.122755,0.05899789999239147,5.376663007199079e-07,micro
10,411477.1817529,0.6719270999892615,6.12348165360585e-06,micro
11,411477.85368,0.0012189000262878835,1.1108216871551734e-08,micro
12,411477.8548989,0.24236809997819364,2.2087762402491223e-06,micro
13,411478.097267,0.00043999997433274984,4.0098572753751095e-09,micro
14,411478.097707,0.12157000001752749,1.1079054033511816e-06,micro
15,411478.219277,9874.459654100006,0.08998903680491367,macro
16,421352.6789311,0.03024089999962598,2.7559477261625304e-07,micro
17,421352.709172,0.34398700000019744,3.134861034201163e-06,micro
18,421353.053159,0.0006279899971559644,5.7230691042138275e-09,micro
19,421353.05378699,0.12408700998639688,1.1308437018162398e-06,micro
20,421353.177874,0.0002270000404678285,2.068722311088135e-09,micro
21,421353.178101,0.06212359998608008,5.661517816096264e-07,micro
22,421353.2402246,0.0001183999702334404,1.0790159312275664e-09,micro
23,421353.240343,0.03736290003871545,3.404997847478392e-07,micro
24,421353.2777059,5363.858449499996,0.04888251836929463,macro
25,426717.1361554,0.017509999976027757,1.5957410202618472e-07,micro
26,426717.1536654,0.19905160000780597,1.81401943869829e-06,micro
27,426717.352717,0.0003684000112116337,3.357344434952365e-09,micro
28,426717.3530854,0.07180460001109168,6.543777603544393e-07,micro
29,426717.42489,0.0001319999573752284,1.2029568643337697e-09,micro
30,426717.425022,0.035950599994976074,3.276290530756637e-07,micro
