kappa,eps,giant_ratio,n_components,mean_degree,edge_density,is_connected,in_chain
0.01000000,0.00000000,0.08333333,31,0.333333,0.00952381,false,true
0.01333521,0.00000000,0.08333333,29,0.444444,0.01269841,false,true
0.01778279,0.00000000,0.11111111,26,0.666667,0.01904762,false,true
0.02371374,0.00000000,0.16666667,23,1.055556,0.03015873,false,true
0.03162278,0.00000000,0.16666667,23,1.166667,0.03333333,false,true
0.04216965,0.00000000,0.25000000,20,1.333333,0.03809524,false,true
0.05623413,0.00000000,0.30555556,18,1.944444,0.05555556,false,true
0.07498942,0.00000000,0.38888889,14,2.944444,0.08412698,false,true
0.10000000,0.00000000,0.38888889,11,3.666667,0.10476190,false,true
0.13335214,0.00000000,0.77777778,6,4.777778,0.13650794,false,true
0.17782794,0.00000000,0.77777778,6,6.111111,0.17460317,false,true
0.23713737,0.00000000,0.77777778,5,7.833333,0.22380952,false,true
0.31622777,0.00000000,0.94444444,3,9.555556,0.27301587,false,true
0.42169650,0.00000000,0.94444444,3,11.444444,0.32698413,false,true
0.56234133,0.00000000,0.94444444,3,13.611111,0.38888889,false,true
0.74989421,0.00000000,0.94444444,3,17.833333,0.50952381,false,true
1.00000000,0.00000000,0.94444444,2,23.333333,0.66666667,false,true
1.00000000,0.00000000,0.94444444,2,,,false,ext
2.00000000,0.00000000,0.94444444,2,,,false,ext
