a_object_id,a_object_name,b_object_id,b_object_name,euclidean_distance,manhattan_distance,cosine_similarity,mean_GR_delta,var_GR_delta,anisotropic_bounded_delta,admissibility_persistence_delta,collapse_onset_radius_delta,kappa_connect_delta,tail_dominance_delta,closest_rank_for_b,interpretation
A1_12M,12M_pre_supernova_single_profile,B_SN1987A,SN1987A,1.24413168497,2.49106380951,0.594478802868,0.189871810318,0.264273831886,0.226887364798,-0.028273809476,0.1,-1.5783034966,0,1,moderately separated structural relation
A1_12M,12M_pre_supernova_single_profile,B_SN1993J,SN1993J,1.46555098747,2.5152144617,0.0229398221841,-0.051024605482,-0.012159968494,0.726790428098,-0.232592746376,0,-1.5783034966,0,2,strongly separated structural relation
A1_12M,12M_pre_supernova_single_profile,B_SN1999em,SN1999em,0.834823303234,1.6003239001,0.709686583399,0.001000900918,0.025049318586,0.352079438898,-0.039213320476,0.05,-1.822172059,0,1,moderately separated structural relation
A1_12M,12M_pre_supernova_single_profile,B_SN2011dh,SN2011dh,1.06434682814,1.57429081554,0.598254325215,-0.020458552182,0.016477216686,0.730960536898,-0.063072344276,0,-1,0,2,moderately separated structural relation
A1_12M,12M_pre_supernova_single_profile,B_SN2012aw,SN2012aw,2.0846018436,4.97393701189,0.410058167615,0.314825875318,1.56169273249,0.730970812698,-0.130758281576,0,2.4,0.3290154712,2,strongly separated structural relation
A1_12M,12M_pre_supernova_single_profile,B_SN2013ej,SN2013ej,1.38935826964,2.82274866473,0.305024061685,0.177663545618,0.398805206286,0.730971332998,-0.159875541076,0,-1.683772234,0,2,strongly separated structural relation
A2_20M,20M_pre_supernova_single_profile,B_SN1987A,SN1987A,1.52868035622,3.27175090683,0.334614980364,0.202463705021,0.291602730809,-0.493338623383,0.168154761952,0.1,-0.5783034966,0,2,strongly separated structural relation
A2_20M,20M_pre_supernova_single_profile,B_SN1993J,SN1993J,0.232685521403,0.416027897697,0.973723666374,-0.038432710779,0.0151689304292,0.006564439917,-0.036164174948,0,-0.5783034966,0,1,close structural contact in reviewed v2 feature space
A2_20M,20M_pre_supernova_single_profile,B_SN1999em,SN1999em,1.00045675078,1.94440899319,0.55411728422,0.013592795621,0.0523782175092,-0.368146549283,0.157215250952,0.05,-0.822172059,0,2,moderately separated structural relation
A2_20M,20M_pre_supernova_single_profile,B_SN2011dh,SN2011dh,0.574599134067,0.63710214175,0.892667303063,-0.007866657479,0.0438061156092,0.010734548717,0.133356227152,0,0,0,1,weakly separated structural relation
A2_20M,20M_pre_supernova_single_profile,B_SN2012aw,SN2012aw,1.87865142223,3.99726201352,0.581236771343,0.327417770021,1.58902163141,0.010744824517,0.065670289852,0,3.4,0.3290154712,1,strongly separated structural relation
A2_20M,20M_pre_supernova_single_profile,B_SN2013ej,SN2013ej,0.627292239052,1.12201265392,0.866230556174,0.190255440321,0.426134105209,0.010745344817,0.036553030352,0,-0.683772234,0,1,weakly separated structural relation
