object_id,object_name,spectrum_id,spectrum_file,spectrum_date,phase_days,redshift,instrument,source_archive,line_id,line_name,element_group,rest_wavelength,observed_center_wavelength,window_min,window_max,n_points_total,n_points_window,wavelength_min,wavelength_max,continuum_level,line_flux_proxy,line_depth_proxy,equivalent_width_proxy,velocity_proxy_km_s,width_proxy_angstrom,signal_quality_proxy,spectral_phase_role,alpha_ready,raw_reference
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,H_alpha,H alpha,H,6562.8,6562.0584036,6382.0584036,6742.0584036,22752,3059,4412.85,6687.95,1.28623870723e-13,-1.86576118681e-14,0.0272825298063,276.094960912,5047.88973761,87.4315375835,0.0185117386625,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::H_alpha
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,H_beta,H beta,H,4861.3,4860.7506731,4720.7506731,5000.7506731,22752,2800,4412.85,6687.95,2.43692097209e-13,1.09586622517e-14,0.0152433282039,222.668918772,-8042.61336214,71.1326184036,0.0105855172583,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::H_beta
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,He_I_5876,He I 5876,He,5875.6,5874.9360572,5714.9360572,6034.9360572,22752,3200,4412.85,6687.95,1.5353681732e-13,1.05404181475e-14,0.0840688151659,274.483710827,898.822924313,75.7911600371,0.0103049379638,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::He_I_5876
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,Si_II_6355,Si II 6355,Si,6355,6354.281885,6194.281885,6514.281885,22752,3200,4412.85,6687.95,1.42829135021e-13,-2.40766853023e-14,0.0390697965164,286.74849919,4254.09532002,86.4343806768,0.0235655583974,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::Si_II_6355
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,Fe_II_5169,Fe II 5169,Fe,5169,5168.415903,4988.415903,5348.415903,22752,3600,4412.85,6687.95,2.2773331208e-13,-8.20712469068e-15,0.0307069115903,295.629809274,9242.1278549,104.263153264,0.00791858796284,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::Fe_II_5169
C1_SN1993J,SN1993J,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 00:00:00.00,,-0.000113,BC-Ekar,WISeREP,Ni_Co_decay_proxy,Ni/Co decay proxy blend,NiCo,5890,5889.33443,5629.33443,6149.33443,22752,5200,4412.85,6687.95,1.5623709737e-13,5.28475389709e-15,0.08620788397,447.358010872,163.686346162,159.666593137,0.00508226795672,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_00-00-00_Ekar_BC-Ekar_SUSPECT.dat::Ni_Co_decay_proxy
C1_SN1993J,SN1993J,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 20:30:00.00,,-0.000113,BC-Ekar,WISeREP,H_alpha,H alpha,H,6562.8,6562.0584036,6382.0584036,6742.0584036,6138,360,3469,9606,1.02719624527e-13,3.99920731402e-15,0.00343347109714,325.15997484,-7358.07146585,92.1369442361,0.0039483878545,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat::H_alpha
C1_SN1993J,SN1993J,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 20:30:00.00,,-0.000113,BC-Ekar,WISeREP,H_beta,H beta,H,4861.3,4860.7506731,4720.7506731,5000.7506731,6138,280,3469,9606,2.12057422403e-13,1.65364664875e-14,0.00185074919175,227.192032567,3654.27123109,62.4874389133,0.0163076915883,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat::H_beta
C1_SN1993J,SN1993J,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 20:30:00.00,,-0.000113,BC-Ekar,WISeREP,He_I_5876,He I 5876,He,5875.6,5874.9360572,5714.9360572,6034.9360572,6138,320,3469,9606,1.370844356e-13,4.598306819e-15,0.00807576482029,280.127431038,-4079.06176978,87.885272743,0.00451078549898,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat::He_I_5876
C1_SN1993J,SN1993J,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT,1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat,1993-03-31 20:30:00.00,,-0.000113,BC-Ekar,WISeREP,O_I_7774,O I 7774,O,7774,7773.121538,7593.121538,7953.121538,6138,360,3469,9606,6.73602578609e-14,-3.74410508369e-15,0.00766201173637,338.543500349,5009.13091014,84.3262294322,0.0037128624425,unknown_phase,yes,C1_SN1993J/1993J_1993-03-31_20-30-00_Ekar_BC-Ekar_SUSPECT.dat::O_I_7774
