source_id,filename,url,status,recommended_use
Baker2024_flux_tube_full_QCD,ENP_1064_0532.agr,https://arxiv.org/src/2409.20168v1/anc/ENP_1064_0532.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,EX_FULL-3d.dat,https://arxiv.org/src/2409.20168v1/anc/EX_FULL-3d.dat,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,EX_FULL_vs_smearing_xl0.148_beta7.158.agr,https://arxiv.org/src/2409.20168v1/anc/EX_FULL_vs_smearing_xl0.148_beta7.158.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_FULL-NP_beta7.158d10a.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_FULL_d0.7fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL_d0.7fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_FULL_d0.9fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL_d0.9fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_FULL_d1.0fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL_d1.0fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_NP_d0.7fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_NP_d0.7fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_NP_d0.9fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_NP_d0.9fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,Ex_NP_d1.0fm_scaling_normfact.agr,https://arxiv.org/src/2409.20168v1/anc/Ex_NP_d1.0fm_scaling_normfact.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,MC_1064_0532.agr,https://arxiv.org/src/2409.20168v1/anc/MC_1064_0532.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,QCD_large_distances.agr,https://arxiv.org/src/2409.20168v1/anc/QCD_large_distances.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,SU3_beta6.136dist16.agr,https://arxiv.org/src/2409.20168v1/anc/SU3_beta6.136dist16.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,beta6.3942dist789.agr,https://arxiv.org/src/2409.20168v1/anc/beta6.3942dist789.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,beta6.3942dist789.eps,https://arxiv.org/src/2409.20168v1/anc/beta6.3942dist789.eps,available_from_arxiv_ancillary,figure artifact
Baker2024_flux_tube_full_QCD,beta7.158dist13.agr,https://arxiv.org/src/2409.20168v1/anc/beta7.158dist13.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,sqrtstring_from_integral.agr,https://arxiv.org/src/2409.20168v1/anc/sqrtstring_from_integral.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
Baker2024_flux_tube_full_QCD,sqrtstring_from_integral.pdf,https://arxiv.org/src/2409.20168v1/anc/sqrtstring_from_integral.pdf,available_from_arxiv_ancillary,figure artifact
Baker2024_flux_tube_full_QCD,width_from_integral.agr,https://arxiv.org/src/2409.20168v1/anc/width_from_integral.agr,available_from_arxiv_ancillary,pointwise flux-tube profile or plot source data
