source_file,target,component,source_separation_fm,nominal_separation_group,n_points,x_min_fm,x_max_fm,peak_field_GeV2,center_field_GeV2,fwhm_estimate_fm,area_trapz_GeV2_fm,data_status
Ex_FULL_d0.7fm_scaling_normfact.agr,G0.S1,FULL,0.723,0.7 fm,21,-1.446924,1.446924,0.38660507,0.38660507,0.5300796570331909,0.23069425343170627,computed_from_pointwise_profile
Ex_NP_d0.7fm_scaling_normfact.agr,G0.S1,NP,0.723,0.7 fm,21,-1.446924,1.446924,0.27401977,0.27401977,0.5442888692189063,0.17097349920857374,computed_from_pointwise_profile
Ex_FULL_d0.7fm_scaling_normfact.agr,G0.S3,FULL,0.738,0.7 fm,31,-1.107463,1.107463,0.34313548,0.34313548,0.5449168828176556,0.2193573215396938,computed_from_pointwise_profile
Ex_NP_d0.7fm_scaling_normfact.agr,G0.S3,NP,0.738,0.7 fm,31,-1.107463,1.107463,0.24456573,0.24456573,0.5514685147893943,0.16080627188050745,computed_from_pointwise_profile
Ex_FULL-NP_beta7.158d10a.agr,G0.S0,FULL,0.738309,0.738309 fm,1,0.0,0.0,0.34313548,0.34313548,,,computed_from_pointwise_profile
Ex_FULL-NP_beta7.158d10a.agr,G0.S1,NP,0.738309,0.738309 fm,1,0.0,0.0,0.24456573,0.24456573,,,computed_from_pointwise_profile
Ex_FULL-NP_beta7.158d10a.agr,G0.S0,FULL,0.74,0.738309 fm,31,-1.107463,1.107463,0.34313548,0.34313548,0.5449168828176556,0.2193573215396938,computed_from_pointwise_profile
Ex_FULL-NP_beta7.158d10a.agr,G0.S1,NP,0.74,0.738309 fm,31,-1.107463,1.107463,0.24456573,0.24456573,0.5514685147893943,0.16080627188050745,computed_from_pointwise_profile
Ex_FULL_d0.7fm_scaling_normfact.agr,G0.S0,FULL,0.76,0.7 fm,29,-2.128424,2.128424,0.35794964,0.35794964,0.5528030525241341,0.2208124342589688,computed_from_pointwise_profile
Ex_FULL_d0.7fm_scaling_normfact.agr,G0.S2,FULL,0.76,0.7 fm,29,-1.773209,1.773209,0.36507283,0.36507283,0.542313759629232,0.22330410271880904,computed_from_pointwise_profile
Ex_FULL_d0.7fm_scaling_normfact.agr,G0.S4,FULL,0.76,0.7 fm,21,-0.949777,0.949777,0.34299528,0.34299528,0.5434633671428915,0.21564540732434817,computed_from_pointwise_profile
Ex_NP_d0.7fm_scaling_normfact.agr,G0.S0,NP,0.76,0.7 fm,29,-2.128424,2.128424,0.21439829,0.21439829,0.6175806874322953,0.15006327600278443,computed_from_pointwise_profile
Ex_NP_d0.7fm_scaling_normfact.agr,G0.S2,NP,0.76,0.7 fm,29,-1.773209,1.773209,0.24440229,0.24440229,0.5823358490294441,0.16054335545790377,computed_from_pointwise_profile
Ex_NP_d0.7fm_scaling_normfact.agr,G0.S4,NP,0.76,0.7 fm,21,-0.949777,0.949777,0.25238141,0.25238141,0.5493838442497255,0.161232089603383,computed_from_pointwise_profile
Ex_FULL_d0.9fm_scaling_normfact.agr,G0.S2,FULL,0.855,0.9 fm,29,-1.329687,1.329687,0.27254803,0.27254803,0.6075973087984332,0.1920424999880922,computed_from_pointwise_profile
Ex_NP_d0.9fm_scaling_normfact.agr,G0.S2,NP,0.855,0.9 fm,29,-1.329687,1.329687,0.19229827,0.19229827,0.6510026294551768,0.15177768131787187,computed_from_pointwise_profile
Ex_FULL_d0.9fm_scaling_normfact.agr,G0.S1,FULL,0.887,0.9 fm,29,-1.773209,1.773209,0.27823745,0.27823745,0.6075863004332682,0.18729573330124555,computed_from_pointwise_profile
Ex_NP_d0.9fm_scaling_normfact.agr,G0.S1,NP,0.887,0.9 fm,29,-1.773209,1.773209,0.21381966,0.21381966,0.6406306997585133,0.15960640223204617,computed_from_pointwise_profile
Ex_FULL_d0.9fm_scaling_normfact.agr,G0.S0,FULL,0.912,0.9 fm,29,-2.128424,2.128424,0.29663722,0.29663722,0.5926382823347496,0.1953188104067391,computed_from_pointwise_profile
Ex_NP_d0.9fm_scaling_normfact.agr,G0.S0,NP,0.912,0.9 fm,29,-2.128424,2.128424,0.21439829,0.21439829,0.6175806874322953,0.15006327600278443,computed_from_pointwise_profile
Ex_FULL_d0.9fm_scaling_normfact.agr,G0.S4,FULL,0.95,0.9 fm,21,-0.949777,0.949777,0.24257269,0.24257269,0.6325430978454549,0.1769653479298476,computed_from_pointwise_profile
Ex_NP_d0.9fm_scaling_normfact.agr,G0.S4,NP,0.95,0.9 fm,21,-0.949777,0.949777,0.20093115,0.20093115,0.6569889572419455,0.15411506167500083,computed_from_pointwise_profile
Ex_FULL_d0.9fm_scaling_normfact.agr,G0.S3,FULL,0.959,0.9 fm,31,-1.107463,1.107463,0.22677557,0.22677557,0.645400650224002,0.1695121613491086,computed_from_pointwise_profile
