source_id,source_url,ancillary_url,arxiv_id,source_location,data_status,beta,lattice_spacing_fm,source_separation_lattice_units,source_separation_fm,x_t_fm,Ex_FULL_GeV2,Ex_FULL_error_GeV2,Ex_NP_GeV2,Ex_NP_error_GeV2,notes
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-1.107463,0.0024833569,0.00070875595,0.002456246,0.00075213337,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-1.033632,0.0040263535,0.00071185434,0.0037986221,0.00085670392,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.959801,0.0062169129,0.00070798136,0.0054624557,0.00097366801,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.88597,0.0091355931,0.00071107974,0.0079551078,0.0010875337,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.81214,0.012350944,0.00071650192,0.011262636,0.0011921043,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.738309,0.017560881,0.00071882571,0.015495806,0.001294351,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.664478,0.02490948,0.00072734627,0.021247187,0.0013896264,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.590647,0.037041987,0.00073431764,0.029846759,0.0014004708,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.516816,0.054375912,0.00070565757,0.042262769,0.0014237087,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.442985,0.07779042,0.00069636241,0.059471983,0.0014624385,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
Baker2024_flux_tube_full_QCD,https://arxiv.org/abs/2409.20168,https://arxiv.org/src/2409.20168v1/anc/Ex_FULL-NP_beta7.158d10a.agr,2409.20168v1,"arXiv ancillary file Ex_FULL-NP_beta7.158d10a.agr, G0.S0 and G0.S1 datasets",AUTHOR_ANCILLARY_POINTWISE_DATA,7.158,0.0738309,10a,0.738309,-0.369154,0.11011434,0.00069403862,0.082180834,0.0015282792,FULL and nonperturbative longitudinal chromoelectric field profile at midplane.
