row_id,source_id,field_component,lattice,beta,a_fm,d_lattice_units,d_fm,sqrt_sigma_eff_raw,sqrt_sigma_eff_value,sqrt_sigma_eff_error,w_raw,w_value,w_error,source_location,data_status
1,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,48^4,6.885,0.0949777,6,0.569866,0.33245(21),0.33245,0.00021,0.65(8),0.65,0.08,"Table 2/3, PDF p.6",reported_table_row
2,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,7.158,0.0738309,8,0.590647,0.40933(6),0.40933,6.000000000000001e-05,0.474(26),0.474,0.026000000000000002,"Table 2/3, PDF p.6",reported_table_row
3,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,24^4,6.445,0.144692,5,0.723462,0.3977(8),0.3977,0.0008,0.46(5),0.46,0.05,"Table 2/3, PDF p.6",reported_table_row
4,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,7.158,0.0738309,10,0.73809,0.38097(26),0.38097,0.00026000000000000003,0.50(6),0.5,0.06,"Table 2/3, PDF p.6",reported_table_row
5,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,48^4,6.885,0.0949777,8,0.75982,0.38470(19),0.3847,0.00019,0.46(7),0.46,0.07,"Table 2/3, PDF p.6",reported_table_row
6,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.885,0.0949777,8,0.759821,0.38018(21),0.38018,0.00021,0.46(6),0.46,0.06,"Table 2/3, PDF p.6",reported_table_row
7,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.5824,0.126658,6,0.759947,0.3827(12),0.3827,0.0012000000000000001,0.30(12),0.3,0.12,"Table 2/3, PDF p.6",reported_table_row
8,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.3942,0.15203,5,0.760151,0.37420(7),0.3742,7.000000000000001e-05,0.51(5),0.51,0.05,"Table 2/3, PDF p.6",reported_table_row
9,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.885,0.0949777,9,0.854799,0.325(6),0.325,0.006,0.71(19),0.71,0.19,"Table 2/3, PDF p.6",reported_table_row
10,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.25765,0.173715,5,0.868575,0.35853(12),0.35853,0.00012000000000000002,0.37(7),0.37,0.07,"Table 2/3, PDF p.6",reported_table_row
11,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.5824,0.126658,7,0.886605,0.3715(4),0.3715,0.0004,0.74(31),0.74,0.31,"Table 2/3, PDF p.6",reported_table_row
12,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.3942,0.15203,6,0.912182,0.35455(32),0.35455,0.00032,0.56(14),0.56,0.14,"Table 2/3, PDF p.6",reported_table_row
13,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,48^4,6.885,0.0949777,10,0.949777,0.3707(18),0.3707,0.0018000000000000002,0.53(24),0.53,0.24,"Table 2/3, PDF p.6",reported_table_row
14,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,7.158,0.0738309,13,0.959801,0.368(5),0.368,0.005,0.61(27),0.61,0.27,"Table 2/3, PDF p.6",reported_table_row
15,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.25765,0.173715,6,1.04229,0.3369(8),0.3369,0.0008,0.44(10),0.44,0.1,"Table 2/3, PDF p.6",reported_table_row
16,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.885,0.0949777,11,1.04475,0.293(6),0.293,0.006,0.62(34),0.62,0.34,"Table 2/3, PDF p.6",reported_table_row
17,Baker2024_flux_tube_full_QCD,nonperturbative_longitudinal_E_NP,32^4,6.3942,0.15203,7,1.06421,0.3071(18),0.3071,0.0018000000000000002,0.50(18),0.5,0.18,"Table 2/3, PDF p.6",reported_table_row
