row_id,source_id,lattice,beta,a_fm,d_lattice_units,d_fm,statistics,source_location,data_status
1,Baker2024_flux_tube_full_QCD,48^4,6.885,0.0949777,6,0.569866,500,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
2,Baker2024_flux_tube_full_QCD,32^4,7.158,0.0738309,8,0.590647,10064,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
3,Baker2024_flux_tube_full_QCD,24^4,6.445,0.144692,5,0.723462,3330,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
4,Baker2024_flux_tube_full_QCD,32^4,7.158,0.0738309,10,0.738309,10181,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
5,Baker2024_flux_tube_full_QCD,48^4,6.885,0.0949777,8,0.75982,779,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
6,Baker2024_flux_tube_full_QCD,32^4,6.885,0.0949777,8,0.759821,4409,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
7,Baker2024_flux_tube_full_QCD,32^4,6.5824,0.126658,6,0.759947,2667,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
8,Baker2024_flux_tube_full_QCD,32^4,6.3942,0.15203,5,0.760151,3000,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
9,Baker2024_flux_tube_full_QCD,32^4,6.885,0.0949777,9,0.854799,4347,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
10,Baker2024_flux_tube_full_QCD,32^4,6.25765,0.173715,5,0.868573,3545,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
11,Baker2024_flux_tube_full_QCD,32^4,6.5824,0.126658,7,0.886605,2667,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
12,Baker2024_flux_tube_full_QCD,32^4,6.3942,0.15203,6,0.912182,3000,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
13,Baker2024_flux_tube_full_QCD,48^4,6.885,0.0949777,10,0.949777,779,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
14,Baker2024_flux_tube_full_QCD,32^4,7.158,0.0738309,13,0.959801,10183,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
15,Baker2024_flux_tube_full_QCD,24^4,6.445,0.144692,7,1.01285,3330,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
16,Baker2024_flux_tube_full_QCD,32^4,6.5824,0.126658,8,1.01326,2666,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
17,Baker2024_flux_tube_full_QCD,32^4,7.158,0.0738309,14,1.03363,2107,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
18,Baker2024_flux_tube_full_QCD,32^4,6.25765,0.173715,6,1.04229,3549,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
19,Baker2024_flux_tube_full_QCD,32^4,6.885,0.0949777,11,1.04475,4408,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
20,Baker2024_flux_tube_full_QCD,32^4,6.3942,0.15203,7,1.06421,3000,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
21,Baker2024_flux_tube_full_QCD,32^4,6.33727,0.160714,7,1.125,3133,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
22,Baker2024_flux_tube_full_QCD,32^4,6.885,0.0949777,12,1.13973,4409,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
23,Baker2024_flux_tube_full_QCD,48^4,6.885,0.0949777,12,1.13973,769,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
24,Baker2024_flux_tube_full_QCD,32^4,6.5824,0.126658,9,1.13992,2667,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
25,Baker2024_flux_tube_full_QCD,32^4,6.314762,0.164286,7,1.15,3651,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
26,Baker2024_flux_tube_full_QCD,24^4,6.445,0.144692,8,1.157536,3330,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
27,Baker2024_flux_tube_full_QCD,32^4,6.28581,0.168999,7,1.18299,3148,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
28,Baker2024_flux_tube_full_QCD,32^4,6.25765,0.173715,7,1.216,3546,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
29,Baker2024_flux_tube_full_QCD,32^4,6.3942,0.15203,8,1.21624,3000,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
30,Baker2024_flux_tube_full_QCD,32^4,6.885,0.0949777,13,1.23471,4409,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
31,Baker2024_flux_tube_full_QCD,32^4,6.5824,0.126658,10,1.26658,2667,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
32,Baker2024_flux_tube_full_QCD,32^4,6.3942,0.15203,9,1.36827,3000,"Table 1, PDF p.2 / arXiv PDF lines 201-235",reported_table_row
