row_id,source_id,field_component,lattice,beta,a_fm,d_lattice_units,d_fm,sqrt_sigma_eff_raw,sqrt_sigma_eff_value,sqrt_sigma_eff_error,w_raw,w_value,w_error,source_location,data_status
1,Baker2024_flux_tube_full_QCD,full_longitudinal_E,48^4,6.885,0.0949777,6,0.569866,0.48918(18),0.48918,0.00018,0.62(7),0.62,0.07,"Table 2/3, PDF p.6",reported_table_row
2,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,7.158,0.0738309,8,0.590647,0.605219(93),0.605219,9.3e-05,0.447(18),0.447,0.018000000000000002,"Table 2/3, PDF p.6",reported_table_row
3,Baker2024_flux_tube_full_QCD,full_longitudinal_E,24^4,6.445,0.144692,5,0.723462,0.53767(5),0.53767,5e-05,0.436(35),0.436,0.035,"Table 2/3, PDF p.6",reported_table_row
4,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,7.158,0.0738309,10,0.73809,0.52234(13),0.52234,0.00013000000000000002,0.47(4),0.47,0.04,"Table 2/3, PDF p.6",reported_table_row
5,Baker2024_flux_tube_full_QCD,full_longitudinal_E,48^4,6.885,0.0949777,8,0.75982,0.5146(11),0.5146,0.0011,0.45(5),0.45,0.05,"Table 2/3, PDF p.6",reported_table_row
6,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.885,0.0949777,8,0.759821,0.51557(10),0.51557,0.0001,0.44(4),0.44,0.04,"Table 2/3, PDF p.6",reported_table_row
7,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.5824,0.126658,6,0.759947,0.526675(5),0.526675,4.9999999999999996e-06,0.36(8),0.36,0.08,"Table 2/3, PDF p.6",reported_table_row
8,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.3942,0.15203,5,0.760151,0.516572(32),0.516572,3.2e-05,0.459(26),0.459,0.026000000000000002,"Table 2/3, PDF p.6",reported_table_row
9,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.885,0.0949777,9,0.854799,0.45568(28),0.45568,0.00028000000000000003,0.55(11),0.55,0.11,"Table 2/3, PDF p.6",reported_table_row
10,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.25765,0.173715,5,0.868575,0.47216(5),0.47216,5e-05,0.34(4),0.34,0.04,"Table 2/3, PDF p.6",reported_table_row
11,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.5824,0.126658,7,0.886605,0.45257(17),0.45257,0.00017,0.32(30),0.32,0.3,"Table 2/3, PDF p.6",reported_table_row
12,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.3942,0.15203,6,0.912182,0.46500(12),0.465,0.00012000000000000002,0.16(5),0.16,0.05,"Table 2/3, PDF p.6",reported_table_row
13,Baker2024_flux_tube_full_QCD,full_longitudinal_E,48^4,6.885,0.0949777,10,0.949777,0.4273(10),0.4273,0.001,0.49(20),0.49,0.2,"Table 2/3, PDF p.6",reported_table_row
14,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,7.158,0.0738309,13,0.959801,0.4008(18),0.4008,0.0018000000000000002,0.50(15),0.5,0.15,"Table 2/3, PDF p.6",reported_table_row
15,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.25765,0.173715,6,1.04229,0.3783(27),0.3783,0.0027,0.42(5),0.42,0.05,"Table 2/3, PDF p.6",reported_table_row
16,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.885,0.0949777,11,1.04475,0.3550(26),0.355,0.0026000000000000003,0.58(20),0.58,0.2,"Table 2/3, PDF p.6",reported_table_row
17,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.3942,0.15203,7,1.06421,0.3759(6),0.3759,0.0006000000000000001,0.47(8),0.47,0.08,"Table 2/3, PDF p.6",reported_table_row
18,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.33727,0.160714,7,1.125,0.3151(27),0.3151,0.0027,0.57(33),0.57,0.33,"Table 2/3, PDF p.6",reported_table_row
19,Baker2024_flux_tube_full_QCD,full_longitudinal_E,32^4,6.314762,0.164286,7,1.15,0.4258(35),0.4258,0.0035,0.44(17),0.44,0.17,"Table 2/3, PDF p.6",reported_table_row
20,Baker2024_flux_tube_full_QCD,full_longitudinal_E,24^4,6.445,0.144692,8,1.157536,0.426(5),0.426,0.005,0.60(27),0.6,0.27,"Table 2/3, PDF p.6",reported_table_row
