role,variant,records,M_gate_count,M_median
DTQC_POSITIVE,AFFINE_STATE,4,4,0.22436363337243453
DTQC_POSITIVE,CLOCK_EXCHANGE,4,4,0.22436363337243487
DTQC_POSITIVE,DOWNSAMPLE_5,4,4,0.22437180898785464
DTQC_POSITIVE,NOISE_0.02SD,4,4,0.22431860134414666
DTQC_POSITIVE,ORIGIN_SHIFT,4,4,0.22436363337243476
DTQC_POSITIVE,PREFIX_0.75,4,4,0.22913752751923824
MULTICLOCK_BREAKDOWN_LOW,AFFINE_STATE,2,0,0.05276472353563805
MULTICLOCK_BREAKDOWN_LOW,CLOCK_EXCHANGE,2,0,0.05276472353563805
MULTICLOCK_BREAKDOWN_LOW,DOWNSAMPLE_5,2,0,0.052824981392458045
MULTICLOCK_BREAKDOWN_LOW,NOISE_0.02SD,2,0,0.052722238238395905
MULTICLOCK_BREAKDOWN_LOW,ORIGIN_SHIFT,2,0,0.0527647235356379
MULTICLOCK_BREAKDOWN_LOW,PREFIX_0.75,2,0,0.054372847903254
MULTICLOCK_DECOUPLED_HIGH,AFFINE_STATE,2,0,0.1005262396974817
MULTICLOCK_DECOUPLED_HIGH,CLOCK_EXCHANGE,2,0,0.1005262396974871
MULTICLOCK_DECOUPLED_HIGH,DOWNSAMPLE_5,2,0,0.10050668175134875
MULTICLOCK_DECOUPLED_HIGH,NOISE_0.02SD,2,0,0.10050189982267155
MULTICLOCK_DECOUPLED_HIGH,ORIGIN_SHIFT,2,0,0.1005262396974835
MULTICLOCK_DECOUPLED_HIGH,PREFIX_0.75,2,2,0.1479974065289722
QP_NON_DTQC_TOPO,AFFINE_STATE,6,0,-0.009238979965425751
QP_NON_DTQC_TOPO,CLOCK_EXCHANGE,6,0,-0.009238979965426001
QP_NON_DTQC_TOPO,DOWNSAMPLE_5,6,0,-0.01280954356524955
QP_NON_DTQC_TOPO,NOISE_0.02SD,6,0,-0.00916528554054615
QP_NON_DTQC_TOPO,ORIGIN_SHIFT,6,0,-0.0092389799654258
QP_NON_DTQC_TOPO,PREFIX_0.75,6,0,-0.014597704753322449
QP_NON_DTQC_TRIVIAL,AFFINE_STATE,6,0,-0.054902271785346
QP_NON_DTQC_TRIVIAL,CLOCK_EXCHANGE,6,0,-0.054902271785347456
QP_NON_DTQC_TRIVIAL,DOWNSAMPLE_5,6,0,-0.10781432945074196
QP_NON_DTQC_TRIVIAL,NOISE_0.02SD,6,0,-0.0548155682517112
QP_NON_DTQC_TRIVIAL,ORIGIN_SHIFT,6,0,-0.0549022717853465
QP_NON_DTQC_TRIVIAL,PREFIX_0.75,6,0,-0.2742426766659595
