metric_a,metric_b,spearman_rho,abs_rho
FC_frac_mixed_gain,FC_frac_total_gain,0.9488721804511279,0.9488721804511279
JPR_parent_gain,FC_parent_full_r2,0.8872180451127819,0.8872180451127819
JPR_cover_advantage,FC_parent_full_r2,-0.7894736842105263,0.7894736842105263
JPR_parent_gain,JPR_cover_advantage,-0.7293233082706767,0.7293233082706767
JPR_cover_advantage,FC_frac_total_gain,0.5924812030075188,0.5924812030075188
JPR_cover_advantage,FC_frac_mixed_gain,0.5428571428571428,0.5428571428571428
FC_parent_full_r2,FC_frac_total_gain,-0.18796992481203006,0.18796992481203006
JPR_parent_gain,FC_frac_mixed_gain,0.06466165413533835,0.06466165413533835
FC_parent_full_r2,FC_frac_mixed_gain,-0.06466165413533835,0.06466165413533835
JPR_parent_gain,FC_frac_total_gain,-0.05112781954887218,0.05112781954887218
