name,class,label,rank,n,subsampled,regime,state,mean_Ak,min_Ak,Ak_at_kappa_max,mean_rho,max_rho,rho_at_kappa_max
INT01,INT_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.021802,0.221744,0.197408
INT02,INT_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.013029,0.183943,0.183943
INT03,INT_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.01484,0.208536,0.208536
INT04,INT_FREE,TRACEABLE,3,128,False,Geometric Persistence,Stable Structure,1,1,1,0.063963,0.325286,0.325286
INT05,INT_FREE,TRACEABLE,3,128,False,Geometric Persistence,Stable Structure,1,1,1,0.093801,0.391969,0.391969
INT06,INT_FREE,TRACEABLE,4,128,False,Geometric Persistence,Stable Structure,1,1,1,0.074753,0.34249,0.34249
R1F01,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017615,0.248297,0.248297
R1F02,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017566,0.249422,0.249422
R1F03,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017551,0.247516,0.247516
R1F04,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017592,0.247961,0.247961
R1F05,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017601,0.24968,0.24968
R1F06,R1_FREE,TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017567,0.24893,0.24893
R1N01,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017604,0.246641,0.246641
R1N02,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.01749,0.245188,0.245188
R1N03,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017537,0.246746,0.246746
R1N04,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017347,0.24419,0.24419
R1N05,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017429,0.247603,0.247603
R1N06,R1_FAIL,NON_TRACEABLE,1,128,False,Geometric Persistence,Stable Structure,1,1,1,0.017249,0.240976,0.240976
AFF01,AFF_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.077104,0.310185,0.310185
AFF02,AFF_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.070422,0.296333,0.222903
AFF03,AFF_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.067489,0.278,0.191566
AFF04,AFF_FREE,TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.036768,0.270724,0.270724
AFF05,AFF_FREE,TRACEABLE,3,128,False,Geometric Persistence,Stable Structure,1,1,1,0.07154,0.2503,0.242417
AFF06,AFF_FREE,TRACEABLE,3,128,False,Geometric Persistence,Stable Structure,1,1,1,0.253125,0.4625,0.342663
AFN01,AFF_FAIL,NON_TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.155471,0.431968,0.431968
AFN02,AFF_FAIL,NON_TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.06761,0.30275,0.24926
AFN03,AFF_FAIL,NON_TRACEABLE,3,128,False,Geometric Persistence,Stable Structure,1,1,1,0.094564,0.29125,0.269777
AFN04,AFF_FAIL,NON_TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.048715,0.279405,0.279405
AFN05,AFF_FAIL,NON_TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.013363,0.187351,0.187351
AFN06,AFF_FAIL,NON_TRACEABLE,2,128,False,Geometric Persistence,Stable Structure,1,1,1,0.013463,0.193154,0.193154
