filename,epsilon,regular,device,initial_state,disorder,q,closure,similarity,support,n_pairs
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,1,0.013908769058563544,0.01405969095436928,0.931587348347298,50
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,2,0.7925314515586568,0.8584676466775808,0.9212186863512462,49
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,3,0.017781038204746503,0.018096696191062484,0.9105494018620566,48
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,4,0.7235614136429321,0.7989540989740843,0.9008196856308606,47
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,5,0.021847308571638094,0.022345152684007642,0.8941245175137623,46
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,6,0.6862181830998949,0.7652111215707513,0.8890911703547567,45
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,7,0.021548869791905914,0.02221212437382691,0.8865705151355466,44
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,8,0.6669044445668972,0.7439970963853206,0.8867378559449549,43
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,9,0.020371397783907397,0.021150925484202006,0.8890125053488201,42
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,10,0.6749802124195097,0.7435924967080925,0.895277348521432,41
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,1,0.03785420406147825,0.0380520958838504,0.9303947993789321,50
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,2,0.7749230448662605,0.8424442682395422,0.9197205047982153,49
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,3,0.028198583616036627,0.028668750074770436,0.9090074975804798,48
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,4,0.742181983240438,0.8186941728618455,0.9000084533302629,47
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,5,0.03260370103208064,0.03335127348378793,0.8932486176078721,46
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,6,0.6969863360119272,0.776980197159641,0.888669936563961,45
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,7,0.029740914291501556,0.030716759736991686,0.8861397078495056,44
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,8,0.6723612678671207,0.7504704334405335,0.8858008467433053,43
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,9,0.03304233057756569,0.034192826582733205,0.888104697774342,42
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,10,0.6468477009350078,0.7173891858721946,0.8934721922893423,41
