filename,epsilon,regular,device,initial_state,disorder,accepted_qubits,early_RMS_reference
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.8686604262336266
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,45,0.8634361079200227
NewFloq_REF_Bro57_Eps002_T50_5IT_9Jul.dat,0.02,True,Brooklyn,standard_untagged,standard_or_unspecified,44,0.8622950792167416
NewFloq_REF_Bro57_Eps003_T50_5IT_02Sep.dat,0.03,True,Brooklyn,standard_untagged,standard_or_unspecified,45,0.8683573948417298
NewFloq_REF_Bro57_Eps003_T50_5IT_13Jul.dat,0.03,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.8643541444753389
NewFloq_REF_Bro57_Eps004_T50_5IT_01Sep.dat,0.04,True,Brooklyn,standard_untagged,standard_or_unspecified,46,0.8611500158184526
NewFloq_REF_Bro57_Eps004_T50_5IT_12Jul.dat,0.04,True,Brooklyn,standard_untagged,standard_or_unspecified,45,0.8651297678536476
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_PolND_RefDis.dat,0.05,False,Brooklyn,polarized,no_disorder_tagged,46,0.8747184575839749
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_RND_RefDis.dat,0.05,False,Brooklyn,random,reference_disorder_tagged,49,0.8489037132811444
NewFloq_REF_Bro57_Eps005_T50_5IT_13Jul.dat,0.05,True,Brooklyn,standard_untagged,standard_or_unspecified,42,0.8620219668019796
NewFloq_REF_Bro57_Eps005_T50_5IT_16Sep.dat,0.05,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.8479816967993727
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NEEL.dat,0.05,False,Brooklyn,neel,standard_or_unspecified,50,0.8632079003815549
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NoDIS.dat,0.05,False,Brooklyn,standard_untagged,no_disorder_tagged,42,0.8593516639497347
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_POL.dat,0.05,False,Brooklyn,polarized,standard_or_unspecified,50,0.873640684491403
NewFloq_REF_Bro57_Eps006_T50_5IT_14Jul.dat,0.06,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.8502072477323034
NewFloq_REF_Bro57_Eps007_T50_5IT_12Jul.dat,0.07,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.8292399392689849
NewFloq_REF_Bro57_Eps008_T50_5IT_20Aug.dat,0.08,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.8145019964179473
NewFloq_REF_Bro57_Eps008_T50_5IT_30Aug.dat,0.08,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.8309035837989884
NewFloq_REF_Bro57_Eps009_T50_5IT_20Aug.dat,0.09,True,Brooklyn,standard_untagged,standard_or_unspecified,46,0.8018762024209475
NewFloq_REF_Bro57_Eps009_T50_5IT_21Aug.dat,0.09,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.8038050629498927
NewFloq_REF_Bro57_Eps00_T50_5IT_30Aug.dat,0.0,True,Brooklyn,standard_untagged,standard_or_unspecified,46,0.8822851001309191
NewFloq_REF_Bro57_Eps011_T50_5IT_12Jul.dat,0.11,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.7786924070086122
NewFloq_REF_Bro57_Eps011_T50_5IT_21Aug.dat,0.11,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.787965528608404
NewFloq_REF_Bro57_Eps011_T50_5IT_9Jul.dat,0.11,True,Brooklyn,standard_untagged,standard_or_unspecified,46,0.7915641313088136
NewFloq_REF_Bro57_Eps012_T50_5IT_02Sep.dat,0.12,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.7512020015596744
NewFloq_REF_Bro57_Eps012_T50_5IT_12Jul.dat,0.12,True,Brooklyn,standard_untagged,standard_or_unspecified,44,0.7633466472936348
NewFloq_REF_Bro57_Eps012_T50_5IT_21Aug.dat,0.12,True,Brooklyn,standard_untagged,standard_or_unspecified,51,0.7340463207494942
NewFloq_REF_Bro57_Eps012_T50_5IT_30Aug.dat,0.12,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.7700109105981613
NewFloq_REF_Bro57_Eps013_T50_5IT_15Jul.dat,0.13,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.7674112025681142
NewFloq_REF_Bro57_Eps013_T50_5IT_20Aug.dat,0.13,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.7346213163342794
NewFloq_REF_Bro57_Eps013_T50_5IT_31Aug.dat,0.13,True,Brooklyn,standard_untagged,standard_or_unspecified,51,0.7351271775708891
NewFloq_REF_Bro57_Eps014_T50_5IT_02Sep.dat,0.14,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.7394538331364029
NewFloq_REF_Bro57_Eps014_T50_5IT_20Aug.dat,0.14,True,Brooklyn,standard_untagged,standard_or_unspecified,52,0.7129703828342706
NewFloq_REF_Bro57_Eps014_T50_5IT_22Aug.dat,0.14,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.7222212219528618
NewFloq_REF_Bro57_Eps015_T50_5IT_12Jul.dat,0.15,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.714772210692637
NewFloq_REF_Bro57_Eps015_T50_5IT_31Aug.dat,0.15,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.728272154224463
NewFloq_REF_Bro57_Eps017_T50_5IT_01Sep.dat,0.17,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.6715488098985031
NewFloq_REF_Bro57_Eps017_T50_5IT_02Sep.dat,0.17,True,Brooklyn,standard_untagged,standard_or_unspecified,51,0.660891725542781
NewFloq_REF_Bro57_Eps017_T50_5IT_12Jul.dat,0.17,True,Brooklyn,standard_untagged,standard_or_unspecified,45,0.6896098551090487
NewFloq_REF_Bro57_Eps017_T50_5IT_21Aug.dat,0.17,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.6926771790154778
NewFloq_REF_Bro57_Eps01_T50_5IT_20Aug.dat,0.1,True,Brooklyn,standard_untagged,standard_or_unspecified,48,0.7953811836519863
NewFloq_REF_Bro57_Eps01_T50_5IT_9Jul.dat,0.1,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.7911567596412166
NewFloq_REF_Bro57_Eps025_T50_5IT_19Aug.dat,0.25,True,Brooklyn,standard_untagged,standard_or_unspecified,47,0.5077955399511377
NewFloq_REF_Bro57_Eps02_T50_5IT_13Jul.dat,0.2,True,Brooklyn,standard_untagged,standard_or_unspecified,46,0.6106077711175872
NewFloq_REF_Bro57_Eps035_T50_5IT_19Aug.dat,0.35,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.2415272370097789
NewFloq_REF_Bro57_Eps03_T50_5IT_18Aug.dat,0.3,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.3784187009351034
NewFloq_REF_Bro57_Eps04_T50_5IT_19Aug.dat,0.4,True,Brooklyn,standard_untagged,standard_or_unspecified,50,0.2193732707556295
NewFloq_REF_Bro57_Eps04_T50_5IT_22Aug.dat,0.4,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.16615589591498572
NewFloq_REF_Bro57_Eps06_T50_5IT_30Jul.dat,0.6,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.20965463518691604
NewFloq_REF_Bro57_Eps07_T50_5IT_30Jul.dat,0.7,True,Brooklyn,standard_untagged,standard_or_unspecified,51,0.329656325792622
NewFloq_REF_Bro57_Eps08_T50_5IT_23Jul.dat,0.8,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.5643482961516902
NewFloq_REF_Bro57_Eps09_T50_5IT_23Jul.dat,0.9,True,Brooklyn,standard_untagged,standard_or_unspecified,49,0.7794415196754614
NewFloq_REF_Bro57_Eps0_T50_5IT_14Jul.dat,0.0,True,Brooklyn,standard_untagged,standard_or_unspecified,44,0.8671843931945118
NewFloq_REF_Man57_Eps001_T50_5IT_7Jul.dat,0.01,True,Manhattan,standard_untagged,standard_or_unspecified,38,0.8533882130226184
NewFloq_REF_Man57_Eps003_T50_5IT_6Jul.dat,0.03,True,Manhattan,standard_untagged,standard_or_unspecified,33,0.8273660079125199
NewFloq_REF_Man57_Eps004_T50_5IT_8Jul.dat,0.04,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.8521153573977313
NewFloq_REF_Man57_Eps005_T50_5IT_6Jul.dat,0.05,True,Manhattan,standard_untagged,standard_or_unspecified,32,0.8353289007720589
NewFloq_REF_Man57_Eps006_T50_5IT_7Jul.dat,0.06,True,Manhattan,standard_untagged,standard_or_unspecified,33,0.8286356592317042
NewFloq_REF_Man57_Eps007_T50_5IT_6Jul.dat,0.07,True,Manhattan,standard_untagged,standard_or_unspecified,32,0.833269515911435
NewFloq_REF_Man57_Eps007_T50_5IT_7Jul.dat,0.07,True,Manhattan,standard_untagged,standard_or_unspecified,35,0.8217641036641382
NewFloq_REF_Man57_Eps008_T50_5IT_8Jul.dat,0.08,True,Manhattan,standard_untagged,standard_or_unspecified,37,0.8171470097957778
NewFloq_REF_Man57_Eps009_T50_5IT_5Jul.dat,0.09,True,Manhattan,standard_untagged,standard_or_unspecified,35,0.8039031801693386
NewFloq_REF_Man57_Eps012_T50_5IT_4Jul.dat,0.12,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.7435238988741165
NewFloq_REF_Man57_Eps013_T50_5IT_16Aug.dat,0.13,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.7421496602504528
NewFloq_REF_Man57_Eps014_T50_5IT_15Jul.dat,0.14,True,Manhattan,standard_untagged,standard_or_unspecified,34,0.7184204081309828
NewFloq_REF_Man57_Eps015_T50_5IT_21Aug.dat,0.15,True,Manhattan,standard_untagged,standard_or_unspecified,38,0.6689070526829256
NewFloq_REF_Man57_Eps015_T50_5IT_5Jul.dat,0.15,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.6741867975066418
NewFloq_REF_Man57_Eps017_T50_5IT_6Jul.dat,0.17,True,Manhattan,standard_untagged,standard_or_unspecified,33,0.6407385511692897
NewFloq_REF_Man57_Eps01_T50_5IT_21Aug.dat,0.1,True,Manhattan,standard_untagged,standard_or_unspecified,35,0.7963146623184081
NewFloq_REF_Man57_Eps01_T50_5IT_22Aug.dat,0.1,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.7255118556510486
NewFloq_REF_Man57_Eps025_T50_5IT_20Aug.dat,0.25,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.45579704997641407
NewFloq_REF_Man57_Eps025_T50_5IT_22Aug.dat,0.25,True,Manhattan,standard_untagged,standard_or_unspecified,37,0.47400371705375594
NewFloq_REF_Man57_Eps025_T50_5IT_6Jul.dat,0.25,True,Manhattan,standard_untagged,standard_or_unspecified,35,0.47252996774941236
NewFloq_REF_Man57_Eps02_T50_5IT_16Aug.dat,0.2,True,Manhattan,standard_untagged,standard_or_unspecified,36,0.6178220572242874
NewFloq_REF_Man57_Eps02_T50_5IT_20Aug.dat,0.2,True,Manhattan,standard_untagged,standard_or_unspecified,37,0.5798764671885404
