filename,epsilon,regular,q,residue,ladder_closure,n_pairs
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,1,0,0.013908769058563544,50
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,2,0,0.7711237290009662,25
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,2,1,0.8148311625562507,24
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,3,0,0.019418396831747634,16
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,3,1,0.018574727542051826,16
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,3,2,0.01534999024044005,16
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,4,0,0.660920833339116,12
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,4,1,0.7845451992996223,12
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,4,2,0.6978850743340795,12
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,4,3,0.7533793779585455,11
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,5,0,0.019345342823985708,10
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,5,1,0.0068627752103545756,9
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,5,2,0.024247896776086877,9
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,5,3,0.03599507366770036,9
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,5,4,0.023063450574246556,9
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,0,0.5952957367711431,8
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,1,0.7453678124483711,8
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,2,0.6727688154394074,8
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,3,0.7241016719810693,7
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,4,0.6583605646294501,7
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,6,5,0.7278748094214651,7
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,0,0.03585576203231735,7
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,1,0.023828477263226486,7
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,2,0.03417764609699197,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,3,0.003945209476521349,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,4,0.021125654901011637,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,5,0.021670508091230282,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,7,6,0.007474414063420316,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,0,0.6602459064070633,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,1,0.6325450367952398,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,2,0.6121955644656989,6
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,3,0.6330129011016059,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,4,0.5098408165331503,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,5,0.8417489927246746,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,6,0.6905352007099282,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,8,7,0.7742565030043551,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,0,0.005923242108711736,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,1,0.03219478854478218,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,2,0.014735404866129875,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,3,0.029987257957845136,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,4,0.015520905875630204,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,5,0.030571400242970708,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,6,0.010250947022404111,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,7,0.018665476963789788,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,9,8,0.02381700324974646,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,0,0.49936006385020093,5
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,1,0.6008252917044259,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,2,0.5414109148134401,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,3,0.8225896516685189,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,4,0.7639417396872487,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,5,0.8073399864794293,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,6,0.7415711991209784,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,7,0.7290405260863088,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,8,0.6126057874743556,4
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,True,10,9,0.6750220004525167,4
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,1,0,0.03785420406147825,50
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,2,0,0.787276334458509,25
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,True,2,1,0.7620550348743348,24
