epsilon,n_files,closure_q0_median,family_contrast,first_local_peak_q_median
0.0,2,0.7258033849563916,0.6617242593766428,2.0
0.01,2,0.780838738724197,0.6867698517301677,2.0
0.02,2,0.7976919006735737,0.71070750018017,2.0
0.03,3,0.7609508691542086,0.6838490482090964,2.0
0.04,3,0.80085167070305,0.739264564921907,2.0
0.05,3,0.6998784576830716,0.6176503483485977,2.0
0.06,2,0.7547913516279814,0.6689401441538539,2.0
0.07,3,0.6623657670216317,0.5662872155376779,2.0
0.08,3,0.6381755183566669,0.5245756506515898,2.0
0.09,3,0.6531705111819187,0.5078049286020647,2.0
0.1,4,0.5804538991552819,0.46672816264363925,2.0
0.11,3,0.5196121414824068,0.44327479060467767,2.0
0.12,5,0.4830523027331078,0.32852104671464155,2.0
0.13,4,0.3950014494911316,0.30858426850427445,2.0
0.14,4,0.5167570170498902,0.42974671057486835,2.0
0.15,4,0.39028550580488053,0.3035439425183419,2.0
0.17,5,0.38718345348838096,0.2962265041923187,2.0
0.2,4,0.27220587283917563,0.1670847289041814,2.0
0.25,4,0.21216848565756197,0.13745319153530128,2.0
0.3,2,0.16582004110027468,0.10199780157279559,2.0
0.35,2,0.14190439465920332,0.07303335100739555,2.0
0.4,4,0.059296795683253425,0.012219371006147178,2.0
0.45,1,0.05659044457447942,0.0018902902067290603,2.0
0.47,1,0.04817441299675231,-0.0025529831395301045,nan
0.5,1,0.0647927601573584,-0.0030459812976867603,nan
0.6,1,0.08628385464298276,-0.009571912665441391,nan
0.7,1,0.10803536818556456,-0.012404180060496192,nan
0.8,1,0.13496047922501728,-0.014266495238701812,nan
0.9,1,0.18164849768398753,-0.015546482688849644,nan
