source_file,component,source_separation_fm,nominal_separation_group,n_points,peak_field_GeV2,fwhm_estimate_fm,area_trapz_GeV2_fm,data_status,target,center_field_GeV2,group_peak_median,peak_to_group_median,qc_decision,qc_reason
Ex_FULL_d0.7fm_scaling_normfact.agr,FULL,0.723,0.7 fm,21,0.38660507,0.5300796570331909,0.23069425343170627,parsed_from_extension_report_summary_table,,,0.35794964,1.080054361837045,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.7fm_scaling_normfact.agr,NP,0.723,0.7 fm,21,0.27401977,0.5442888692189063,0.17097349920857374,parsed_from_extension_report_summary_table,,,0.24456573,1.1204340444591316,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.7fm_scaling_normfact.agr,FULL,0.738,0.7 fm,31,0.34313548,0.5449168828176556,0.2193573215396938,parsed_from_extension_report_summary_table,,,0.35794964,0.9586138429975791,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.7fm_scaling_normfact.agr,NP,0.738,0.7 fm,31,0.24456573,0.5514685147893943,0.16080627188050745,parsed_from_extension_report_summary_table,,,0.24456573,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL-NP_beta7.158d10a.agr,FULL,0.74,0.738309 fm,31,0.34313548,0.5449168828176556,0.2193573215396938,parsed_from_extension_report_summary_table,,,0.34313548,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL-NP_beta7.158d10a.agr,NP,0.74,0.738309 fm,31,0.24456573,0.5514685147893943,0.16080627188050745,parsed_from_extension_report_summary_table,,,0.24456573,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.7fm_scaling_normfact.agr,FULL,0.76,0.7 fm,29,0.35794964,0.5528030525241341,0.2208124342589688,parsed_from_extension_report_summary_table,,,0.35794964,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.7fm_scaling_normfact.agr,FULL,0.76,0.7 fm,29,0.36507283,0.542313759629232,0.22330410271880904,parsed_from_extension_report_summary_table,,,0.35794964,1.0198999781086524,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.7fm_scaling_normfact.agr,FULL,0.76,0.7 fm,21,0.34299528,0.5434633671428915,0.21564540732434817,parsed_from_extension_report_summary_table,,,0.35794964,0.9582221677887426,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.7fm_scaling_normfact.agr,NP,0.76,0.7 fm,29,0.21439829,0.6175806874322953,0.15006327600278443,parsed_from_extension_report_summary_table,,,0.24456573,0.876648948321582,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.7fm_scaling_normfact.agr,NP,0.76,0.7 fm,29,0.24440229,0.5823358490294441,0.16054335545790377,parsed_from_extension_report_summary_table,,,0.24456573,0.9993317134007287,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.7fm_scaling_normfact.agr,NP,0.76,0.7 fm,21,0.25238141,0.5493838442497255,0.161232089603383,parsed_from_extension_report_summary_table,,,0.24456573,1.0319573801284423,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.9fm_scaling_normfact.agr,FULL,0.855,0.9 fm,29,0.27254803,0.6075973087984332,0.1920424999880922,parsed_from_extension_report_summary_table,,,0.27254803,1.0,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.9fm_scaling_normfact.agr,NP,0.855,0.9 fm,29,0.19229827,0.6510026294551768,0.15177768131787187,parsed_from_extension_report_summary_table,,,0.20093115,0.9570356313592989,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.9fm_scaling_normfact.agr,FULL,0.887,0.9 fm,29,0.27823745,0.6075863004332682,0.18729573330124555,parsed_from_extension_report_summary_table,,,0.27254803,1.0208749261552175,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.9fm_scaling_normfact.agr,NP,0.887,0.9 fm,29,0.21381966,0.6406306997585133,0.15960640223204617,parsed_from_extension_report_summary_table,,,0.20093115,1.0641439119817908,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.9fm_scaling_normfact.agr,FULL,0.912,0.9 fm,29,0.29663722,0.5926382823347496,0.1953188104067391,parsed_from_extension_report_summary_table,,,0.27254803,1.08838511876237,ACCEPT_FOR_TREND,passes_basic_qc
Ex_NP_d0.9fm_scaling_normfact.agr,NP,0.912,0.9 fm,29,0.21439829,0.6175806874322953,0.15006327600278443,parsed_from_extension_report_summary_table,,,0.20093115,1.067023654620003,ACCEPT_FOR_TREND,passes_basic_qc
Ex_FULL_d0.9fm_scaling_normfact.agr,FULL,0.95,0.9 fm,21,0.24257269,0.6325430978454549,0.1769653479298476,parsed_from_extension_report_summary_table,,,0.27254803,0.8900181373536253,ACCEPT_FOR_TREND,passes_basic_qc
