r_fm,gap01_GeV,gap12_GeV,G01_compression,G12_compression,C_gap,C_threshold,S01_abs_GeV_per_fm,S12_abs_GeV_per_fm,C_slope,C_flux,Pi_boundary_available,pressure_band,available_components,data_status,source_data_status,notes
1.12455,0.1449124035,0.06186589887,0,0.7356448336,0.3678224168,0,0.8315784477,0.09247977154,0.5359897572,,0.2775715263,MILD_BOUNDARY_TENSION,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.140615,0.1319712326,0.06023631624,0.2078512645,0.7562094076,0.4820303361,0,0.7720079196,0.1126279152,0.5107972693,,0.3186706723,MILD_BOUNDARY_TENSION,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.15668,0.1201077891,0.05824716395,0.3983928908,0.7813115832,0.589852237,0.02434782609,0.6955477099,0.13736255,0.4778547623,,0.3639100979,MILD_BOUNDARY_TENSION,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.172745,0.1096232847,0.05582285751,0.566787042,0.8119052016,0.6893461218,0.257173913,0.5989629792,0.1661193052,0.4348996679,,0.4769450001,MILD_BOUNDARY_TENSION,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.18881,0.1008631085,0.05290975067,0.7074863427,0.8486672533,0.778076798,0.49,0.4813329205,0.1956193871,0.3796060669,,0.5826448149,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.204875,0.09415805798,0.0495376066,0.8151777758,0.8912221413,0.8531999586,0.722826087,0.3474368138,0.2170187283,0.3100966842,,0.6793966452,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.22094,0.08969996372,0.04593693893,0.8867803021,0.9366608906,0.9117205964,0.9556521739,0.2113868159,0.2126276351,0.2253725738,,0.7657322067,HIGH_BOUNDARY_PRESSURE_NEAR_REPAIR,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.237005,0.08736619959,0.04270588068,0.9242634503,0.9774353412,0.9508493957,0.8115217391,0.09657289097,0.1562132605,0.1254429317,,0.707461643,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.25307,0.08659707673,0.04091780688,0.9366165178,1,0.9683082589,0.5786956522,0.02619642314,0.02575575438,0.01247521611,,0.6058960347,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.269135,0.08652450851,0.0418783483,0.9377820535,0.9878784145,0.962830234,0.6541304348,0.005587594333,0.1703283974,0.07797993208,,0.6456772927,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.2852,0.08641754733,0.04639045828,0.9394999829,0.9309376876,0.9352188352,0.8869565217,0.01584462065,0.3857395829,0.2003778462,,0.7452813154,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
1.301265,0.08601542085,0.05427216109,0.9459586331,0.8314742682,0.8887164507,0.8802173913,0.03204483123,0.5716018684,0.3104352142,,0.7496506094,ACTIVE_REPAIR_WINDOW_PRESSURE,gap|threshold|slope,STATIC_ONLY,MODEL_RECONSTRUCTION_FROM_REPORTED_PARAMETERS_NOT_RAW_DATA,STATIC_ONLY; FLUX_PATH_REMOVED
