struc_perc_id,source_ladder_id,object_name,supernova_type,band,phase_name,stage_index,n_points,time_start_mjd,time_end_mjd,duration_days,time_mid_mjd,mag_start,mag_end,mag_min,mag_max,mag_mean,mag_median,mag_range,mean_slope,median_slope,mean_curvature,median_curvature,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
B_SN1993J_B_peak,B_SN1993J_B,SN1993J,IIb,B,peak,2,26,49076,49081.78,5.78,49078.89,10.8,12.12,10.77,12.25,11.56307692,11.705,1.48,0.3154425934,0.2606112054,-0.1965753639,-0.2866502873,peak,maximum_observable_response,ejecta_cooling,transition_state,1.48,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_B_early_decline,B_SN1993J_B,SN1993J,IIb,B,early_decline,3,213,49081.95,49116.3,34.35,49099.125,12.28,13.4,11.1,13.42,11.98342723,11.93,2.32,-0.1930705236,-0.04772727273,1.857540725,-0.05613275613,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,2.32,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_B_plateau_or_shoulder,B_SN1993J_B,SN1993J,IIb,B,plateau_or_shoulder,4,90,49117.3,49191.86,74.56,49154.58,13.45,14.25,13.23,14.32,13.86311111,13.89,1.09,0.01742515039,0,0.02013724169,0.0008102918587,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,1.09,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_B_break,B_SN1993J_B,SN1993J,IIb,B,break,5,22,49198.93,49275.08,76.15,49237.005,14.34,15.65,14.34,15.65,15.04590909,14.935,1.31,0.02404958666,0.01479915433,1.851415168,0.0005166532328,break,transition_break,ambiguous,transition_state,1.31,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_B_tail_decay,B_SN1993J_B,SN1993J,IIb,B,tail_decay,6,47,49297.95,49513.95,216,49405.95,16.04,18.32,15.8,18.49,17.04042553,17.02,2.69,-0.006090427413,0.01003245795,0.04451913824,0.0002743484225,tail_onset,tail_decay,radioactive_tail,relaxation_state,2.69,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_B_late_relaxation,B_SN1993J_B,SN1993J,IIb,B,late_relaxation,7,3,49716.3,49831.95,115.65,49774.125,18.76,18.97,18.76,18.97,18.89666667,18.96,0.21,0.0039589511,0.00217445021,-4.881419023e-05,-4.881419023e-05,late_relaxation,late_basin_relaxation,late_remnant_relaxation,relaxation_state,0.21,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_I_rise,B_SN1993J_I,SN1993J,IIb,I,rise,1,106,49076.2,49091.17,14.97,49083.685,10.71,10.55,10.51,11.29,10.97886792,11.055,0.78,-0.2105732665,-0.06896551724,-4.615082802,0.002949678486,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,0.78,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_I_peak,B_SN1993J_I,SN1993J,IIb,I,peak,2,64,49091.2,49101.2,10,49096.2,10.52,10.56,10.36,10.56,10.4365625,10.42,0.2,-0.1276310155,-0.02,4.563978294,-0.1073164573,peak,maximum_observable_response,ejecta_cooling,transition_state,0.2,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_I_early_decline,B_SN1993J_I,SN1993J,IIb,I,early_decline,3,70,49101.89,49135.2,33.31,49118.545,10.6,11.51,10.55,11.52,11.00871429,10.935,0.97,-0.06205712602,0,0.04669669434,0,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,0.97,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
B_SN1993J_I_plateau_or_shoulder,B_SN1993J_I,SN1993J,IIb,I,plateau_or_shoulder,4,55,49136.3,49198.93,62.63,49167.615,11.53,12.9,11.53,12.9,12.16454545,12.17,1.37,-0.001631777328,0.009090909091,-0.009378533856,0.0114839156,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,1.37,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1993J_OSC_raw.json::SN1993J::photometry
