struc_perc_id,source_ladder_id,object_name,supernova_type,band,phase_name,stage_index,n_points,time_start_mjd,time_end_mjd,duration_days,time_mid_mjd,mag_start,mag_end,mag_min,mag_max,mag_mean,mag_median,mag_range,mean_slope,median_slope,mean_curvature,median_curvature,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
B_SN1987A_B_rise,B_SN1987A_B,SN1987A,II Pec,B,rise,1,141,46850.45,46918.72,68.27,46884.585,4.89,4.62,4.59,5.72,5.207744681,5.25,1.13,0.05387142347,0,2.037467123,0.002995735377,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,1.13,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_peak,B_SN1987A_B,SN1987A,II Pec,B,peak,2,6,46922.72,46924.76,2.04,46923.74,4.57,4.53,4.53,4.572,4.543666667,4.53,0.042,0.03658088234,-0.00625,-0.1811593945,-0.1811593945,peak,maximum_observable_response,ejecta_cooling,transition_state,0.042,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_early_decline,B_SN1987A_B,SN1987A,II Pec,B,early_decline,3,32,46929.79,46961.69,31.9,46945.74,4.53,5.49,4.53,5.49,4.817,4.6555,0.96,0.01278349528,0.009900990099,0.009163964396,0,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,0.96,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_plateau_or_shoulder,B_SN1987A_B,SN1987A,II Pec,B,plateau_or_shoulder,4,72,46964.71,47042.99,78.28,47003.85,5.666,6.55,5.666,6.6,6.157833333,6.11,0.934,-0.02486856559,0.009454999554,-0.07272787704,5.075884914e-05,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,0.934,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_break,B_SN1987A_B,SN1987A,II Pec,B,break,5,116,47044.04,47142.85,98.81,47093.445,6.57,7.24,6.57,7.25,6.939741379,6.985,0.68,0.0225964615,0.004903021126,5.648592896,4.139336694e-05,break,transition_break,ambiguous,transition_state,0.68,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_tail_decay,B_SN1987A_B,SN1987A,II Pec,B,tail_decay,6,278,47143.86,47465.92,322.06,47304.89,7.25,10.69,7.25,10.69,8.259604317,7.97,3.44,0.03256247559,0.01,5.041881035,0,tail_onset,tail_decay,radioactive_tail,relaxation_state,3.44,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_B_late_relaxation,B_SN1987A_B,SN1987A,II Pec,B,late_relaxation,7,40,47529.5,48396.5,867,47963,11.7,17.39,11.7,17.39,15.646,16.145,5.69,0.00922071411,0.005425724638,-0.0002755033376,-9.938639703e-06,late_relaxation,late_basin_relaxation,late_remnant_relaxation,relaxation_state,5.69,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_I_rise,B_SN1987A_I,SN1987A,II Pec,I,rise,1,114,46850.8,46924.76,73.96,46887.78,4.29,1.91,1.91,4.34,2.931894737,2.935,2.43,-0.0146255728,-0.03145744681,0.9890997008,-0.000203035379,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,2.43,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_I_peak,B_SN1987A_I,SN1987A,II Pec,I,peak,2,10,46929.79,46935.71,5.92,46932.75,1.92,1.91,1.9,1.935,1.9148,1.91,0.035,-0.01506300567,0,0.0002108092336,0.002304159662,peak,maximum_observable_response,ejecta_cooling,transition_state,0.035,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
B_SN1987A_I_early_decline,B_SN1987A_I,SN1987A,II Pec,I,early_decline,3,40,46940.71,46971.72,31.01,46956.215,1.916,2.84,1.916,2.84,2.3853,2.46,0.924,0.0256924065,0.02292384106,0.009100805557,-0.0102177353,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,0.924,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN1987A_OSC_raw.json::SN1987A::photometry
