struc_perc_id,source_ladder_id,object_name,supernova_type,band,phase_name,stage_index,n_points,time_start_mjd,time_end_mjd,duration_days,time_mid_mjd,mag_start,mag_end,mag_min,mag_max,mag_mean,mag_median,mag_range,mean_slope,median_slope,mean_curvature,median_curvature,transition_marker,boundary_role,support_regime_proxy,struc_perc_role,gap,gap_source,alpha_ready,unns_interpretation,raw_reference
B_SN2012aw_B_rise,B_SN2012aw_B,SN2012aw,II P,B,rise,1,6,56003.91,56005.82,1.91,56004.865,13.79,13.504,13.481,13.792,13.64533333,13.6525,0.311,0.1271535597,-0.05800118977,-2.348024664,0.2111959289,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,0.311,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B_peak,B_SN2012aw_B,SN2012aw,II P,B,peak,2,56,56005.9057,56015.4042,9.4985,56010.65495,13.602,13.457,13.32,13.602,13.47514286,13.4855,0.282,-6.715381416,0.02545219216,-2946.690114,-1.021743553,peak,maximum_observable_response,ejecta_cooling,transition_state,0.282,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B_early_decline,B_SN2012aw_B,SN2012aw,II P,B,early_decline,3,77,56015.87,56050.3929,34.5229,56033.13145,13.46,14.511,13.46,14.58,14.06679221,14.148,1.12,0.1537054211,0.04669779853,-4.516680245,-0.0253130587,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,1.12,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B_plateau_or_shoulder,B_SN2012aw_B,SN2012aw,II P,B,plateau_or_shoulder,4,97,56050.8927,56127.98,77.0873,56089.43635,14.543,15.92,14.47,15.92,14.88424742,14.81,1.45,0.4185365767,0.03,-0.08249957815,0.007698878165,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,1.45,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B_break,B_SN2012aw_B,SN2012aw,II P,B,break,5,7,56216.96,56230.54,13.58,56223.75,17.526,18.3,17.526,18.3,17.98728571,18.069,0.774,0.07478991023,0.0365,-0.02389849168,0.002510580134,break,transition_break,ambiguous,transition_state,0.774,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_B_tail_decay,B_SN2012aw_B,SN2012aw,II P,B,tail_decay,6,24,56230.98,56335.13,104.15,56283.055,18.088,18.98,17.85,18.98,18.449375,18.4125,1.13,-0.0042083361,0.009763356562,0.008130467222,0.0008960264306,tail_onset,tail_decay,radioactive_tail,relaxation_state,1.13,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_H_rise,B_SN2012aw_H,SN2012aw,II P,H,rise,1,10,56009.57,56041.62,32.05,56025.595,12.95,12.34,12.34,12.95,12.604,12.595,0.61,-0.02948024429,-0.01661129568,0.001822220761,0.002346189469,rise_onset,boundary_response_rise,shock_cooling,observable_ladder_state,0.61,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_H_peak,B_SN2012aw_H,SN2012aw,II P,H,peak,2,2,56049.49,56051.92,2.43,56050.705,12.21,12.03,12.03,12.21,12.12,12.12,0.18,-0.04529624924,-0.04529624924,0.004745773271,0.004745773271,peak,maximum_observable_response,ejecta_cooling,transition_state,0.18,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_H_early_decline,B_SN2012aw_H,SN2012aw,II P,H,early_decline,3,3,56062.91,56087.91,25,56075.41,12.74,12.12,12.12,12.74,12.34666667,12.18,0.62,0.006401503281,-0.01993355482,0.0003577585292,0.0004426052917,decline_onset,post_boundary_relaxation,ejecta_cooling,relaxation_state,0.62,phase_local_magnitude_range,yes,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
B_SN2012aw_H_plateau_or_shoulder,B_SN2012aw_H,SN2012aw,II P,H,plateau_or_shoulder,4,1,56095.94,56095.94,0,56095.94,12.23,12.23,12.23,12.23,12.23,12.23,0,0.01369863014,0.01369863014,,,plateau_onset,plateau_or_buffer_regime,recombination_plateau,relaxation_state,0,phase_local_magnitude_range,partial,compact object-band-phase observable boundary-response state derived from Phase B light-curve ladder,SN2012aw_OSC_raw.json::SN2012aw::photometry
