label,q,closure,similarity,support,n_pairs
fig2d_g097,1,0.00012163595117231983,0.0001259691826723952,0.9620038395612311,100
fig2d_g097,2,0.95404668877447,0.9923336955984154,0.961448203817418,99
fig2d_g097,3,0.00011946894034774946,0.00012380673051000125,0.9605209987781351,98
fig2d_g097,4,0.9507624526200407,0.9904998618386921,0.9599017154570701,97
fig2d_g097,5,0.00012342776843461123,0.00012811685147860277,0.9589371264587537,96
fig2d_g097,6,0.9473560169836506,0.9885502870283377,0.9583299007471381,95
fig2d_g097,7,0.0001323975068647129,0.00013766953935274434,0.9575045869874564,94
fig2d_g097,8,0.9440452416034888,0.9865376875808419,0.9569108040775661,93
fig2d_g097,9,0.0001419138948315207,0.00014793586269723854,0.9563015494410664,92
fig2d_g097,10,0.9416952069019537,0.9850233766330712,0.955971485074356,91
fig2d_g060,1,0.008584805662854097,0.025448991090349184,0.3884939416475415,25
fig2d_g060,2,0.2896731211153218,0.7004386753727448,0.42527622833209366,24
fig2d_g060,3,0.011343454899194977,0.03183309364203173,0.34722901551232527,23
fig2d_g060,4,0.2735360891939566,0.6851303586968224,0.40508311645560263,22
fig2d_g060,5,0.011715060536605522,0.03411241526372975,0.34614963582581687,21
fig2d_g060,6,0.2498894286341764,0.6579848330610852,0.3847502776680924,20
fig2d_g060,7,0.011372639670335713,0.03359791514918141,0.33437364931568836,19
fig2d_g060,8,0.23994368120647872,0.6522066308908849,0.3712888435376453,18
fig2d_g060,9,0.01220400518672095,0.03545401889540134,0.33541334280790197,17
fig2d_g060,10,0.22810765044834458,0.6111380558308874,0.36980698626020025,16
fig3a_mbl,1,8.203677011958755e-07,1.3934641323506043e-06,0.4707951741911156,60
fig3a_mbl,2,0.448274319495837,0.9742630571078549,0.4618256008723209,59
fig3a_mbl,3,1.682974699675854e-06,2.8602791427291695e-06,0.4525467319218623,58
fig3a_mbl,4,0.4181978133111033,0.9489323358312234,0.443763574244301,57
fig3a_mbl,5,2.9002717494563334e-06,5.087187739751174e-06,0.43554548102476864,56
fig3a_mbl,6,0.39182206468959163,0.9243711368139244,0.42779432280253177,55
fig3a_mbl,7,4.12751376560096e-06,7.521233670687783e-06,0.4205486940579213,54
fig3a_mbl,8,0.36873041956889685,0.900670827697453,0.4137680826551741,53
fig3a_mbl,9,5.081565898245079e-06,9.633159765545155e-06,0.4074925179054348,52
fig3a_mbl,10,0.34855582415365216,0.8779476332507378,0.4015530971123305,51
fig3a_prethermal,1,1.782120810486748e-05,6.77358542215641e-05,0.32029840317101743,60
fig3a_prethermal,2,0.29255360476848785,0.9570728499714596,0.3087780371230686,59
fig3a_prethermal,3,7.773791137166561e-05,0.00018479280610165163,0.2968604170734852,58
fig3a_prethermal,4,0.2558866419598215,0.9143120655431684,0.28565597054220243,57
fig3a_prethermal,5,0.00018224701289235078,0.00040489307834771067,0.27538126685614894,56
fig3a_prethermal,6,0.2255753670619242,0.8729998369374288,0.2659686059208153,55
fig3a_prethermal,7,0.00031086082861420914,0.0007033723755362548,0.25754721539924524,54
fig3a_prethermal,8,0.2011793653184198,0.8336215994930551,0.2498301082858346,53
fig3a_prethermal,9,0.00043777283217008947,0.001036367698014507,0.24282729959114271,52
fig3a_prethermal,10,0.1809877572514357,0.7959808296385361,0.23626441974505838,51
