name,n,verdict,giantRatio,kappa_connect,isolated,isolatedFraction,tailDominance,runStatus
"tcv_lh__B_t_T.csv",92,FULL_PERCOLATION,1.000000,15961.265175,0,0.000000,0.990819,COMPLETE
"tcv_lh__chi_eff_candidate.csv",89,HARD_FRAGMENTATION,0.955056,,2,0.022472,0.573016,COMPLETE
"tcv_lh__delta.csv",92,FULL_PERCOLATION,1.000000,3590.347823,0,0.000000,0.970848,COMPLETE
"tcv_lh__divertor_signal_150_candidate.csv",92,FULL_PERCOLATION,1.000000,108.004197,0,0.000000,0.586553,COMPLETE
"tcv_lh__divertor_signal_candidate.csv",92,HARD_FRAGMENTATION,0.913043,,2,0.021739,0.585082,COMPLETE
"tcv_lh__dWmhd_dt_candidate_MW.csv",92,FULL_PERCOLATION,1.000000,7.875334,0,0.000000,0.583914,COMPLETE
"tcv_lh__event_time.csv",86,FULL_PERCOLATION,1.000000,135.666667,0,0.000000,0.613300,COMPLETE
"tcv_lh__helium_fraction_candidate.csv",92,FULL_PERCOLATION,1.000000,2729.177548,0,0.000000,0.874972,COMPLETE
"tcv_lh__hydrogen_fraction_candidate.csv",90,FULL_PERCOLATION,1.000000,4.585796,0,0.000000,0.346909,COMPLETE
"tcv_lh__I_p_MA.csv",92,FULL_PERCOLATION,1.000000,2594.449176,0,0.000000,0.964899,COMPLETE
"tcv_lh__kappa.csv",92,FULL_PERCOLATION,1.000000,3153.942685,0,0.000000,0.955530,COMPLETE
"tcv_lh__minor_radius_m.csv",92,FULL_PERCOLATION,1.000000,6129.494741,0,0.000000,0.974144,COMPLETE
"tcv_lh__n_e_1e20_m3.csv",92,FULL_PERCOLATION,1.000000,92.891340,0,0.000000,0.653560,COMPLETE
"tcv_lh__n_Ryter.csv",92,FULL_PERCOLATION,1.000000,2135.785906,0,0.000000,0.966034,COMPLETE
"tcv_lh__P_LH_candidate_MW.csv",92,FULL_PERCOLATION,1.000000,155.367576,0,0.000000,0.704440,COMPLETE
"tcv_lh__P_loss_candidate_MW.csv",89,FULL_PERCOLATION,1.000000,40.945583,0,0.000000,0.308138,COMPLETE
"tcv_lh__P_Ryter.csv",92,FULL_PERCOLATION,1.000000,9283.273751,0,0.000000,0.988691,COMPLETE
"tcv_lh__P_total_aux_candidate_MW.csv",89,HARD_FRAGMENTATION,0.977528,,2,0.022472,0.290259,COMPLETE
"tcv_lh__P_total_candidate_MW.csv",92,HARD_FRAGMENTATION,0.978261,,2,0.021739,0.423619,COMPLETE
"tcv_lh__q95.csv",92,FULL_PERCOLATION,1.000000,1878.612542,0,0.000000,0.972717,COMPLETE
"tcv_lh__R_geo_m.csv",92,FULL_PERCOLATION,1.000000,21613.556080,0,0.000000,0.995134,COMPLETE
"tcv_lh__volume_m3.csv",92,FULL_PERCOLATION,1.000000,2114.004342,0,0.000000,0.942404,COMPLETE
"tcv_lh__Wmhd_J.csv",92,FULL_PERCOLATION,1.000000,131.710758,0,0.000000,0.560391,COMPLETE
"tcv_lh__Z_eff.csv",90,FULL_PERCOLATION,1.000000,161.975194,0,0.000000,0.702507,COMPLETE
