section,metric,value
scale,edges,5164
scale,layers,5
scale,source_nodes,4830
scale,persistence_mean_sources,0.34663561076604554
scale,persistence_p90_sources,0.5
scale,branch_fraction_all,0.025772705658582976
scale,merge_fraction_all,0.033190679980979555
scale,entropy_mean_sources,0.043663367091521
scale,conservation_mean,0.7402789097522333
time,edges,8954
time,layers,10
time,source_nodes,8806
time,persistence_mean_sources,0.5006813536225301
time,persistence_p90_sources,0.8888888888888888
time,branch_fraction_all,0.01359961959106039
time,merge_fraction_all,0.011031859248692344
time,entropy_mean_sources,0.012785434262644172
time,conservation_mean,1.04202407445066
stitch,eligible_sources,3962
stitch,cells,32
stitch,mean_defect,0.014171635400793336
stitch,p90_defect,0.0
stitch,max_defect,0.9156276794201046
null_quality,swap_attempts_total,7056000
null_quality,swap_accepted_total,7047947
null_quality,mean_mobility_fraction,0.9988587018140589
null_quality,median_mobility_fraction,0.9988662131519275
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,CONSTRAINED_ROUTING
