null_index,seed,swap_attempts,swap_accepted,mobility_fraction,mobile_groups,transition_groups,graph_signature,matches_real_graph,scale_persistence,time_persistence,stitch_defect
1,20260905,70560,70485,0.998937074829932,75,81,483ba97e74e74ef068340a17d08e5d76ac8687dd895153937cea9cb044445322,False,0.3467391304347826,0.4892119009766069,0.9971248639911096
2,20260906,70560,70485,0.998937074829932,75,81,f52b859abf445526f66c4a2c9fc26b446c1ea69f3f25f7381dc6529a296b2f08,False,0.34767080745341616,0.4887324299089005,0.9946029699785134
3,20260907,70560,70487,0.9989654195011338,75,81,5cf1695ddb0d52a9600b3025645533a06295ef3b3ba5d2793ded7a44f1079628,False,0.3475672877846791,0.48800060564766456,0.994501554622986
4,20260908,70560,70483,0.9989087301587302,75,81,a4eb4c1d66a52b445c0038b34185082a1713203776f5ced2d3d8ae0d522e51bc,False,0.3476190476190476,0.4874706639412522,0.9978516877820272
5,20260909,70560,70485,0.998937074829932,75,81,cb0711ea9080013920e3fdbc53542c87c2709f1d58fdee82897e6f82fcd5f06a,False,0.34720496894409936,0.4863855452090746,0.9964450994071711
6,20260910,70560,70485,0.998937074829932,75,81,1a4b7ac70d2c99f5388fd667af17afa29e6b5be281798ce9692d01b28ec99cb4,False,0.3476190476190476,0.4901708431120196,0.9976151803197552
7,20260911,70560,70483,0.9989087301587302,75,81,31409db92bf638c0cf5c9562f4c1d1d494a4a32c5aa530f710d39af458f6fc72,False,0.3464285714285714,0.4874706639412522,0.9947288523772853
8,20260912,70560,70469,0.9987103174603175,75,81,932a91650743340745d1900cf01cc01ecf9c4996fcba4f28c9fe107278cfbd10,False,0.3480848861283644,0.4884548413960179,0.9954930427475854
9,20260913,70560,70480,0.9988662131519275,75,81,50856e006d1e3df32259512de048b59a73aabf65b92fdf0ff76363e5278ecba3,False,0.3470496894409938,0.4881141645847529,0.996190979301577
10,20260914,70560,70460,0.9985827664399093,75,81,e69cfd221de7d7bad5c33f456c9e629f9c111e059a2d91a33a355a0ba12e8546,False,0.34679089026915116,0.4891235773588715,0.995803912416359
11,20260915,70560,70492,0.9990362811791383,75,81,9c5013d0e317702f78a1f6f1902f00cd863d225bea8eb42c1a3d223fc04b61df,False,0.3464285714285714,0.4912811971635502,0.9947517900493765
12,20260916,70560,70468,0.9986961451247166,75,81,54866bcfb97f1ac65e98134776dd1f889fd52d8cd36881e9b633916608bfae89,False,0.3474120082815735,0.48718045776869306,0.9956029560989123
13,20260917,70560,70471,0.9987386621315193,75,81,362f135446b6b21c0ee9002ca83b2524470a5c9c8942b6f0a6f23460e376b741,False,0.34684265010351967,0.48848007671537086,0.9959598890380829
14,20260918,70560,70476,0.9988095238095238,75,81,de3567020606daf3d76aeea68507ca2c6125f482d4be9dab96c1c83e8fbd29d2,False,0.347360248447205,0.4888459888459889,0.9959719961805565
15,20260919,70560,70488,0.9989795918367347,75,81,95cb626cab62ac991684269af1c6a4328b8a397a7a0a144274ad372a1a1c1639,False,0.3473084886128364,0.4865117218058395,0.9952870224788206
