x_mpc,y_mpc,z_mpc
-150.5048,-162.2212,51.1661
-130.9937,-172.9050,67.3054
222.4040,-46.0616,-0.6106
-61.5002,-193.2010,102.3571
-217.8258,-52.2767,37.4842
-164.4254,153.9509,29.1692
-174.1929,-113.6093,91.3093
-61.6199,-184.4982,117.2655
-97.3285,-186.1921,86.3003
-111.0472,127.1640,151.9437
206.2845,75.1156,58.2540
-211.8435,-69.9196,42.7025
-60.4795,-206.1903,73.6082
-97.4761,-205.1544,0.6941
-157.7006,-117.1555,113.9980
-178.5928,-137.7270,26.9527
-192.8759,67.4576,99.1921
-110.8521,188.4990,61.4068
-61.6429,-193.5791,101.5783
-138.7025,-35.1283,176.4046
-109.5967,188.9475,62.2798
170.6091,149.9148,-3.1077
-63.3522,-130.2090,174.9962
125.6595,189.2045,-1.7361
-175.8895,-125.7604,69.5644
-87.1524,126.3119,167.4574
-195.3249,-115.8460,-4.5360
212.9735,78.9283,-2.4353
-83.2566,-206.3162,45.7754
195.4455,-115.7087,-2.6022
187.2872,-125.0505,-29.7114
-173.5769,-141.1776,39.2030
-174.6189,-129.6019,65.6434
-161.4414,-116.3319,109.5498
-213.5853,-77.3239,0.7202
-66.2974,-129.2975,174.5999
-181.9031,-134.1314,22.7736
-176.2503,-125.4461,69.2659
-160.7617,130.5736,93.3094
-119.2181,0.4710,193.3581
-85.8526,130.0018,165.3167
-89.4774,-127.5461,165.3087
-144.5390,-174.3713,17.4661
203.8819,43.6441,90.1640
-151.1670,5.1826,169.4818
-62.3098,-192.5582,103.1622
-132.6662,-170.6042,69.9864
-116.3607,185.3706,60.8455
158.2806,-162.9140,-3.2446
-217.5829,62.8622,17.6393
-176.3869,136.9697,41.6190
-12.2690,-119.3039,192.9281
180.9734,132.8613,-34.6675
-166.1989,154.8507,2.2731
208.4510,89.7845,-9.6457
-177.7060,-44.1095,134.4669
-114.5448,-195.5609,15.5757
-96.5341,192.7257,71.7370
-151.7265,141.1633,93.0606
-112.6192,138.1123,140.8928
-214.9633,-63.7055,36.6288
217.5565,-65.3930,1.6182
-124.4344,-184.9937,43.6388
-118.1075,91.0582,171.3772
-192.7975,-110.0739,48.2125
-134.6793,8.3579,182.7656
-174.5357,-129.7289,65.7305
-89.7087,57.6258,200.6113
-148.2855,-166.6464,43.0542
-159.6330,81.9498,139.3374
199.4164,108.7956,-3.1602
200.6820,-102.1881,-29.9640
-188.4287,-51.3256,116.0775
-118.9479,189.8208,37.8586
-193.6909,70.9916,95.1733
223.6529,27.7722,-28.6788
212.4458,-80.5077,0.5287
-84.7771,10.4062,210.5221
-83.7214,-205.4079,49.1257
-126.5036,-136.4116,130.4006
-52.1476,-177.6178,131.7150
-156.8213,66.2274,150.4575
-200.6391,-102.6874,28.5680
166.5270,-154.5315,2.5508
-92.7319,170.1812,118.5631
-121.6315,144.4399,126.3372
-125.9978,-132.8970,134.4665
214.1464,-75.8391,-3.0637
-191.0206,93.3305,80.1268
-21.6085,-92.2011,206.5240
-217.9300,-58.9283,25.5757
-138.7857,-32.8831,176.8567
143.4245,176.2089,-1.0534
-111.2675,-39.6469,194.0860
212.9041,79.2838,-2.9410
-199.5707,-105.5828,25.4319
-108.2897,-157.4105,122.9569
-95.6197,-200.7248,46.7974
-190.1896,-124.2418,-4.0138
-174.2124,-125.6255,74.1127
-145.8538,2.8577,174.1948
-184.0871,-107.8545,78.1369
-220.7739,51.8099,14.2008
-147.3554,-79.5040,153.6006
-115.4530,114.0243,159.0527
-164.0816,-0.9085,157.1820
-111.1250,194.3868,38.6657
-113.8479,-195.5523,20.6910
-153.1637,26.2924,165.7703
-196.9952,-110.6684,24.0030
-118.4063,1.7143,193.9286
-86.8829,-124.9796,168.7091
-63.0815,-130.4953,174.9976
-165.3210,155.0459,16.1929
-180.3182,-47.8121,129.7412
-154.0123,152.9935,67.1319
-152.7540,23.5258,166.5746
-90.8436,-173.2851,115.5613
-81.9781,130.1673,167.2476
-156.0642,151.1163,66.6655
-108.9555,117.6293,161.0244
-154.5678,-51.1552,158.5213
177.3127,-140.6680,20.2532
-149.2069,44.4598,165.5239
-164.8861,105.5617,115.3556
-204.4712,-90.0699,41.4334
-194.6809,71.0394,93.2279
-130.4340,178.6452,52.0737
-157.6811,151.6687,61.4195
-113.8519,-195.6431,20.0186
-163.3220,-45.7863,151.2243
-186.0041,-127.9470,25.9149
217.1041,29.6821,60.2051
-129.7273,-138.2966,125.2443
-208.7961,78.1308,44.0581
178.5131,140.6222,-0.0724
-207.1602,-93.0624,-8.0982
-125.8854,-162.7034,96.5617
-170.7066,-140.3355,53.0082
-21.8025,-105.1296,200.2926
-202.9747,61.9103,81.3217
-96.5579,193.0209,71.1643
-88.6552,125.8835,167.1510
-174.5094,-141.4832,34.2797
-201.4775,-101.4020,27.7618
-61.9378,-174.1449,132.2257
-206.7364,-93.3539,-13.8608
219.7091,-8.6202,57.4623
217.3526,66.3115,3.0628
-91.4901,-187.4365,90.2559
-173.2041,-141.7921,39.3028
-152.0922,20.2566,167.6531
-103.0645,107.2651,171.8211
-132.8197,-31.7954,181.6570
-136.7283,166.7089,71.8742
-205.2596,-97.5616,-1.7011
-175.9110,-140.2962,32.0158
-210.9802,69.7007,47.7716
-180.7045,-137.5696,-8.5755
-166.3544,-68.3911,138.9328
195.7324,-115.4046,-4.9547
-156.9711,161.9849,27.8375
-112.3395,-197.5667,-1.1375
219.9425,-6.5342,56.8929
-93.0438,-199.6198,56.1211
-132.5296,122.0127,138.5776
-171.5522,-126.8351,78.3504
217.4660,-66.0494,1.4972
-182.0404,-96.4226,96.0227
146.0467,174.1216,-2.9290
-192.7146,-78.7552,91.1883
-145.9432,15.2584,173.5657
199.9075,100.7960,-39.1949
-92.5758,128.2608,163.2119
-130.5153,30.4144,183.5768
-149.4636,-171.1506,-5.3023
-112.1524,23.0845,196.3389
-164.2379,-143.2657,64.5097
-200.6418,-106.7186,-4.0863
-100.7811,192.7955,65.8485
222.7135,25.4041,-37.6430
-211.5389,69.9406,44.9840
207.8262,55.5772,73.3721
156.3580,-164.9643,-1.9315
-60.8939,-132.0694,174.6849
-91.7894,17.2341,207.2268
-211.2302,68.0765,49.1296
217.7141,-65.3120,1.1802
-209.4573,74.6551,47.1282
-169.2200,133.4849,72.2032
-166.0006,75.9024,135.4613
-65.7685,-129.3909,174.9278
-125.5072,137.7554,130.1505
-155.3443,94.1649,136.6347
-128.0442,-160.4146,97.6756
-215.0815,-63.2445,37.5362
-202.1011,-93.8879,44.8252
-70.7007,-185.6902,110.4091
-83.8604,131.6620,165.2351
-82.4319,132.6804,165.1411
-158.1579,-122.7098,107.6999
-153.9790,55.7772,157.6415
-167.1838,-148.3022,41.5649
-212.7172,-69.9114,39.1901
-143.0358,-147.3602,97.4650
-216.8307,-68.1457,3.8072
-174.6723,-129.7281,65.8340
-158.9491,145.9894,71.3894
-211.1984,69.9763,46.6138
-184.4675,-132.8119,2.8066
-194.5315,-117.3862,-7.3575
217.9416,-64.5026,4.1850
-47.2698,-189.8932,115.6857
-132.5529,-32.6236,181.7765
-188.7031,-96.8930,81.7384
-193.2727,69.3190,97.5687
-177.1968,30.9843,138.9986
-192.8979,69.6880,98.0526
-203.8521,21.8585,98.2188
-159.9067,-156.6953,39.4611
-147.1986,-172.9655,-9.8208
-217.7920,2.4559,65.1294
-119.7421,190.0020,35.2463
-162.5868,0.0737,158.8923
-126.0812,-181.6799,52.6996
-214.1324,-76.2526,3.7672
-201.0329,28.1134,102.3571
-145.9884,-174.0198,-9.3835
-208.4663,-7.3221,90.3996
-152.9658,153.8515,67.9388
181.9132,133.1220,-29.5111
-179.9343,-104.2937,91.8226
-61.8385,-130.9471,175.2548
-152.8536,37.7929,163.9918
-184.4491,-108.1426,77.2640
-173.1022,-131.0600,67.4162
-159.9744,-150.9068,57.6357
-164.5975,-32.1863,153.4871
-163.7823,-143.8050,64.6738
-198.6558,70.8219,84.8966
182.0051,130.6071,-38.7761
-153.4237,4.6653,167.7118
-133.0200,-170.3575,70.5137
-169.8432,-29.0399,148.3179
-160.2603,-45.6202,154.6738
-221.3084,30.9549,41.8720
-183.6828,-133.6991,8.6093
226.5072,-19.5155,-1.7625
-212.2258,-69.8894,42.0150
-175.9295,-140.3462,32.2743
-178.8379,-90.9144,106.9650
-86.1262,-29.1004,208.3876
212.9608,79.5444,-3.2435
-201.0495,94.4397,48.4820
-136.1584,134.9412,122.2377
-148.3966,49.7106,164.9169
-68.1362,110.8869,186.4227
-213.8002,-73.6651,23.5727
-108.6906,-186.0939,72.4443
-135.3113,141.0915,116.0912
-199.1039,71.5893,83.2243
-210.4389,1.5142,86.0636
-190.4805,-124.1263,2.1049
179.6449,135.2392,-33.6558
-166.8735,-81.6235,131.0955
-130.9296,172.9671,68.0844
-209.3780,-75.8008,45.9459
-180.5623,-138.1716,1.4643
-91.4947,-106.9669,178.5595
-132.9543,-158.5793,94.1958
-132.4910,-77.7857,167.6086
-226.3030,5.7303,21.2754
-226.3414,6.2809,20.7263
-159.9233,-150.7250,58.3606
-85.3105,130.7262,165.3260
-217.7749,16.8084,63.1820
-170.8523,-55.1813,139.5167
227.2494,7.2372,2.4277
-133.3935,-2.9151,184.1150
-97.4615,-189.0251,80.4458
-220.6280,52.8630,15.1594
-158.9818,162.3220,8.8852
-82.9099,138.4574,160.1816
-168.8498,-17.9541,151.2315
-63.0424,-143.9217,164.3653
-140.8576,-172.2365,46.8796
-179.2975,-137.1310,27.4146
-209.3680,-84.4424,27.1799
213.8268,77.3384,1.2234
223.3855,-24.5354,-34.6914
-90.1399,121.5518,169.7278
-69.7798,-190.5941,102.5328
-203.9857,46.5048,89.0871
-172.2639,-142.9827,39.8820
-171.0068,-134.9423,65.2460
-153.0773,153.5953,68.4546
-195.8719,58.5765,99.5675
-132.7193,167.7008,77.2891
-208.6710,77.1574,47.0719
186.5188,-125.7156,-33.4542
-187.7071,-100.6939,79.6307
-128.9072,-139.2401,125.3381
-56.8866,-179.7566,127.1476
-81.8853,-205.6331,52.2125
-82.1520,141.7775,157.6925
-133.4293,-77.6900,166.9661
-72.9550,-128.9516,172.5315
-167.2124,154.1090,2.9321
-220.5737,-36.4056,41.7174
-157.6671,-118.0903,113.6416
-160.1363,-116.1246,112.2103
-77.4500,-59.9332,205.2549
-90.6729,-175.0809,113.3367
206.4259,75.8828,57.8877
-141.1242,-132.6995,119.1454
-164.0926,-88.4871,130.2500
-140.6366,161.1666,77.2550
-200.6742,17.6493,105.5469
-112.3116,146.1570,133.2144
-59.7925,-183.8909,119.7151
-130.3603,-171.6280,72.6188
-132.6698,117.5767,142.4718
-186.6764,-8.7562,129.6133
-187.3192,-9.3008,128.6488
-60.5947,-131.8062,175.1627
217.5343,66.3299,2.4215
-104.4397,121.6968,161.2730
-112.7664,187.2037,62.9711
-196.3839,11.3816,114.1528
-174.4712,-130.3176,65.6068
-176.5985,-125.4208,69.3553
-193.8147,69.4986,96.6100
-208.5258,77.6604,47.0540
-226.1452,19.9490,-13.7490
-143.2760,-146.8497,98.1629
216.7137,53.6807,-43.3937
-154.0576,-68.4497,152.6792
-152.9010,2.0732,168.3677
-119.2195,-186.2789,53.0810
-130.2273,166.5640,83.8334
-173.1611,-142.1043,39.3996
-204.2268,-91.1670,41.3634
-189.2617,-126.0053,5.8174
-136.1138,-175.8815,47.6442
-152.3343,153.9254,69.5217
-191.4483,64.6576,104.3993
-168.6105,73.5492,133.7660
-121.2734,145.2151,126.2447
-205.1911,-93.4957,29.7994
-211.2386,72.7947,42.5693
-189.1160,45.4655,117.9033
-164.0553,-113.1084,109.6609
-145.7006,-174.5118,-7.1100
158.9837,-162.6441,-2.2436
-82.0999,-205.1302,53.9947
222.8231,24.6415,-38.4349
-171.2612,-135.2829,64.0527
-86.3277,-165.4069,130.0880
-148.9776,54.8723,162.8793
-170.2071,-135.8003,65.7510
-180.3544,-138.5636,2.7926
-82.7774,-204.8203,54.1542
-218.0831,-48.8026,42.3637
-112.5440,105.7086,167.0233
221.2120,39.7770,-34.9341
-174.6281,-130.8180,64.2606
-192.0244,-4.1759,121.8497
195.6685,-115.8828,-4.8289
-128.1372,8.2813,187.7543
156.2472,-165.2830,-2.9325
-181.8553,-136.1333,-11.7048
205.5119,97.4284,3.6494
-114.9449,187.1760,59.1106
32.1008,225.1730,2.8556
-163.7486,72.0011,140.5142
-125.8741,19.7654,188.4347
-130.6124,64.8218,174.5893
-116.1094,-156.3319,117.5665
-109.2506,136.3850,145.6283
-209.6297,1.4952,88.3032
-89.8822,121.9053,169.7194
-192.5129,57.1730,106.8386
-195.5922,108.4780,41.4845
-115.2733,149.2344,127.2248
-154.3604,162.6968,38.0478
-117.0233,193.3269,25.9979
-157.2266,92.7379,135.7419
220.6657,-55.1356,3.8070
-55.4567,-208.0459,73.4196
-190.3403,51.2694,113.5391
208.0844,-22.4678,89.1367
-180.0797,-138.9954,1.0328
-207.3600,-93.0858,-9.3214
-124.3622,88.0171,168.9292
-87.4170,11.5529,209.7021
-30.3847,-181.1179,134.2549
209.9796,67.3549,55.8930
-110.3881,147.3204,133.6538
-117.1267,143.0906,132.5096
-169.4692,-49.6338,143.4208
-188.9608,119.5009,42.0289
-70.1392,124.6902,176.8796
-113.2472,146.1089,132.5949
-211.3405,73.2832,41.4640
-149.8800,-13.7132,170.5949
-160.9245,160.8062,0.3162
196.3329,108.5096,-37.8775
-211.7703,-72.9199,39.9293
220.4892,40.2450,-39.0294
-180.9233,-137.9142,2.2449
-161.8098,-41.3039,154.5008
203.8967,84.8475,54.6577
-108.3306,123.9394,157.0477
223.9863,27.6519,-28.7405
-221.7869,48.0951,16.0625
-166.9109,154.5795,2.5834
-186.8191,-121.5567,45.6481
-119.2697,190.4397,35.6226
-65.9336,-144.9533,162.4896
-119.6626,139.5066,134.0951
-189.9593,114.6357,50.3686
-147.8707,-172.6234,9.9530
-209.2523,77.5802,44.2602
178.5616,140.9982,0.2678
-143.1531,-174.7933,26.8413
214.1607,-76.7670,-2.9085
-61.5578,-204.7651,77.7714
-109.2416,-152.5108,128.7373
185.7330,-128.0016,-29.7570
-190.5972,86.1047,89.5858
-109.3332,-156.7439,123.4723
-174.7364,-129.9503,65.9394
-180.9274,-137.6937,-8.6107
-149.9151,54.2187,162.3416
-111.4678,-198.3529,-0.3435
-164.7782,68.0298,141.3843
-159.8151,81.8866,139.7260
-134.1058,-183.7541,-4.4449
