B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.0,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.01,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.02,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.03,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.04,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.05,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.06,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.07,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.08,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.09,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.1,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.11,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.12,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.13,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.14,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.15,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.16,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.17,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.18,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.19,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.2,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.21,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.22,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.23,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.24,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.25,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.26,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.27,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.28,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.29,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.3,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.31,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.32,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.33,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.34,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.35,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.36,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.37,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.38,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.39,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.4,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.41,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.42,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.43,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.44,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.45,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.46,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.47,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.48,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.49,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.5,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.51,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.52,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.53,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.54,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.55,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.56,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.57,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.58,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.59,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.6,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.61,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.62,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.63,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.64,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.65,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.66,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.67,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.68,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.69,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.7,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.71,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.72,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.73,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.74,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.75,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.76,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.77,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.78,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.79,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.8,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.81,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.82,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.83,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.84,3p64s2,1S,0,0.0,0.0,0.0,0.0
0.85,3p64s2,1S,0,0.0,0.0,0.0,0.0
