B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.0,2p63s,2S,1/2,-0.5,2.0,0.0,0.0
0.0,2p63s,2S,1/2,0.5,2.0,0.0,0.0
0.01,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0046686
0.01,2p63s,2S,1/2,0.5,2.0,0.0,0.0046686
0.02,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0093373
0.02,2p63s,2S,1/2,0.5,2.0,0.0,0.0093373
0.03,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0140059
0.03,2p63s,2S,1/2,0.5,2.0,0.0,0.0140059
0.04,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0186746
0.04,2p63s,2S,1/2,0.5,2.0,0.0,0.0186746
0.05,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0233432
0.05,2p63s,2S,1/2,0.5,2.0,0.0,0.0233432
0.06,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0280118
0.06,2p63s,2S,1/2,0.5,2.0,0.0,0.0280118
0.07,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0326805
0.07,2p63s,2S,1/2,0.5,2.0,0.0,0.0326805
0.08,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0373491
0.08,2p63s,2S,1/2,0.5,2.0,0.0,0.0373491
0.09,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0420178
0.09,2p63s,2S,1/2,0.5,2.0,0.0,0.0420178
0.1,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0466864
0.1,2p63s,2S,1/2,0.5,2.0,0.0,0.0466864
0.11,2p63s,2S,1/2,-0.5,2.0,0.0,-0.051355
0.11,2p63s,2S,1/2,0.5,2.0,0.0,0.051355
0.12,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0560237
0.12,2p63s,2S,1/2,0.5,2.0,0.0,0.0560237
0.13,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0606923
0.13,2p63s,2S,1/2,0.5,2.0,0.0,0.0606923
0.14,2p63s,2S,1/2,-0.5,2.0,0.0,-0.065361
0.14,2p63s,2S,1/2,0.5,2.0,0.0,0.065361
0.15,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0700296
0.15,2p63s,2S,1/2,0.5,2.0,0.0,0.0700296
0.16,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0746982
0.16,2p63s,2S,1/2,0.5,2.0,0.0,0.0746982
0.17,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0793669
0.17,2p63s,2S,1/2,0.5,2.0,0.0,0.0793669
0.18,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0840355
0.18,2p63s,2S,1/2,0.5,2.0,0.0,0.0840355
0.19,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0887042
0.19,2p63s,2S,1/2,0.5,2.0,0.0,0.0887042
0.2,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0933728
0.2,2p63s,2S,1/2,0.5,2.0,0.0,0.0933728
0.21,2p63s,2S,1/2,-0.5,2.0,0.0,-0.0980414
0.21,2p63s,2S,1/2,0.5,2.0,0.0,0.0980414
0.22,2p63s,2S,1/2,-0.5,2.0,0.0,-0.1027101
0.22,2p63s,2S,1/2,0.5,2.0,0.0,0.1027101
0.23,2p63s,2S,1/2,-0.5,2.0,0.0,-0.1073787
0.23,2p63s,2S,1/2,0.5,2.0,0.0,0.1073787
