B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.0,1s,2S,1/2,-0.5,2.0,0.0,0.0
0.0,1s,2S,1/2,0.5,2.0,0.0,0.0
0.01,1s,2S,1/2,-0.5,2.0,0.0,-0.0046686
0.01,1s,2S,1/2,0.5,2.0,0.0,0.0046686
0.02,1s,2S,1/2,-0.5,2.0,0.0,-0.0093373
0.02,1s,2S,1/2,0.5,2.0,0.0,0.0093373
0.03,1s,2S,1/2,-0.5,2.0,0.0,-0.0140059
0.03,1s,2S,1/2,0.5,2.0,0.0,0.0140059
0.04,1s,2S,1/2,-0.5,2.0,0.0,-0.0186746
0.04,1s,2S,1/2,0.5,2.0,0.0,0.0186746
0.05,1s,2S,1/2,-0.5,2.0,0.0,-0.0233432
0.05,1s,2S,1/2,0.5,2.0,0.0,0.0233432
0.06,1s,2S,1/2,-0.5,2.0,0.0,-0.0280118
0.06,1s,2S,1/2,0.5,2.0,0.0,0.0280118
0.07,1s,2S,1/2,-0.5,2.0,0.0,-0.0326805
0.07,1s,2S,1/2,0.5,2.0,0.0,0.0326805
0.08,1s,2S,1/2,-0.5,2.0,0.0,-0.0373491
0.08,1s,2S,1/2,0.5,2.0,0.0,0.0373491
0.09,1s,2S,1/2,-0.5,2.0,0.0,-0.0420178
0.09,1s,2S,1/2,0.5,2.0,0.0,0.0420178
0.1,1s,2S,1/2,-0.5,2.0,0.0,-0.0466864
0.1,1s,2S,1/2,0.5,2.0,0.0,0.0466864
0.11,1s,2S,1/2,-0.5,2.0,0.0,-0.051355
0.11,1s,2S,1/2,0.5,2.0,0.0,0.051355
0.12,1s,2S,1/2,-0.5,2.0,0.0,-0.0560237
0.12,1s,2S,1/2,0.5,2.0,0.0,0.0560237
0.13,1s,2S,1/2,-0.5,2.0,0.0,-0.0606923
0.13,1s,2S,1/2,0.5,2.0,0.0,0.0606923
0.14,1s,2S,1/2,-0.5,2.0,0.0,-0.065361
0.14,1s,2S,1/2,0.5,2.0,0.0,0.065361
0.15,1s,2S,1/2,-0.5,2.0,0.0,-0.0700296
0.15,1s,2S,1/2,0.5,2.0,0.0,0.0700296
0.16,1s,2S,1/2,-0.5,2.0,0.0,-0.0746982
0.16,1s,2S,1/2,0.5,2.0,0.0,0.0746982
0.17,1s,2S,1/2,-0.5,2.0,0.0,-0.0793669
0.17,1s,2S,1/2,0.5,2.0,0.0,0.0793669
0.18,1s,2S,1/2,-0.5,2.0,0.0,-0.0840355
0.18,1s,2S,1/2,0.5,2.0,0.0,0.0840355
0.19,1s,2S,1/2,-0.5,2.0,0.0,-0.0887042
0.19,1s,2S,1/2,0.5,2.0,0.0,0.0887042
0.2,1s,2S,1/2,-0.5,2.0,0.0,-0.0933728
0.2,1s,2S,1/2,0.5,2.0,0.0,0.0933728
0.21,1s,2S,1/2,-0.5,2.0,0.0,-0.0980414
0.21,1s,2S,1/2,0.5,2.0,0.0,0.0980414
0.22,1s,2S,1/2,-0.5,2.0,0.0,-0.1027101
0.22,1s,2S,1/2,0.5,2.0,0.0,0.1027101
0.23,1s,2S,1/2,-0.5,2.0,0.0,-0.1073787
0.23,1s,2S,1/2,0.5,2.0,0.0,0.1073787
0.24,1s,2S,1/2,-0.5,2.0,0.0,-0.1120474
0.24,1s,2S,1/2,0.5,2.0,0.0,0.1120474
0.25,1s,2S,1/2,-0.5,2.0,0.0,-0.116716
0.25,1s,2S,1/2,0.5,2.0,0.0,0.116716
0.26,1s,2S,1/2,-0.5,2.0,0.0,-0.1213846
0.26,1s,2S,1/2,0.5,2.0,0.0,0.1213846
0.27,1s,2S,1/2,-0.5,2.0,0.0,-0.1260533
0.27,1s,2S,1/2,0.5,2.0,0.0,0.1260533
0.28,1s,2S,1/2,-0.5,2.0,0.0,-0.1307219
0.28,1s,2S,1/2,0.5,2.0,0.0,0.1307219
0.29,1s,2S,1/2,-0.5,2.0,0.0,-0.1353906
0.29,1s,2S,1/2,0.5,2.0,0.0,0.1353906
0.3,1s,2S,1/2,-0.5,2.0,0.0,-0.1400592
0.3,1s,2S,1/2,0.5,2.0,0.0,0.1400592
0.31,1s,2S,1/2,-0.5,2.0,0.0,-0.1447278
0.31,1s,2S,1/2,0.5,2.0,0.0,0.1447278
0.32,1s,2S,1/2,-0.5,2.0,0.0,-0.1493965
0.32,1s,2S,1/2,0.5,2.0,0.0,0.1493965
