B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.0,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.793144
0.0,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.793144
0.01,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.7698008
0.01,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.7744695
0.01,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7791381
0.01,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7838067
0.01,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7884754
0.01,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.01,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.7978127
0.01,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8024813
0.01,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8071499
0.01,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.8118186
0.01,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.8164872
0.02,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.7464576
0.02,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.7557949
0.02,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7651322
0.02,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7744695
0.02,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7838067
0.02,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.02,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8024813
0.02,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8118186
0.02,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8211559
0.02,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.8304931
0.02,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.8398304
0.03,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.7231144
0.03,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.7371203
0.03,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7511263
0.03,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7651322
0.03,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7791381
0.03,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.03,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8071499
0.03,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8211559
0.03,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8351618
0.03,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.8491677
0.03,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.8631736
0.04,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.6997712
0.04,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.7184458
0.04,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7371203
0.04,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7557949
0.04,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7744695
0.04,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.04,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8118186
0.04,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8304931
0.04,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8491677
0.04,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.8678423
0.04,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.8865168
0.05,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.676428
0.05,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.6997712
0.05,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7231144
0.05,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7464576
0.05,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7698008
0.05,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.05,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8164872
0.05,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8398304
0.05,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8631736
0.05,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.8865168
0.05,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.90986
0.06,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.6530848
0.06,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.6810967
0.06,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.7091085
0.06,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7371203
0.06,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7651322
0.06,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.06,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8211559
0.06,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8491677
0.06,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8771795
0.06,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9051914
0.06,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.9332032
0.07,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.6297416
0.07,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.6624221
0.07,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6951026
0.07,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7277831
0.07,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7604635
0.07,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.07,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8258245
0.07,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.858505
0.07,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.8911855
0.07,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9238659
0.07,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.9565464
0.08,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.6063984
0.08,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.6437475
0.08,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6810967
0.08,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7184458
0.08,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7557949
0.08,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.08,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8304931
0.08,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8678423
0.08,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9051914
0.08,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9425405
0.08,1s6h,1H*,5,5.0,1.0,195262.793144011,195262.9798896
0.09,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.5830552
0.09,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.625073
0.09,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6670907
0.09,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.7091085
0.09,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7511263
0.09,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.09,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8351618
0.09,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8771795
0.09,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9191973
0.09,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9612151
0.09,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.0032328
0.1,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.559712
0.1,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.6063984
0.1,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6530848
0.1,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6997712
0.1,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7464576
0.1,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.1,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8398304
0.1,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8865168
0.1,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9332032
0.1,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9798896
0.1,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.026576
0.11,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.5363688
0.11,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.5877239
0.11,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6390789
0.11,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6904339
0.11,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.741789
0.11,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.11,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8444991
0.11,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.8958541
0.11,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9472091
0.11,1s6h,1H*,5,4.0,1.0,195262.793144011,195262.9985642
0.11,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.0499192
0.12,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.5130256
0.12,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.5690493
0.12,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.625073
0.12,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6810967
0.12,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7371203
0.12,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.12,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8491677
0.12,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.9051914
0.12,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9612151
0.12,1s6h,1H*,5,4.0,1.0,195262.793144011,195263.0172387
0.12,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.0732624
0.13,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.4896824
0.13,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.5503747
0.13,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.6110671
0.13,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6717594
0.13,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7324517
0.13,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.13,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8538363
0.13,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.9145287
0.13,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.975221
0.13,1s6h,1H*,5,4.0,1.0,195262.793144011,195263.0359133
0.13,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.0966056
0.14,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.4663392
0.14,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.5317002
0.14,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.5970611
0.14,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6624221
0.14,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7277831
0.14,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.14,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.858505
0.14,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.9238659
0.14,1s6h,1H*,5,3.0,1.0,195262.793144011,195262.9892269
0.14,1s6h,1H*,5,4.0,1.0,195262.793144011,195263.0545879
0.14,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.1199488
0.15,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.442996
0.15,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.5130256
0.15,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.5830552
0.15,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6530848
0.15,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7231144
0.15,1s6h,1H*,5,0.0,1.0,195262.793144011,195262.793144
0.15,1s6h,1H*,5,1.0,1.0,195262.793144011,195262.8631736
0.15,1s6h,1H*,5,2.0,1.0,195262.793144011,195262.9332032
0.15,1s6h,1H*,5,3.0,1.0,195262.793144011,195263.0032328
0.15,1s6h,1H*,5,4.0,1.0,195262.793144011,195263.0732624
0.15,1s6h,1H*,5,5.0,1.0,195262.793144011,195263.143292
0.16,1s6h,1H*,5,-5.0,1.0,195262.793144011,195262.4196528
0.16,1s6h,1H*,5,-4.0,1.0,195262.793144011,195262.4943511
0.16,1s6h,1H*,5,-3.0,1.0,195262.793144011,195262.5690493
0.16,1s6h,1H*,5,-2.0,1.0,195262.793144011,195262.6437475
0.16,1s6h,1H*,5,-1.0,1.0,195262.793144011,195262.7184458
