B_T,Configuration,Term,J,mJ,Lande_g,Level0_cm1,LevelB_cm1
0.0,5d106s,2S,1/2,-0.5,1.997,0.0,0.0
0.0,5d106s,2S,1/2,0.5,1.997,0.0,0.0
0.01,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0046616
0.01,5d106s,2S,1/2,0.5,1.997,0.0,0.0046616
0.02,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0093233
0.02,5d106s,2S,1/2,0.5,1.997,0.0,0.0093233
0.03,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0139849
0.03,5d106s,2S,1/2,0.5,1.997,0.0,0.0139849
0.04,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0186465
0.04,5d106s,2S,1/2,0.5,1.997,0.0,0.0186465
0.05,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0233082
0.05,5d106s,2S,1/2,0.5,1.997,0.0,0.0233082
0.06,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0279698
0.06,5d106s,2S,1/2,0.5,1.997,0.0,0.0279698
0.07,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0326315
0.07,5d106s,2S,1/2,0.5,1.997,0.0,0.0326315
0.08,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0372931
0.08,5d106s,2S,1/2,0.5,1.997,0.0,0.0372931
0.09,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0419547
0.09,5d106s,2S,1/2,0.5,1.997,0.0,0.0419547
0.1,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0466164
0.1,5d106s,2S,1/2,0.5,1.997,0.0,0.0466164
0.11,5d106s,2S,1/2,-0.5,1.997,0.0,-0.051278
0.11,5d106s,2S,1/2,0.5,1.997,0.0,0.051278
0.12,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0559396
0.12,5d106s,2S,1/2,0.5,1.997,0.0,0.0559396
0.13,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0606013
0.13,5d106s,2S,1/2,0.5,1.997,0.0,0.0606013
0.14,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0652629
0.14,5d106s,2S,1/2,0.5,1.997,0.0,0.0652629
0.15,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0699246
0.15,5d106s,2S,1/2,0.5,1.997,0.0,0.0699246
0.16,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0745862
0.16,5d106s,2S,1/2,0.5,1.997,0.0,0.0745862
0.17,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0792478
0.17,5d106s,2S,1/2,0.5,1.997,0.0,0.0792478
0.18,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0839095
0.18,5d106s,2S,1/2,0.5,1.997,0.0,0.0839095
0.19,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0885711
0.19,5d106s,2S,1/2,0.5,1.997,0.0,0.0885711
0.2,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0932327
0.2,5d106s,2S,1/2,0.5,1.997,0.0,0.0932327
0.21,5d106s,2S,1/2,-0.5,1.997,0.0,-0.0978944
0.21,5d106s,2S,1/2,0.5,1.997,0.0,0.0978944
0.22,5d106s,2S,1/2,-0.5,1.997,0.0,-0.102556
0.22,5d106s,2S,1/2,0.5,1.997,0.0,0.102556
0.23,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1072177
0.23,5d106s,2S,1/2,0.5,1.997,0.0,0.1072177
0.24,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1118793
0.24,5d106s,2S,1/2,0.5,1.997,0.0,0.1118793
0.25,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1165409
0.25,5d106s,2S,1/2,0.5,1.997,0.0,0.1165409
0.26,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1212026
0.26,5d106s,2S,1/2,0.5,1.997,0.0,0.1212026
0.27,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1258642
0.27,5d106s,2S,1/2,0.5,1.997,0.0,0.1258642
0.28,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1305258
0.28,5d106s,2S,1/2,0.5,1.997,0.0,0.1305258
0.29,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1351875
0.29,5d106s,2S,1/2,0.5,1.997,0.0,0.1351875
0.3,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1398491
0.3,5d106s,2S,1/2,0.5,1.997,0.0,0.1398491
0.31,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1445107
0.31,5d106s,2S,1/2,0.5,1.997,0.0,0.1445107
0.32,5d106s,2S,1/2,-0.5,1.997,0.0,-0.1491724
0.32,5d106s,2S,1/2,0.5,1.997,0.0,0.1491724
0.33,5d106s,2S,1/2,-0.5,1.997,0.0,-0.153834
0.33,5d106s,2S,1/2,0.5,1.997,0.0,0.153834
