id,role,regime,depth,parent_axis_r2_cv,parent_full_r2_cv,parent_mixed_gain,nested_axis_r2_cv,nested_full_r2_cv,frac_axis_gain,frac_mixed_gain,frac_total_gain,parent_axis_r2_cv_sd,parent_full_r2_cv_sd,nested_axis_r2_cv_sd,nested_full_r2_cv_sd
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,2,-0.003655805678970436,0.001870508919977576,0.005526314598948012,0.07947055292113978,0.1332255549741332,0.0776000440011622,0.05375500205299341,0.1313550460541556,0.006291761377612927,0.01006719003770576,0.03196144370340184,0.02227169990514063
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,3,-0.003655805678970436,0.001870508919977576,0.005526314598948012,-0.03805007245506993,-0.06812964432848274,-0.039920581375047504,-0.030079571873412814,-0.07000015324846032,0.006291761377612927,0.01006719003770576,0.036455079930886654,0.05044689542807166
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,4,-0.003655805678970436,0.001870508919977576,0.005526314598948012,-0.04190714781452427,-0.167153865724012,-0.043777656734501846,-0.12524671790948771,-0.1690243746439896,0.006291761377612927,0.01006719003770576,0.017444595676706393,0.08673533336974848
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,2,-0.0032506301669781522,0.0020715203045512222,0.005322150471529374,0.07894164642891495,0.1307160914471973,0.07687012612436372,0.051774445018282364,0.1286445711426461,0.00606577017174114,0.009713561968641031,0.03192214968556132,0.022050638111145323
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,3,-0.0032506301669781522,0.0020715203045512222,0.005322150471529374,-0.03697629687627311,-0.06708147716331192,-0.03904781718082433,-0.03010518028703881,-0.06915299746786314,0.00606577017174114,0.009713561968641031,0.03612903659911522,0.05054355336174555
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,low-frequency aperiodic/strong-entanglement regime,4,-0.0032506301669781522,0.0020715203045512222,0.005322150471529374,-0.04225408634891634,-0.16895415121483554,-0.04432560665346757,-0.1267000648659192,-0.17102567151938675,0.00606577017174114,0.009713561968641031,0.01731968095973708,0.08814010722787356
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,2,0.010748008907564999,0.012515031479827531,0.0017670225722625325,0.7302289594620347,0.954589997311692,0.7177139279822071,0.22436103784965733,0.9420749658318645,0.001185094349250795,0.0021619919329243036,0.006045342553146939,0.00456536994101547
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,3,0.010748008907564999,0.012515031479827531,0.0017670225722625325,-0.0028779295085427535,-0.012220660405206595,-0.015392960988370286,-0.009342730896663841,-0.024735691885034126,0.001185094349250795,0.0021619919329243036,0.009237164387111809,0.015148311488901995
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,4,0.010748008907564999,0.012515031479827531,0.0017670225722625325,0.012010585182073008,0.012256833348955842,-0.0005044462977545228,0.0002462481668828332,-0.00025819813087168964,0.001185094349250795,0.0021619919329243036,0.002595315761414735,0.002645413258743006
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,2,0.010748195706151908,0.012514955239269177,0.0017667595331172688,0.7302236977401266,0.9545899266353384,0.7177087425008575,0.22436622889521174,0.9420749713960692,0.0011849123010472715,0.0021616799424650636,0.006045953391525832,0.004565517818466495
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,3,0.010748195706151908,0.012514955239269177,0.0017667595331172688,-0.002878215252601035,-0.01222098743138933,-0.015393170491870212,-0.009342772178788294,-0.024735942670658505,0.0011849123010472715,0.0021616799424650636,0.00923763854839454,0.015148859492546442
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,intermediate-frequency DTQC regime,4,0.010748195706151908,0.012514955239269177,0.0017667595331172688,0.012010494739502576,0.012256741572496566,-0.0005044604997666013,0.00024624683299399007,-0.0002582136667726113,0.0011849123010472715,0.0021616799424650636,0.00259501871032258,0.0026451314329649584
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,2,0.03645006302070517,0.03578636073717478,-0.0006637022835303888,0.6338365751556816,0.7343628719283112,0.5980502144185068,0.10052629677262959,0.6985765111911364,0.002551216774347941,0.0022971704521971476,0.03433400077876913,0.1280659826838165
LUO_EE_HIGH_N12,HIGH_FREQ_DECOUPLED_CONTROL,high-frequency decoupling regime,3,0.03645006302070517,0.03578636073717478,-0.0006637022835303888,0.03223386604789884,0.030955192844334435,-0.003552494689275945,-0.0012786732035644024,-0.004831167892840348,0.002551216774347941,0.0022971704521971476,0.0022320782003096527,0.0012875552725324212
