id,role,case,fixed_fractional_depth,n,parent_full_r2_cv,frac_axis_gain,frac_mixed_gain,frac_total_gain,mean_S
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,BASE,2,50001,0.001870508919977576,0.0776000440011622,0.05375500205299341,0.1313550460541556,0.5861592394497759
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_5,2,10001,0.0018758710911861876,0.07762880630537299,0.05381562937516063,0.1314444356805336,0.586146594685736
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_10,2,5001,0.0018768191043788906,0.07766284047669467,0.05389230079837226,0.13155514127506693,0.5861314855987025
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,PREFIX_0.75,2,37501,7.265092160957387e-06,0.055300486511778456,0.05535017222850194,0.1106506587402804,0.5829139110294639
LUO_EE_LOW_N12,LOW_FREQ_APERIODIC_CONTROL,NOISE_0.020SD,2,50001,0.0018326826301570342,0.07758500419660797,0.05371963818190273,0.1313046423785107,0.5861417168600046
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,BASE,2,50001,0.0020715203045512222,0.07687012612436372,0.051774445018282364,0.1286445711426461,0.5853257482984802
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_5,2,10001,0.00207612282264833,0.0768981459476289,0.051834333409755795,0.1287324793573847,0.5853131699062685
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,DOWNSAMPLE_10,2,5001,0.0020763851343734265,0.07693123822190036,0.05191038465720432,0.1288416228791047,0.5852980979518064
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,PREFIX_0.75,2,37501,-6.583386889047471e-05,0.05457584700299627,0.05339552357800602,0.10797137058100229,0.5819165903495509
LUO_EE_LOW_N32,LOW_FREQ_APERIODIC_CONTROL,NOISE_0.020SD,2,50001,0.002035639835848091,0.07685528113734504,0.05174073158438418,0.1285960127217292,0.5853081788367692
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,BASE,2,50001,0.012515031479827531,0.7177139279822071,0.22436103784965733,0.9420749658318645,0.24248066247437713
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,DOWNSAMPLE_5,2,10001,0.012527745603615293,0.7176981756532391,0.22436921411803412,0.9420673897712732,0.24248255079654157
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,DOWNSAMPLE_10,2,5001,0.012545019587607786,0.7176744133753001,0.2243773317717479,0.942051745147048,0.2424857462928524
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,PREFIX_0.75,2,37501,0.009978685269400045,0.7172781615901757,0.22913532432365025,0.9464134859138259,0.24371364147135374
LUO_EE_DTQC_N12,DTQC_DEVELOPMENT,NOISE_0.020SD,2,50001,0.012502695409848474,0.7174075689182893,0.2243620469641444,0.9417696158824337,0.24246472585354453
LUO_EE_DTQC_N32,DTQC_DEVELOPMENT,BASE,2,50001,0.012514955239269177,0.7177087425008575,0.22436622889521174,0.9420749713960692,0.24248076064742197
