transition_id,transition_label,phase3C_group,group_name,transition_status,transition_family,transition_class,initial_state,final_state,initial_particles,final_particles,initial_total_charge,final_total_charge,charge_balance_error,charge_balance_abs_error,charge_balance_code,initial_layer_signature,final_layer_signature,layer_transition_code,layer_transition_label,initial_route_signature,final_route_signature,route_transition_code,route_transition_label,initial_closure_signature,final_closure_signature,closure_transition_code,closure_transition_label,initial_category_signature,final_category_signature,category_transition_code,category_transition_label,transition_family_code,transition_class_code,transition_status_code,boundary_response_code,initial_multiplicity,final_multiplicity,multiplicity_delta,initial_charged_multiplicity,final_charged_multiplicity,charged_multiplicity_delta,initial_neutral_multiplicity,final_neutral_multiplicity,neutral_multiplicity_delta,initial_composite_count,final_composite_count,composite_count_delta,initial_external_count,final_external_count,external_count_delta,initial_fractional_external_count,final_fractional_external_count,fractional_external_count_delta,electric_charge_violation_flag,free_fractional_externalization_flag,selection_violation_flag,route_incoherence_flag,constrained_flag,boundary_candidate_flag,forbidden_flag,allowed_control_flag,boundary_pressure_index,route_charge_consistency_code,closure_charge_consistency_code,allowed_vs_forbidden_code,expected_boundary_response,expected_chamber_behavior,source_basis,source_reference,notes
P3C_A001,neutron_beta_decay,A,allowed_control,allowed_control,beta_decay,charge_preserving_allowed,neutron,proton + electron_minus + anti_neutrino_e,neutron,proton|electron_minus|anti_neutrino_e,0.0,0.0,0.0,0.0,0,C:1,A:2|C:1,7,C:1__to__A:2|C:1,composite_closure:1,composite_closure:1|external_closure:2,1,composite_closure:1__to__composite_closure:1|external_closure:2,composite_neutral_closure:1,composite_integer_closure:1|free_integer_closure:1|free_neutral_closure:1,9,composite_neutral_closure:1__to__composite_integer_closure:1|free_integer_closure:1|free_neutral_closure:1,baryon:1,baryon:1|lepton:1|neutrino:1,0,baryon:1__to__baryon:1|lepton:1|neutrino:1,3,1,0,0,1,3,2,0,2,2,1,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,neutron_beta_decay
P3C_A002,positive_pion_muonic_decay,A,allowed_control,allowed_control,charged_meson_decay,charge_preserving_allowed,pi_plus,mu_plus + nu_mu,pi_plus,mu_plus|nu_mu,1.0,1.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,5,composite_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,meson:1,lepton:1|neutrino:1,26,meson:1__to__lepton:1|neutrino:1,4,1,0,0,1,2,1,1,1,0,0,1,1,1,0,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,positive_pion_muonic_decay
P3C_A003,negative_muon_decay,A,allowed_control,allowed_control,lepton_decay,charge_preserving_allowed,mu_minus,electron_minus + anti_neutrino_e + nu_mu,mu_minus,electron_minus|anti_neutrino_e|nu_mu,-1.0,-1.0,0.0,0.0,0,A:1,A:3,3,A:1__to__A:3,external_closure:1,external_closure:3,10,external_closure:1__to__external_closure:3,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:2,17,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:2,lepton:1,lepton:1|neutrino:2,20,lepton:1__to__lepton:1|neutrino:2,9,1,0,0,1,3,2,1,1,0,0,2,2,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,negative_muon_decay
P3C_A004,w_minus_leptonic_decay,A,allowed_control,allowed_control,gauge_boson_decay,charge_preserving_allowed,W_minus,electron_minus + anti_neutrino_e,W_minus,electron_minus|anti_neutrino_e,-1.0,-1.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,gauge_boson:1,lepton:1|neutrino:1,14,gauge_boson:1__to__lepton:1|neutrino:1,8,1,0,0,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,w_minus_leptonic_decay
P3C_A005,w_plus_leptonic_decay,A,allowed_control,allowed_control,gauge_boson_decay,charge_preserving_allowed,W_plus,positron + nu_e,W_plus,positron|nu_e,1.0,1.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,gauge_boson:1,lepton:1|neutrino:1,14,gauge_boson:1__to__lepton:1|neutrino:1,8,1,0,0,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,w_plus_leptonic_decay
P3C_A006,neutral_pion_two_photon_decay,A,allowed_control,allowed_control,neutral_meson_decay,charge_preserving_allowed,pi0,gamma + gamma,pi0,gamma|gamma,0.0,0.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_neutral_closure:1,free_neutral_closure:2,11,composite_neutral_closure:1__to__free_neutral_closure:2,meson:1,photon:2,28,meson:1__to__photon:2,13,1,0,0,1,2,1,0,0,0,1,2,1,1,0,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,neutral_pion_two_photon_decay
P3C_A007,positive_kaon_muonic_decay,A,allowed_control,allowed_control,charged_meson_decay,charge_preserving_allowed,K_plus,mu_plus + nu_mu,K_plus,mu_plus|nu_mu,1.0,1.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,5,composite_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,strange_meson:1,lepton:1|neutrino:1,32,strange_meson:1__to__lepton:1|neutrino:1,4,1,0,0,1,2,1,1,1,0,0,1,1,1,0,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,positive_kaon_muonic_decay
P3C_A008,negative_kaon_muonic_decay,A,allowed_control,allowed_control,charged_meson_decay,charge_preserving_allowed,K_minus,mu_minus + anti_neutrino_mu,K_minus,mu_minus|anti_neutrino_mu,-1.0,-1.0,0.0,0.0,0,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,5,composite_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,strange_meson:1,lepton:1|neutrino:1,32,strange_meson:1__to__lepton:1|neutrino:1,4,1,0,0,1,2,1,1,1,0,0,1,1,1,0,-1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,negative_kaon_muonic_decay
P3C_A009,delta_pp_to_proton_pi_plus,A,allowed_control,allowed_control,baryon_resonance_decay,charge_preserving_allowed,Delta_plus_plus,proton + pi_plus,Delta_plus_plus,proton|pi_plus,2.0,2.0,0.0,0.0,0,C:1,C:2,10,C:1__to__C:2,composite_closure:1,composite_closure:2,2,composite_closure:1__to__composite_closure:2,composite_integer_closure:1,composite_integer_closure:2,2,composite_integer_closure:1__to__composite_integer_closure:2,baryon_resonance:1,baryon:1|meson:1,9,baryon_resonance:1__to__baryon:1|meson:1,2,1,0,0,1,2,1,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,delta_pp_to_proton_pi_plus
P3C_A010,omega_minus_to_lambda0_kminus,A,allowed_control,allowed_control,baryon_decay,charge_preserving_allowed,Omega_minus,Lambda0 + K_minus,Omega_minus,Lambda0|K_minus,-1.0,-1.0,0.0,0.0,0,C:1,C:2,10,C:1__to__C:2,composite_closure:1,composite_closure:2,2,composite_closure:1__to__composite_closure:2,composite_integer_closure:1,composite_integer_closure:1|composite_neutral_closure:1,0,composite_integer_closure:1__to__composite_integer_closure:1|composite_neutral_closure:1,baryon:1,baryon:1|strange_meson:1,3,baryon:1__to__baryon:1|strange_meson:1,0,1,0,0,1,2,1,1,1,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,omega_minus_to_lambda0_kminus
P3C_A011,z0_to_electron_positron,A,allowed_control,allowed_control,gauge_boson_decay,charge_preserving_allowed,Z0,electron_minus + positron,Z0,electron_minus|positron,0.0,0.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_neutral_closure:1,free_integer_closure:2,21,free_neutral_closure:1__to__free_integer_closure:2,gauge_boson:1,lepton:2,15,gauge_boson:1__to__lepton:2,8,1,0,0,1,2,1,0,2,2,1,0,-1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,z0_to_electron_positron
P3C_A012,higgs_to_two_photons,A,allowed_control,allowed_control,radiative_decay,charge_preserving_allowed,Higgs,gamma + gamma,Higgs,gamma|gamma,0.0,0.0,0.0,0.0,0,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_neutral_closure:1,free_neutral_closure:2,23,free_neutral_closure:1__to__free_neutral_closure:2,higgs:1,photon:2,18,higgs:1__to__photon:2,14,1,0,0,1,2,1,0,0,0,1,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,allowed_interior,persistent_allowed_control,Phase3B_allowed_control,Phase3B_corpus,higgs_to_two_photons
P3C_B001,neutron_to_proton_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,beta_decay,charge_violating_forbidden,neutron,proton + nu_e,neutron,proton|nu_e,0.0,1.0,1.0,1.0,2,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_neutral_closure:1,composite_integer_closure:1|free_neutral_closure:1,10,composite_neutral_closure:1__to__composite_integer_closure:1|free_neutral_closure:1,baryon:1,baryon:1|neutrino:1,1,baryon:1__to__baryon:1|neutrino:1,3,3,2,1,1,2,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,neutron_to_proton_neutrino_charge_violation
P3C_B002,electron_to_neutrino_photon_charge_violation,B,charge_violating_mock,forbidden_mock,lepton_decay,charge_violating_forbidden,electron_minus,nu_e + gamma,electron_minus,nu_e|gamma,-1.0,0.0,1.0,1.0,2,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_neutral_closure:2,18,free_integer_closure:1__to__free_neutral_closure:2,lepton:1,neutrino:1|photon:1,24,lepton:1__to__neutrino:1|photon:1,9,3,2,1,1,2,1,1,0,-1,0,2,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,electron_to_neutrino_photon_charge_violation
P3C_B003,proton_to_neutron_photon_charge_violation,B,charge_violating_mock,forbidden_mock,baryon_decay,charge_violating_forbidden,proton,neutron + gamma,proton,neutron|gamma,1.0,0.0,-1.0,1.0,1,C:1,A:1|C:1,5,C:1__to__A:1|C:1,composite_closure:1,composite_closure:1|external_closure:1,0,composite_closure:1__to__composite_closure:1|external_closure:1,composite_integer_closure:1,composite_neutral_closure:1|free_neutral_closure:1,4,composite_integer_closure:1__to__composite_neutral_closure:1|free_neutral_closure:1,baryon:1,baryon:1|photon:1,2,baryon:1__to__baryon:1|photon:1,0,3,2,1,1,2,1,1,0,-1,0,2,2,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,proton_to_neutron_photon_charge_violation
P3C_B004,pi_plus_to_two_photons_charge_violation,B,charge_violating_mock,forbidden_mock,meson_decay,charge_violating_forbidden,pi_plus,gamma + gamma,pi_plus,gamma|gamma,1.0,0.0,-1.0,1.0,1,C:1,A:2,6,C:1__to__A:2,composite_closure:1,external_closure:2,5,composite_closure:1__to__external_closure:2,composite_integer_closure:1,free_neutral_closure:2,6,composite_integer_closure:1__to__free_neutral_closure:2,meson:1,photon:2,28,meson:1__to__photon:2,11,3,2,1,1,2,1,1,0,-1,0,2,2,1,0,-1,0,2,2,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,pi_plus_to_two_photons_charge_violation
P3C_B005,w_plus_to_electron_neutrino_charge_violation,B,charge_violating_mock,forbidden_mock,gauge_boson_decay,charge_violating_forbidden,W_plus,electron_minus + nu_e,W_plus,electron_minus|nu_e,1.0,-1.0,-2.0,2.0,1,A:1,A:2,2,A:1__to__A:2,external_closure:1,external_closure:2,9,external_closure:1__to__external_closure:2,free_integer_closure:1,free_integer_closure:1|free_neutral_closure:1,16,free_integer_closure:1__to__free_integer_closure:1|free_neutral_closure:1,gauge_boson:1,lepton:1|neutrino:1,14,gauge_boson:1__to__lepton:1|neutrino:1,8,3,2,1,1,2,1,1,1,0,0,1,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1.0,1,1,1,charge_violation_boundary,fragmented_charge_violation,mock_charge_violation,mock_constructed_for_control,w_plus_to_electron_neutrino_charge_violation
