object_id,phase,layer,pdg_section,pdg_name,symbol,category,generation,components,component_charges,Q_over_e,anti_symbol,anti_Q_over_e,free_external,confined,fractional_internal,integer_external,neutral_external,closure_error,closure_class,route_class,verification_status,source_file,source_note,notes
L_B_001,Phase 1,B_confined_fractional,Quarks,up quark,u,up-type quark,1,,,+2/3,anti-u,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_002,Phase 1,B_confined_fractional,Quarks,down quark,d,down-type quark,1,,,-1/3,anti-d,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_003,Phase 1,B_confined_fractional,Quarks,strange quark,s,down-type quark,2,,,-1/3,anti-s,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_004,Phase 1,B_confined_fractional,Quarks,charm quark,c,up-type quark,2,,,+2/3,anti-c,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_005,Phase 1,B_confined_fractional,Quarks,bottom quark,b,down-type quark,3,,,-1/3,anti-b,+1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_006,Phase 1,B_confined_fractional,Quarks,top quark,t,up-type quark,3,,,+2/3,anti-t,-2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_007,Phase 1,B_confined_fractional,Quarks,anti-up quark,anti-u,anti-up-type quark,1,,,-2/3,u,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_008,Phase 1,B_confined_fractional,Quarks,anti-down quark,anti-d,anti-down-type quark,1,,,+1/3,d,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_009,Phase 1,B_confined_fractional,Quarks,anti-strange quark,anti-s,anti-down-type quark,2,,,+1/3,s,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_010,Phase 1,B_confined_fractional,Quarks,anti-charm quark,anti-c,anti-up-type quark,2,,,-2/3,c,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_011,Phase 1,B_confined_fractional,Quarks,anti-bottom quark,anti-b,anti-down-type quark,3,,,+1/3,b,-1/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
L_B_012,Phase 1,B_confined_fractional,Quarks,anti-top quark,anti-t,anti-up-type quark,3,,,-2/3,t,+2/3,no,yes,yes,no,no,,INTERNAL_FRACTIONAL_COORDINATE,CONFINED_ROUTE,verified,rpp2026-sum-quarks.pdf,"PDG Quarks summary explicitly lists u,c,t charges as +2/3e and d,s,b charges as -1/3e; antiquark charges are charge conjugates.",fractional charge coordinate; not a free external closure
