transition_id,transition_name,phase,batch,transition_family,initial_objects,final_objects,initial_symbols,final_symbols,initial_Q_sum,final_Q_sum,charge_balance_error,charge_conserved,initial_layers,final_layers,layer_transition,initial_route_classes,final_route_classes,route_transition,initial_closure_classes,final_closure_classes,closure_transition,initial_categories,final_categories,category_transition,initial_multiplicity,final_multiplicity,charged_initial_count,charged_final_count,neutral_initial_count,neutral_final_count,charged_multiplicity_delta,neutral_multiplicity_delta,composite_initial_count,composite_final_count,external_initial_count,external_final_count,composite_count_delta,externalization_delta,boundary_preservation_code,boundary_route_preserved,transition_class,source_file,source_note,notes
T001,neutron_beta_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,neutron,proton;electron;electron_antineutrino,n,p;e-;anti_nu_e,0.0,0.0,0.0,TRUE,C,C;A;A,C->C;A;A,COMPOSITE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE;FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->COMPOSITE_INTEGER_ROUTE;FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->COMPOSITE_INTEGER_CLOSURE;FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,baryon,baryon;lepton;lepton,baryon->baryon;lepton;lepton,1,3,0,2,1,1,2,0,1,1,0,2,0,2,1,TRUE,COMPOSITE_TO_COMPOSITE_PLUS_EXTERNALS,rpp2026-sum-baryons.pdf; rpp2026-sum-leptons.pdf,n -> p + e- + anti_nu_e.,Original Phase 3 seed transition retained for continuity.
T002,positive_pion_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,pi_plus,muon_plus;muon_neutrino,pi+,mu+;nu_mu,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi+ -> mu+ + nu_mu.,Original Phase 3 seed transition retained for continuity.
T003,negative_muon_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,muon_minus,electron;electron_antineutrino;muon_neutrino,mu-,e-;anti_nu_e;nu_mu,-1.0,-1.0,0.0,TRUE,A,A;A;A,A->A;A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,lepton,lepton;lepton;lepton,lepton->lepton;lepton;lepton,1,3,1,1,0,2,0,2,0,0,1,3,0,2,1,TRUE,LEPTONIC_EXTERNAL_DECAY,rpp2026-sum-leptons.pdf,mu- -> e- + anti_nu_e + nu_mu.,Original Phase 3 seed transition retained for continuity.
T004,w_minus_leptonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,w_minus,electron;electron_antineutrino,W-,e-;anti_nu_e,-1.0,-1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W- -> e- + anti_nu_e.,Original Phase 3 seed transition retained for continuity.
T005,w_plus_leptonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,w_plus,positron;electron_neutrino,W+,e+;nu_e,1.0,1.0,0.0,TRUE,A,A;A,A->A;A,FREE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,FREE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,FREE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,gauge_boson,lepton;lepton,gauge_boson->lepton;lepton,1,2,1,1,0,1,0,1,0,0,1,2,0,1,1,TRUE,EXTERNAL_TO_EXTERNALS,rpp2026-sum-gauge-higgs-bosons.pdf; rpp2026-sum-leptons.pdf,W+ -> e+ + nu_e.,Original Phase 3 seed transition retained for continuity.
T006,neutral_pion_two_photon_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,pi_zero,photon;photon,pi0,gamma;gamma,0.0,0.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_NEUTRAL_ROUTE,FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_ROUTE->FREE_NEUTRAL_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_NEUTRAL_CLOSURE,FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_NEUTRAL_CLOSURE->FREE_NEUTRAL_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,gauge_boson;gauge_boson,meson->gauge_boson;gauge_boson,1,2,0,0,1,2,0,1,1,0,0,2,-1,2,1,TRUE,NEUTRAL_COMPOSITE_TO_RADIATION,rpp2026-sum-mesons.pdf; rpp2026-sum-gauge-higgs-bosons.pdf,pi0 -> gamma + gamma.,Original Phase 3 seed transition retained for continuity.
T007,positive_kaon_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,seed_continuity,k_plus,muon_plus;muon_neutrino,K+,mu+;nu_mu,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,K+ -> mu+ + nu_mu.,Original Phase 3 seed transition retained for continuity.
T008,negative_pion_muonic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,pi_minus,muon_minus;muon_antineutrino,pi-,mu-;anti_nu_mu,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi- -> mu- + anti_nu_mu.,Charge-conjugate counterpart of positive pion muonic decay.
T009,positive_pion_electronic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,pi_plus,positron;electron_neutrino,pi+,e+;nu_e,1.0,1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi+ -> e+ + nu_e.,Leptonic charged pion electronic channel.
T010,negative_pion_electronic_decay,Phase 3B,expanded_allowed_transition_corpus,charged_meson_decay,pi_minus,electron;electron_antineutrino,pi-,e-;anti_nu_e,-1.0,-1.0,0.0,TRUE,C,A;A,C->A;A,COMPOSITE_INTEGER_ROUTE,FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_ROUTE->FREE_INTEGER_ROUTE;FREE_NEUTRAL_ROUTE,COMPOSITE_INTEGER_CLOSURE,FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,COMPOSITE_INTEGER_CLOSURE->FREE_INTEGER_CLOSURE;FREE_NEUTRAL_CLOSURE,meson,lepton;lepton,meson->lepton;lepton,1,2,1,1,0,1,0,1,1,0,0,2,-1,2,1,TRUE,COMPOSITE_TO_EXTERNALS,rpp2026-sum-mesons.pdf; rpp2026-sum-leptons.pdf,pi- -> e- + anti_nu_e.,Charge-conjugate electronic pion channel.
