source_file,encoding_id,family,points,grid_points,coarse_points,fine_points,mean_gr,mean_gr_coarse,mean_gr_fine,gr_variance,gr_min,gr_max,full_region_volume,collapse_onset_radius,fragmentation_rate,full_phase_fraction,giant_phase_fraction,admissibility_persistence,bifurcation_sharpness,recovery_elasticity,anisotropic_persistence,alpha_rigidity_slope,mu_rigidity_slope,curvature_proxy,refined_regime
CLE_PILOT_I\helium\delta\delta_qmi_gap.csv,delta_qmi_gap,helium_refined,841,130,81,49,0.8936485256583854,0.8936308485084028,0.893677747069581,0.0051020121585173194,0.8815038129080729,0.9052874787621659,1.0,1.0,0.0,1.0,0.0,1.0,0.0007107584787923171,0.026271948317028847,0.9949109809990411,0.0233048176574746,-0.09547339562331056,0.0001528680060190954,REFINED_STABLE_FULL
CLE_PILOT_I\helium\delta\delta_qmi_preprocessed.csv,delta_qmi_preprocessed,helium_refined,841,130,81,49,0.8936485256583854,0.8936308485084028,0.893677747069581,0.0051020121585173194,0.8815038129080729,0.9052874787621659,1.0,1.0,0.0,1.0,0.0,1.0,0.0007107584787923171,0.026271948317028847,0.9949109809990411,0.0233048176574746,-0.09547339562331056,0.0001528680060190954,REFINED_STABLE_FULL
CLE_PILOT_I\helium\delta\delta_qmi_spectrum.csv,delta_qmi_spectrum,helium_refined,842,130,81,49,0.8936484689121769,0.8936307984657686,0.8936776792419537,0.005101988686997639,0.8815038627757084,0.9052873473097647,1.0,1.0,0.0,1.0,0.0,1.0,0.0007107684719949159,0.02627175184181411,0.9949110043511141,0.02330418411142509,-0.09547314929922998,0.00015286494036811406,REFINED_STABLE_FULL
CLE_PILOT_I\helium\delta\delta_zeeman.csv,delta_zeeman_full,helium_refined,628724,130,81,49,0.8716630074393916,0.8716573377557342,0.8716723797736009,0.006303560022708653,0.8567982982306579,0.8860221227336639,1.0,1.0,0.0,1.0,0.0,1.0,0.0008153182138231907,0.032983177003347346,0.9937162657322857,0.027803529348270895,-0.11826425951933502,0.00019388337109404671,REFINED_STABLE_FULL
CLE_PILOT_I\helium\delta\delta_zeeman_singlet.csv,delta_zeeman_singlet,helium_refined,33329,130,81,49,0.8784377428832388,0.8784314608601563,0.8784481274520078,0.005985789252953423,0.8642068708322947,0.8921581353182767,1.0,1.0,0.0,1.0,0.0,1.0,0.0008128769383558554,0.031329944075452906,0.9940320898921513,0.027723725154564772,-0.11198149942541642,0.00018401736289992178,REFINED_STABLE_FULL
CLE_PILOT_I\helium\delta\delta_zeeman_triplet.csv,delta_zeeman_triplet,helium_refined,471467,130,81,49,0.8723508755173435,0.8723451711492382,0.8723603051870685,0.006271211419584217,0.8575569148671331,0.8866401111939357,1.0,1.0,0.0,1.0,0.0,1.0,0.0008129375784804438,0.03280157976119486,0.9937484115853181,0.02772182718579762,-0.11764288549903297,0.0001929511114725866,REFINED_STABLE_FULL
CLE_PILOT_I\helium\qmi\helium_gap_structure_QM1.csv,qmi_gap,helium_refined,2526,130,81,49,0.7830932171509557,0.7829145677397032,0.783388535565475,0.01543419240783088,0.7394185183067454,0.8223827268810752,1.0,1.0,0.0,0.9692307692307692,0.03076923076923077,0.9692307692307692,0.004505669311291816,0.10088272268190185,0.9846843043227378,0.2415286363655649,-0.17372261213003387,0.000538108571700658,REFINED_FULL_DOMINANT
CLE_PILOT_I\helium\qmi\helium_QM1_preprocessed.csv,qmi_preprocessed,helium_refined,3368,130,81,49,0.8092361710068724,0.8090218759070004,0.8095904139270691,0.013832188117557273,0.7695958189528285,0.8441802884320357,1.0,1.0,0.0,1.0,0.0,1.0,0.004160237535887346,0.0883513516025576,0.9862630370334751,0.21477338467061283,-0.1580290582192822,0.00046426457264406567,REFINED_STABLE_FULL
CLE_PILOT_I\helium\qmi\helium_spectrum_QM1.csv,qmi_spectrum,helium_refined,1686,130,81,49,0.7711935007698479,0.7710900237010255,0.771364554699942,0.01515927948344632,0.7283739765645758,0.810393261561221,1.0,1.0,0.0,0.9076923076923077,0.09230769230769231,0.9076923076923077,0.0046793322303011475,0.10120923863388899,0.9849550439776447,0.2286081511134346,-0.18214466828241677,0.00048457527735592393,REFINED_FULL_DOMINANT
CLE_PILOT_I\helium\zeeman\helium_zeeman_ladder.csv,zeeman_full,helium_refined,3772350,130,81,49,0.5735422000960475,0.5733942674965775,0.5737867417400694,0.014012607399541159,0.5405373504373288,0.6055595064163072,1.0,1.0,0.0,0.0,1.0,0.0,0.0021419521663397223,0.10737533684142563,0.9860851122155029,0.061774697153399984,-0.2622328280697799,0.0004188745217113699,REFINED_FULL_GIANT_BOUNDARY
CLE_PILOT_I\helium\zeeman\helium_singlet_zeeman_ladder.csv,zeeman_singlet,helium_refined,199980,130,81,49,0.5729974327896048,0.5728469193238725,0.5732462407635704,0.014014790632113569,0.5400036464436236,0.6049949193858956,1.0,1.0,0.0,0.0,1.0,0.0,0.0021295847976362525,0.10742449375978524,0.9860829593647168,0.0615501311956179,-0.26228120851144665,0.0004237829470709626,REFINED_FULL_GIANT_BOUNDARY
CLE_PILOT_I\helium\zeeman\helium_triplet_zeeman_ladder.csv,zeeman_triplet,helium_refined,2828808,130,81,49,0.5735097648822384,0.5733616465939406,0.5737546134812612,0.014013021906093005,0.5405028679908066,0.6055285701953457,1.0,1.0,0.0,0.0,1.0,0.0,0.002141626402740293,0.10738667901922704,0.986084703476848,0.06179040839592418,-0.26223329922386396,0.0004197407786850991,REFINED_FULL_GIANT_BOUNDARY
