section,metric,value
scale,edges,382
scale,layers,5
scale,source_nodes,365
scale,persistence_mean_sources,0.38082191780821917
scale,persistence_p90_sources,0.5
scale,branch_fraction_all,0.017830609212481426
scale,merge_fraction_all,0.031203566121842496
scale,entropy_mean_sources,0.02439555801956371
scale,conservation_mean,1.2001288210994483
time,edges,0
time,layers,1
time,source_nodes,0
time,persistence_mean_sources,
time,persistence_p90_sources,
time,branch_fraction_all,0.0
time,merge_fraction_all,0.0
time,entropy_mean_sources,
time,conservation_mean,
stitch,eligible_sources,0
stitch,cells,0
stitch,mean_defect,
stitch,p90_defect,
stitch,max_defect,
null_quality,swap_attempts_total,191000
null_quality,swap_accepted_total,189738
null_quality,mean_mobility_fraction,0.9933926701570681
null_quality,median_mobility_fraction,0.993193717277487
null_quality,zero_mobility_null_fraction,0.0
null_quality,unique_graphs,100
null_quality,unique_graph_fraction,1.0
null_quality,real_graph_match_fraction,0.0
null_quality,flags,
verdict,class,UNDERRESOLVED
