mjd,curvature
59124.48206020007,0.6656999999999975
59126.37809030013,1.110199999999999
59126.45348379994,0.6848000000000027
59128.35702549992,0.6375999999999955
59128.388981500175,1.5309999999999988
59130.37144679995,0.12029999999999674
59130.41927079996,0.7095999999999982
59134.27870369982,0.3523999999999994
59134.420277799945,0.07039999999999935
59136.31422450021,0.5648000000000017
59136.377997700125,0.2112000000000016
59138.35239579994,0.6732999999999976
59138.3599537001,0.4224999999999959
59140.357789400034,0.12660000000000338
59140.37718749978,0.18540000000000134
59142.357997700106,0.13500000000000156
59142.377696800046,0.09969999999999857
59144.40633099992,0.15760000000000218
59146.295648099855,3.956699999999998
59149.35374999978,6.549900000000001
59149.44812500011,2.059000000000001
59151.27253470011,0.8018000000000001
59151.3504050998,0.05969999999999942
59152.2641551001,0.02289999999999992
59152.37981479988,0.15319999999999823
59153.24569439981,0.18740000000000023
59153.33211810002,0.12096199999999868
59155.2140740999,0.36631699999999867
59155.25311340019,0.5394979999999983
59156.33636569977,0.45234100000000055
59158.28546300018,0.11051199999999994
59158.34642359987,0.2839790000000022
59165.19244210003,0.45023800000000236
59165.31812500022,0.5358270000000012
59167.23770829989,0.2074499999999979
59167.32657410018,0.13358000000000203
59168.23060189979,0.18760400000000033
59168.27642360004,0.0956179999999982
59170.229259300046,0.1453579999999981
59170.28912039986,0.09039399999999986
59172.23792820005,0.1116330000000012
59176.257013900205,0.33393200000000434
59176.29392360011,0.2569930000000049
59178.17138889991,0.04178699999999935
59178.23204859998,0.14980400000000316
59180.18989579985,0.013733000000001994
59180.18989579985,0.5373000000000019
59180.26996529987,0.4175000000000004
59182.11896990007,0.24213800000000418
59182.22920140019,0.1631119999999946
59184.21103010001,0.36936599999999586
59184.27252310002,0.46555600000000297
59188.25134260021,0.4485720000000022
59190.18754629977,1.0618999999999978
59193.23653940018,2.018699999999999
59195.21083329991,0.9601540000000028
59197.23127309978,1.2710080000000055
59199.231319400016,2.584390000000006
59199.27482639998,0.48297200000000373
59202.20908559999,0.4795639999999999
59202.3076272998,1.5774000000000008
59204.1988309999,1.4517450000000025
