mjd,dmag
59124.398541700095,0.12239999999999895
59124.48206020007,0.5432999999999986
59126.37809030013,0.5669000000000004
59126.45348379994,0.11790000000000234
59128.35702549992,0.7554999999999978
59128.388981500175,0.775500000000001
59130.37144679995,0.8957999999999977
59130.41927079996,0.18619999999999948
59134.27870369982,0.1661999999999999
59134.420277799945,0.09580000000000055
59136.31422450021,0.4690000000000012
59136.377997700125,0.2577999999999996
59138.35239579994,0.415499999999998
59138.3599537001,0.006999999999997897
59140.357789400034,0.13360000000000127
59140.37718749978,0.05180000000000007
59142.357997700106,0.0832000000000015
59142.377696800046,0.18290000000000006
59144.40633099992,0.02529999999999788
59146.295648099855,3.9314
59149.35374999978,2.618500000000001
59149.44812500011,0.5594999999999999
59151.27253470011,0.24230000000000018
59151.3504050998,0.18260000000000076
59152.2641551001,0.15970000000000084
59152.37981479988,0.31289999999999907
59153.24569439981,0.12549999999999883
59153.33211810002,0.004538000000000153
59155.2140740999,0.3708549999999988
59155.25311340019,0.16864299999999943
59156.33636569977,0.2836980000000011
59158.28546300018,0.17318600000000117
59158.34642359987,0.11079300000000103
59165.19244210003,0.33944500000000133
59165.31812500022,0.19638199999999983
59167.23770829989,0.01106799999999808
59167.32657410018,0.1446480000000001
59168.23060189979,0.042956000000000216
59168.27642360004,0.13857399999999842
59170.229259300046,0.006783999999999679
59170.28912039986,0.08361000000000018
59172.23792820005,0.02802300000000102
59176.257013900205,0.3059090000000033
59176.29392360011,0.048915999999998405
59178.17138889991,0.007128999999999053
59178.23204859998,0.1569330000000022
59180.18989579985,0.14320000000000022
59180.18989579985,0.39410000000000167
59180.26996529987,0.023399999999998755
59182.11896990007,0.26553800000000294
59182.22920140019,0.42864999999999753
59184.21103010001,0.05928400000000167
59184.27252310002,0.4062720000000013
59188.25134260021,0.04230000000000089
59190.18754629977,1.1041999999999987
59193.23653940018,0.9145000000000003
59195.21083329991,0.045654000000002526
59197.23127309978,1.225354000000003
59199.231319400016,1.3590360000000032
59199.27482639998,0.8760639999999995
59202.20908559999,0.39649999999999963
59202.3076272998,1.1809000000000012
59204.1988309999,0.27084500000000133
