epsilon,n_files,hf_mean_median,hf_var_median,staggered_late_median,D2_over_D1_median
0.0,2,0.23784408495683224,0.005157895730951199,0.10423504675953886,0.10215770407866434
0.01,2,0.20486521761982002,0.0064574447820696,0.08265286870081943,0.10322968107109834
0.02,2,0.2275418900286152,0.005868338347351513,0.095004370177323,0.0972879507848739
0.03,3,0.22216910668447146,0.005633359164544143,0.08913996859196183,0.10741870378134429
0.04,3,0.2095060829187784,0.006068851976354462,0.08026764430039553,0.10839855107188702
0.05,3,0.20288848310074184,0.005979427365408257,0.07587195283195677,0.11285400594654255
0.06,2,0.17883664931327103,0.0055483445766252104,0.06082020579829143,0.1187771193387416
0.07,3,0.14698732538067522,0.0057328830334989625,0.04219710939262707,0.13240147163587765
0.08,3,0.18102069993592776,0.005730767673686131,0.06336523614072613,0.11947258674843679
0.09,3,0.16926010651105458,0.004714999336199956,0.05523111525957637,0.12856557134483476
0.1,4,0.14234790875022735,0.004498109170087766,0.038972685929915325,0.13925153430344536
0.11,3,0.16010604419837293,0.005003675431749081,0.045951470465332406,0.14776444474418896
0.12,5,0.1468007950079576,0.004686959993566324,0.0430053467928442,0.15021697530489106
0.13,4,0.13832138029619745,0.00389793269494811,0.0340048234924653,0.16517276124325214
0.14,4,0.13793440145565106,0.004085927675772661,0.03741159773807952,0.1506137553151281
0.15,4,0.12176838375578167,0.0037139994886471305,0.02903885544643191,0.17476581240396882
0.17,5,0.11351511195004775,0.0034942639325974676,0.022339626173967293,0.18428592734154256
0.2,4,0.080431969632242,0.0023589466679685383,0.010831733586876627,0.22302173354273575
0.25,4,0.05813282249958285,0.0009387702142383491,0.0037041979709176187,0.3226220273823567
0.3,2,0.04946829467330525,0.0005327161601690983,0.0029489211905511323,0.40485572302856876
0.35,2,0.03694708887504519,0.0003347655542054908,0.0012468766073718003,0.4728907069824754
0.4,4,0.02904732840623641,0.00013546781514801447,0.0006687751127587461,0.6551631369713873
0.45,1,0.021541919359668354,4.508235683568509e-05,0.00026144943896015064,0.8678287386396507
0.47,1,0.020260363827466883,2.9806896990891925e-05,0.0015301944275791992,0.883934955568214
0.5,1,0.018132842334527003,1.900756292521188e-05,-0.0006796449204606202,0.9537496265743813
0.6,1,0.014333022838247535,8.70171111398194e-06,-0.00030983718164240265,1.157004011199584
0.7,1,0.012065410199051317,7.5775031476857184e-06,0.0009349018029764337,1.2547113441901372
0.8,1,0.01053644217891791,6.026432493015873e-06,0.0003428780748030371,1.433905945085703
0.9,1,0.010105409533538934,8.79200942537793e-06,0.0033926335957995255,1.3780437772684784
1.0,1,0.009522456270977366,5.996172859874531e-06,0.005522625513725706,1.4509491208309526
