filename,device,epsilon_code,epsilon,timesteps,iterations,qubits,initial_state_tag,disorder_tag,special_tag,bytes,shape,dtype,finite,min,max
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,Brooklyn,001,0.01,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9643599987030029,0.9877899885177612
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,Brooklyn,002,0.02,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9646000266075134,0.987060010433197
NewFloq_REF_Bro57_Eps002_T50_5IT_9Jul.dat,Brooklyn,002,0.02,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9663100242614746,0.9890099763870239
NewFloq_REF_Bro57_Eps003_T50_5IT_02Sep.dat,Brooklyn,003,0.03,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9585000276565552,0.9882799983024597
NewFloq_REF_Bro57_Eps003_T50_5IT_13Jul.dat,Brooklyn,003,0.03,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9606900215148926,0.9892600178718567
NewFloq_REF_Bro57_Eps004_T50_5IT_01Sep.dat,Brooklyn,004,0.04,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9587399959564209,0.9882799983024597
NewFloq_REF_Bro57_Eps004_T50_5IT_12Jul.dat,Brooklyn,004,0.04,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9460399746894836,0.9882799983024597
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_PolND_RefDis.dat,Brooklyn,005,0.05,50,5,57,polarized,no_disorder_tagged,PolND_RefDis,58140,5x51x57,float32,True,-0.9226099848747253,0.9887700080871582
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_RND_RefDis.dat,Brooklyn,005,0.05,50,5,57,random,reference_disorder_tagged,RND_RefDis,58140,5x51x57,float32,True,-0.9548299908638,0.9853500127792358
NewFloq_REF_Bro57_Eps005_T50_5IT_13Jul.dat,Brooklyn,005,0.05,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.9616699814796448,0.9875500202178955
NewFloq_REF_Bro57_Eps005_T50_5IT_16Sep.dat,Brooklyn,005,0.05,50,5,57,unspecified,standard_or_unspecified,,58140,5x51x57,float32,True,-0.951170027256012,0.9858400225639343
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NEEL.dat,Brooklyn,005,0.05,50,5,57,neel,standard_or_unspecified,NEEL,58140,5x51x57,float32,True,-0.9626500010490417,0.9833999872207642
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NoDIS.dat,Brooklyn,005,0.05,50,5,57,unspecified,no_disorder_tagged,NoDIS,58140,5x51x57,float32,True,-0.9560499787330627,0.986329972743988
