null_index,seed,swap_attempts,swap_accepted,mobility_fraction,graph_signature,scale_persistence,time_persistence,stitch_defect,stitch_p90,stitch_max,stitch_n
1,20261906,70560,991,0.014044784580498865,21ef95643a34c63497684a429559eb9aac49f27dac31d85299752f99f97076dd,0.345703933747412,0.49938173467585234,0.20687545232989257,1.0,1.0000000000000002,3849
2,20261907,70560,1054,0.014937641723356009,10e3977ccb7300cf62fe27b609b122aa331f7e80ae42376981b14f1dd9bf446c,0.3458592132505176,0.499974764680647,0.21906713418337964,1.0,1.0000000000000002,3853
3,20261908,70560,1026,0.014540816326530611,1b526b0cfb6b5288c6b14a55178311810bfbcd46b665ff62f565dc55a9cf7443,0.34658385093167704,0.49988644106291164,0.21505203146963986,1.0,1.0000000000000002,3853
4,20261909,70560,1013,0.014356575963718822,ecb11734f40c6602c42627d9a4747cb21713c310f5edf9a0925243eebacb433f,0.3458592132505176,0.49987382340323516,0.21471372185952137,1.0,1.0000000000000002,3850
5,20261910,70560,1022,0.014484126984126985,5e8387fa451c53245915318fdd4d1d9f07d528e1a8a76710632717d59fd5480f,0.34606625258799173,0.4996088525500289,0.2139288651278827,1.0,1.0000000000000002,3864
6,20261911,70560,995,0.014101473922902494,9e57a6b8b2247af4417438856f6dcdb8ad8c183f4ce8d2238ce86baa373688e3,0.34596273291925467,0.5007444419209125,0.2079898431440152,1.0,1.0000000000000002,3859
7,20261912,70560,1026,0.014540816326530611,ab64af5d6146f1ed7562b981156aa29da72842093e9e58dca617f8d922d46d52,0.34663561076604554,0.5004037651096475,0.213456848791048,1.0,1.0000000000000002,3869
8,20261913,70560,1002,0.014200680272108844,6df04050935eb473bcd7444457c178e5a2309f223235d4fa1d9ac2a1a02470d9,0.3463768115942029,0.4999369117016177,0.21047433893704132,1.0,1.0000000000000002,3859
9,20261914,70560,987,0.013988095238095239,f9a2647bce2f1a35e0eb90a9d4121f65650e0646e4b92b55950dab3ebc6e44f8,0.3466873706004141,0.5002649708532061,0.19914634480207566,1.0,1.0000000000000002,3855
10,20261915,70560,1042,0.014767573696145125,a58f7d509a97cdb91416b62d1d9342e64ed3d56674d60af89d98693e872be847,0.3458592132505176,0.5003659121306181,0.21525708959576179,1.0,1.0000000000000002,3852
11,20261916,70560,1041,0.014753401360544217,67cdd9eb16acf810b83bdc4220ea9ff6b43863ea21723e126f011f8e4b936c7c,0.34663561076604554,0.5003280591515885,0.21536262137817128,1.0,1.0000000000000002,3850
12,20261917,70560,988,0.014002267573696145,1b0d2d953f6144a8ae0a49761a3315f957b41e95a5a0caa055438d864d0b29cd,0.3463768115942029,0.5010598834128246,0.20811304912044576,1.0,1.0000000000000002,3864
13,20261918,70560,1014,0.014370748299319728,6a7878aa5b1bd20ded9560fb0f44cee17e4b7e368fef20b048157f3a8e5ca2a1,0.3461697722567288,0.4990410578645873,0.21877785125442914,1.0,1.0000000000000002,3865
14,20261919,70560,999,0.014158163265306122,429ac3c85ccc34d5c9f211210f8523345af5e89ff0926a55b9a4cac1761217f4,0.34596273291925467,0.5020062078885608,0.2156013409211886,1.0,1.0000000000000002,3859
15,20261920,70560,978,0.013860544217687076,02f897c713406c13931e7e5e1f802af241d9360fbc62e759c50c2693f8ecb6cf,0.3458592132505176,0.5000630882983823,0.21029530396781151,1.0,1.0000000000000002,3850
16,20261921,70560,1012,0.014342403628117914,3f7a81578cdde4805c59f4735a851635d59e658877ecac30f4ea96d42bc6e6b9,0.3463768115942029,0.5002775885128826,0.20461383723776602,1.0,1.0000000000000002,3842
17,20261922,70560,1056,0.014965986394557823,af08b5e68e699aa643aff24c797d462ce17cc216ff6c6e79f6b7f614fb945d66,0.34601449275362317,0.49984858808388233,0.21659594092323534,1.0,1.0000000000000002,3848
18,20261923,70560,971,0.013761337868480725,b9c570fb83a4998553e25bf52e53e5c39472134a8fc5d36ffe0f9278f4f8568d,0.34632505175983436,0.49944482297423476,0.21316142045929223,1.0,1.0000000000000002,3865
