parameter,source_parameter,latex_label,best_fit,posterior_mean,sddev,lower_68,upper_68,limit_type_68,unit,status,derivation,canonical_use
H0,H0,H_0,67.32178,67.273386,0.60408851,66.67725,67.87354,two,km s^-1 Mpc^-1,direct,,best_fit
omegabh2,omegabh2,\Omega_b h^2,0.02237737,0.022359766,0.00014879512,0.02221168,0.02250948,two,dimensionless,direct,,best_fit
omegach2,omegach2,\Omega_c h^2,0.1201035,0.12020012,0.0013661962,0.1188457,0.1215568,two,dimensionless,direct,,best_fit
Omega_m,omegam,\Omega_m,0.3157967,0.3165504,0.0084223128,0.308213,0.3248517,two,dimensionless,direct,,best_fit
Omega_Lambda,omegal,\Omega_\Lambda,0.6842033,0.6834496,0.0084223128,0.6751483,0.691787,two,dimensionless,direct,,best_fit
n_s,ns,n_s,0.9658923,0.96485764,0.004368361,0.9605454,0.9691619,two,dimensionless,direct,,best_fit
ln_1e10_A_s,logA,{\rm{ln}}(10^{10} A_s),3.044726,3.0447363,0.015912876,3.029265,3.060084,two,dimensionless,direct,,best_fit
tau,tau,\tau,0.05430138,0.054445976,0.0078745461,0.046361462,0.06144044,two,dimensionless,direct,,best_fit
sigma8,sigma8,\sigma_8,0.8119545,0.81197768,0.0073327667,0.8048177,0.8191755,two,dimensionless,direct,,best_fit
age,age,{\rm{Age}}/{\rm{Gyr}},13.79731,13.799703,0.024035288,13.77589,13.82329,two,Gyr,direct,,best_fit
A_s,logA,A_s,2.10042752429e-09,2.10044915881e-09,,2.06820257126e-09,2.13293487521e-09,two,dimensionless,derived,A_s = exp(logA) * 1e-10,best_fit
omega_r,"H0,nnu",\Omega_r h^2,4.1769773884e-05,,,,,,dimensionless,derived,omega_gamma=2.469e-5*(T_CMB/2.7255)^4; omega_r=omega_gamma*(1+0.22710731766*N_eff),best_fit-derived
Omega_r,"H0,nnu",\Omega_r,9.21617990232e-05,,,,,,dimensionless,derived,"Omega_r = omega_r / h^2, h = H0 / 100",best_fit-derived
