filename,epsilon,device,initial_state,disorder,n_qubits_total,n_qubits_accepted,n_qubits_rejected,thermal_fraction_accepted,half_frequency_mean,half_frequency_variance,delta_mean,late_aligned_mean_20_40,fit_r2_median_accepted
NewFloq_REF_Bro57_Eps001_T50_5IT_14Jul.dat,0.01,Brooklyn,standard_untagged,standard_or_unspecified,57,48,9,0.0,1.0468569774639698,0.08261595449137281,0.0003806599684508507,1.1246376938976792,0.9664908089799107
NewFloq_REF_Bro57_Eps002_T50_5IT_13Jul.dat,0.02,Brooklyn,standard_untagged,standard_or_unspecified,57,45,12,0.0,0.9267579347154915,0.08455405580267028,0.0005054137601268496,1.011420592691172,0.9711168247384394
NewFloq_REF_Bro57_Eps002_T50_5IT_9Jul.dat,0.02,Brooklyn,standard_untagged,standard_or_unspecified,57,44,13,0.022727272727272728,1.0017199084966208,0.12685863998466168,0.0013859133020130946,1.0638288720545797,0.966951537452462
NewFloq_REF_Bro57_Eps003_T50_5IT_02Sep.dat,0.03,Brooklyn,standard_untagged,standard_or_unspecified,57,45,12,0.0,0.8727776599018755,0.12092842228772441,0.0008678111335750104,0.8932242699207171,0.9611378214899687
NewFloq_REF_Bro57_Eps003_T50_5IT_13Jul.dat,0.03,Brooklyn,standard_untagged,standard_or_unspecified,57,47,10,0.0425531914893617,0.835697700520176,0.0892248509660776,0.005759725622680855,0.8834676958823474,0.9781212784603759
NewFloq_REF_Bro57_Eps004_T50_5IT_01Sep.dat,0.04,Brooklyn,standard_untagged,standard_or_unspecified,57,46,11,0.06521739130434782,0.8333626815174549,0.16141732708505746,0.002519228761241942,0.8670351326795693,0.9709477574713918
NewFloq_REF_Bro57_Eps004_T50_5IT_12Jul.dat,0.04,Brooklyn,standard_untagged,standard_or_unspecified,57,45,12,0.1111111111111111,0.7373844841913282,0.1264869512087203,0.010823913137385075,0.7390124021804538,0.9664085758048795
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_PolND_RefDis.dat,0.05,Brooklyn,polarized,no_disorder_tagged,57,46,11,0.2608695652173913,0.2988983180791582,0.06200741260796845,0.030336312533374356,0.18823440695568214,0.973606139034735
NewFloq_REF_Bro57_Eps005_T50_5IT_02Sep_RND_RefDis.dat,0.05,Brooklyn,random,reference_disorder_tagged,57,49,8,0.4489795918367347,0.1971358709866411,0.04177794345229952,0.03913598912458215,0.032252185798132195,0.9658450211583133
NewFloq_REF_Bro57_Eps005_T50_5IT_13Jul.dat,0.05,Brooklyn,standard_untagged,standard_or_unspecified,57,42,15,0.07142857142857142,0.6618108385839494,0.10424550875825693,0.005999055818149352,0.657770267270573,0.9707509005172685
NewFloq_REF_Bro57_Eps005_T50_5IT_16Sep.dat,0.05,Brooklyn,standard_untagged,standard_or_unspecified,57,49,8,0.08163265306122448,0.6493971143779573,0.12270630489893891,0.008298729347412881,0.6233959104025101,0.9737762902143429
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NEEL.dat,0.05,Brooklyn,neel,standard_or_unspecified,57,50,7,0.02,0.7941276896482329,0.05490227624079706,0.0016010283282023813,0.8260073716766709,0.9702248095999065
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_NoDIS.dat,0.05,Brooklyn,standard_untagged,no_disorder_tagged,57,42,15,0.38095238095238093,0.3645945335783859,0.14444755350379632,0.02729867434606531,0.24261351595084998,0.2798120954470781
NewFloq_REF_Bro57_Eps005_T50_5IT_30Aug_POL.dat,0.05,Brooklyn,polarized,standard_or_unspecified,57,50,7,0.0,0.7797708286273184,0.08798751418775332,0.001368808265684953,0.7881456932579932,0.9775401617342631
NewFloq_REF_Bro57_Eps006_T50_5IT_14Jul.dat,0.06,Brooklyn,standard_untagged,standard_or_unspecified,57,48,9,0.125,0.6744435797249945,0.12206529870637461,0.008046066622303987,0.6839561987831659,0.9672267323913181
NewFloq_REF_Bro57_Eps007_T50_5IT_12Jul.dat,0.07,Brooklyn,standard_untagged,standard_or_unspecified,57,49,8,0.10204081632653061,0.537317494961209,0.16974547948555205,0.008504473107972284,0.4995104633821018,0.9691468498018212
NewFloq_REF_Bro57_Eps008_T50_5IT_20Aug.dat,0.08,Brooklyn,standard_untagged,standard_or_unspecified,57,47,10,0.1702127659574468,0.49851819165252725,0.11518745956341114,0.010850357314407708,0.45797950566994583,0.9719640762875329
NewFloq_REF_Bro57_Eps008_T50_5IT_30Aug.dat,0.08,Brooklyn,standard_untagged,standard_or_unspecified,57,48,9,0.125,0.5130913679223849,0.08881452204952124,0.009643328938424334,0.4280430958676185,0.9712561953510003
NewFloq_REF_Bro57_Eps009_T50_5IT_20Aug.dat,0.09,Brooklyn,standard_untagged,standard_or_unspecified,57,46,11,0.1956521739130435,0.4044785049574497,0.10536115918771971,0.015643003834102373,0.33683527132837326,0.9658938734954896
NewFloq_REF_Bro57_Eps009_T50_5IT_21Aug.dat,0.09,Brooklyn,standard_untagged,standard_or_unspecified,57,50,7,0.16,0.4859965425648791,0.18380444565522278,0.01590078921891157,0.4225150458962444,0.9652709766354233
NewFloq_REF_Bro57_Eps00_T50_5IT_30Aug.dat,0.0,Brooklyn,standard_untagged,standard_or_unspecified,57,46,11,0.0,0.9885272012603078,0.010475411548586961,0.000576511442344243,1.0755556884983528,0.9755227941311169
